feb101048645e44c940cf233b007ba8f4e26b807c594b0a47d13da3f28857b86,9e2eddc9b1f7f2dd29d54b904a224381203e92de55ac7342eae182c1528ad735,b75a9fadfa0ebd4bef4f3bb51d23bf0e66a4ea559932f66f5d401c822e360f5c,62a72c04dff50336e057db8c036cc2f645a05dc0ac17f99ea37b721a51e466da,39ae6b06bcfbef4655d9887257884281c85359c326ec7c6a6a42909285559321
"105801","50001","1","美食殿","1"
"100101","50002","2","トゥインクル\nウィッシュ","2"
"102801","50003","3","サレンディア救護院","7"
"104701","50004","4","王宮騎士団\n（NIGHTMARE）","11"
"106801","50005","5","ラビリンス","15"
"102901","50006","6","カルミナ","3"
"104401","50007","7","悪魔偽王国軍\n（ディアボロス）","5"
"103301","50008","8","牧場\n（エリザベスパーク）","4"
"103201","50009","9","メルクリウス財団","13"
"105601","50010","10","トワイライト\nキャラバン","9"
