213d33d564b84dd7a056b3e034f0d7f0a746b574e93d97ad590e7316c5f46293,8894e0911e52a2d81f585ecf5ca1fc965d50dc4a34f310dff56ef50bc11573c7,ed848d17fc11a33ad6778c9305853bba6d1ad1097696e2cbddca41c8311e496a,f076bf6cb64c94f695bc1699eb27a79c57bd221205007c268aa088bf464615aa,295887ce008be7ab509cfe0fcd2de75a0375b27dd6806e60cee1ec394e28c1ef,496fe2b63853db296470d1b53d281fdb6a968ff7181f1bbddeaed08906a4ccf8,a1fed0fa59ffce1a8772bbecfcc3d0301b660c53f5b6ae78008b6c603076fca3,babec39622f30c458ff21f0d4fa9cbd0854743e9ebfb8bc4c79e4ce2176950dc,e0ac4101bd9489998b2ad2638ebc7bb7d3178ee7f4563d72ddec4cf9659da91d,d6c8d586b3b016a3e128e1f21ae02aa11cdfd687be9b908f7a7b98b80c27b3b3,071e81e5ff6a65974c95e18a1b768b3b42270db778bc469abac3eeffa0cddbb4,85fb93270f7cde58c0d15cffbc773882bfbeaa5072dc260cd3da6ea7454a93c4,bc013d820ab1ef8194e630474f0788e4941d77b38f0c2eb1cf3a2a67f8e4700e,373312245ae8e0daf5f97418ca1ed1fd81b4fa91ea16413a176a853519afca9f,369d701b9d820cfe464e6c9bff6086b0fc1f97736404717c69d3f2ac6a27ac73,78ed938a35efb6ada44096c07b9ac76f28a6a4f36dd7390944826aeb57937419,f64cbe582c5d090f4dc5369ec37618b0d7ae726aadaf2ac3d003c086dda6c64e,1b5b67f3acd34cc043be7a4ef8652120de93bbfd7cdbbae20c7ca2de3b4f8f30,9d1378e4569f0b0069770a61dd32d5cf6a3cfbbf866f9a460852466ebdff01d1
"3","5","3","0","10132","610132007","-60","0","1","1","0","","289","0","0","610132501","1","5.5","12"
"0","5","1","0","10132","610132008","-60","0","1","2","0","","289","0","70","610132502","1","1.5","0"
"0","5","1","0","10132","610132009","-60","0","1","3","0","","289","0","0","0","1","1.5","0"
"3","5","1","0","10134","610134007","-50","0","1.85","1","0","","292","0","55","0","1","5.5","0"
"0","5","3","0","10134","610134008","-50","0","1.85","2","0","","292","0","0","610134502","1","1.5","30"
"0","5","1","0","10134","610134009","-50","0","1.85","3","0","","292","0","0","0","1","1.5","0"
"3","5","2","0","10136","610136007","0","600","1.1","1","0","","295","0","0","610136501","1","5.5","0"
"0","5","1","0","10136","610136008","-50","0","1.5","2","0","","295","0","84","0","1","1.5","0"
"0","5","1","0","10136","610136009","-50","0","1.5","3","0","","295","0","0","0","1","1.5","0"
"0","5","1","0","10137","610137007","0","0","0.85","1","0","","295","0","75","0","1","5.5","0"
"0","5","1","0","10137","610137008","0","0","0.85","2","0","","295","0","50","0","1","1.5","0"
"0","5","1","0","10137","610137009","0","0","0.85","3","0","","295","0","0","0","1","1.5","0"
"3","5","1","0","10140","610140007","0","0","1.4","1","0","","298","0","77","0","1","5.5","0"
"0","5","1","0","10140","610140008","0","0","1.4","2","0","","298","0","52","0","1","1.5","0"
"0","5","1","0","10140","610140009","0","0","1.4","3","0","","298","0","0","0","1","1.5","0"
"3","5","1","0","10142","610142007","-33","0","1.45","1","0","","301","0","76","0","1","5.5","0"
"3","5","2","0","10142","610142008","-40","600","1.23","2","0","","301","0","0","610142502","1","1.5","0"
"0","5","1","0","10142","610142009","-33","0","1.45","3","0","","301","0","0","0","1","1.5","0"
"3","5","1","0","10144","610144007","-33","0","1","1","0","","304","0","65","0","1","5.5","0"
"3","5","2","0","10144","610144008","-40","600","0.85","2","0","","304","0","0","610144502","1","1.5","0"
"0","5","1","0","10144","610144009","-33","0","1","3","0","","304","0","0","0","1","1.5","0"
"3","5","2","0","10146","610146007","-45","600","0.87","1","0","","307","0","0","610146501","1","5.5","0"
"0","5","1","0","10146","610146008","-45","0","1.18","2","0","","307","0","58","0","1","1.5","0"
"0","5","1","0","10146","610146009","-45","0","1.18","3","0","","307","0","0","0","1","1.5","0"
"3","5","2","0","10148","610148007","-50","600","1.4","1","0","","310","0","0","610148501","1","5.5","0"
"0","5","1","0","10148","610148008","-50","0","1.7","2","0","","310","0","68","0","1","1.5","0"
"0","5","1","0","10148","610148009","-50","0","1.7","3","0","","310","0","0","0","1","1.5","0"
"3","5","1","0","10150","610150007","-33","0","1.35","1","0","","313","0","71","0","1","5.5","0"
"3","5","1","0","10150","610150008","-33","0","1.35","2","0","","313","0","50","0","1","1.5","0"
"0","5","1","0","10150","610150009","-33","0","1.35","3","0","","313","0","0","0","1","1.5","0"
"4.8","5","2","0","10152","610152007","20","600","0.7","1","0","","316","0","0","610152501","1","5.5","0"
"0","5","1","0","10152","610152008","30","0","0.96","2","0","","316","0","81","0","1","1.5","0"
"0","5","1","0","10152","610152009","30","0","0.96","3","0","","316","0","0","0","1","1.5","0"
