3b6c1146fc5c7ffe0e6a3c7a5a5b3c593255059833fb84a9674e900dcdeb4f87,06f8166efe7b012a76b76c07e1af64a6bbf69f26fad3f6a829e572d4e612eeb2,aa1f9767384eefb0e876ecbf06b84b01e04cf4041aa02d3dc46d1d76f1ddecc9,95792b3d4da033ee9b95cfcb67045744b5ff15c3918d4fc227602e59a21fa9e6,fcdc41cc7258ae1f0ad5da313873177787ebff4e26559a623289f9825168286f
"0","0","1","1","1001"
"0","0","2","1","1002"
"0","0","3","1","1003"
"0","0","4","1","1004"
"0","0","1","2","2001"
"0","0","2","2","2002"
"0","0","3","2","2003"
"0","0","4","2","2004"
"1","0","1","2","2101"
"1","0","2","2","2102"
"1","0","3","2","2103"
"1","0","4","2","2104"
"2","10001","11","2","2111"
"2","10001","12","2","2112"
"2","10001","13","2","2113"
"0","0","1","3","3001"
"0","0","2","3","3002"
"0","0","3","3","3003"
"0","0","4","3","3004"
"0","0","1","4","4001"
"0","0","2","4","4002"
"0","0","3","4","4003"
"0","0","4","4","4004"
"0","0","100","4","4005"
"1","0","10101","5","5010"
"2","1","10201","5","5020"
"2","2","10202","5","5021"
"3","0","10301","5","5030"
"3","1","10301","5","5031"
"4","0","10302","5","5040"
"5","0","10303","5","5050"
"6","0","10304","5","5060"
"1","0","90001","6","6001"
"2","0","90001","6","6002"
"2","1","90001","6","6003"
"3","0","90001","6","6006"
"3","1","91101","6","6007"
"3","2","91201","6","6008"
"3","3","91301","6","6009"
"4","0","90001","6","6010"
"4","1","91101","6","6011"
"4","2","91201","6","6012"
"4","3","91301","6","6013"
"5","0","90001","6","6014"
"5","1","91101","6","6015"
"5","2","91201","6","6016"
"5","3","91301","6","6017"
"6","0","90001","6","6018"
"6","1","91101","6","6019"
"6","2","91201","6","6020"
"6","3","91301","6","6021"
"7","0","92001","6","6022"
"7","1","92101","6","6023"
"7","2","92201","6","6024"
"7","3","92301","6","6025"
"7","4","92401","6","6026"
"8","0","92001","6","6027"
"8","1","92101","6","6028"
"8","2","92201","6","6029"
"8","3","92301","6","6030"
"8","4","92401","6","6031"
"9","0","92001","6","6032"
"9","1","92101","6","6033"
"9","2","92201","6","6034"
"9","3","92301","6","6035"
"9","4","92401","6","6036"
"10","0","90001","6","6037"
"10","1","90101","6","6038"
"10","2","90201","6","6039"
"10","3","90301","6","6040"
"10","4","90401","6","6041"
"11","0","90001","6","6042"
"11","1","90101","6","6043"
"11","2","90201","6","6044"
"11","3","90301","6","6045"
"11","4","90401","6","6046"
"12","0","91001","6","6047"
"12","1","91101","6","6048"
"12","2","91201","6","6049"
"12","3","91301","6","6050"
"12","4","91401","6","6051"
"0","0","90002","7","7000"
"0","1","90002","7","7001"
"0","2","90003","7","7002"
"2","1","90002","7","7003"
"2","2","90003","7","7004"
"3","1","91102","7","7005"
"3","2","91103","7","7006"
"4","1","91102","7","7007"
"4","2","91103","7","7008"
"5","1","91102","7","7009"
"5","2","91103","7","7010"
"6","1","91102","7","7011"
"6","2","91103","7","7012"
"7","1","92102","7","7013"
"7","2","92103","7","7014"
"8","1","92102","7","7015"
"8","2","92103","7","7016"
"9","1","92102","7","7017"
"9","2","92103","7","7018"
"10","1","90102","7","7019"
"10","2","90103","7","7020"
"11","1","90102","7","7021"
"11","2","90103","7","7022"
"12","1","91102","7","7023"
"12","2","91103","7","7024"
"0","0","20101","9","9001"
"0","0","20201","10","10001"
"1","0","20202","10","10002"
"8","0","10501","101","10180"
"1","0","1","100","100001"
"2","0","1","100","100002"
"3","0","2","100","100003"
"4","0","2","100","100004"
"5","0","2","100","100005"
"6","0","2","100","100006"
"7","0","3","100","100007"
"8","0","3","100","100008"
"9","0","3","100","100009"
"10","0","1","100","100010"
"11","0","1","100","100011"
"12","0","2","100","100012"
"98001","0","10301","101","980001"
"98001","2","10402","101","980002"
"98011","1","10401","101","980011"
"98012","2","10402","101","980012"
