ef99fc9a0dd09d94c797ad98c8e0ce96f8a28b47c65e6a0a993097fd847d0abd,084b9ffae6b0aa0b5a1873bc44c1b80acc5908a2504a07e08f4f5f893efce965,98682417c32936a7fed5aad77d9eeb1d4a2193851c70275147508f4b4af12626,68edb7e094f71bc7d49b4085ae7e91d18103e7b3c1ff70d48a9153bea7f6a3bf,bcb3110f5e08d77025e2f45a4ee125ec9464a091835158239feae5f6ba2d87b1,6454b6e04b84d678fd19c83e150d1122d61e54be21fc5c6c2d67c593c126c544,96736b0f12604a618330be05840a30916375e18d5d372abe121910d9fa2e0c3c,d37e93e8d3c9febd3485f7fcad62c34858671f8790cdcc35c7061a5f036fe6fd,d9ea7844b92bc8d5fdb897cbcffffb57afbfe3aa34572099e71210327643721c,3f35ad23a5c417a82ab29d341b097a61dd4cab2bc9d94f54eee73710e976e43c,41887ff939a5674ebdb3ef4804470df3bee7f14198c23773f2661e680eb2c540,afa90d0d7a3587e3e8bf79c144bcfb8f47ba123957e77cd83767eca080b2fcbf,e6d8601b5404194a7dd771d359fed2efa9745b09ee30a5238e561614914477be,b59cf9bdc38f3cb8b957192044d2f97ed7ff456bb4e032ffcbe6e1175bdceb96,493357132ad041bbe2ffdd8450226fc4faf9ddafcbfc752a21fe7811747d705f,f097460ac00376ebb9157511fcc673d59d967dd4dfd894f28149770407c24ce9
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25101"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25201"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25202"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25301"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25302"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25401"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25402"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31001"
"12006001","0","0","0","0","0","0","0","0","0","0","0","12015001","12002002","0","31002"
"12008001","0","0","0","0","0","0","0","0","0","0","0","12018001","12002001","0","31003"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31004"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31005"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31006"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31007"
"12013002","0","0","0","0","0","0","0","0","0","0","0","0","12008002","0","31008"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31009"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31010"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31011"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31012"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31015"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31016"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31017"
"0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","31018"
"12009002","0","0","0","0","0","0","0","0","0","0","0","12015002","12003003","0","31020"
"12005001","0","0","0","0","0","0","0","0","0","0","0","12014001","12001002","0","31021"
"0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","31022"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31023"
"0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","31025"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31026"
"12011002","0","0","0","0","0","0","0","0","0","0","0","12017002","12007002","0","31027"
"12009003","0","0","0","0","0","0","0","0","0","0","0","12018003","12002003","0","31028"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31029"
"12010003","0","0","0","0","0","0","0","0","0","0","0","0","12004003","0","31030"
"12014002","0","0","0","0","0","0","0","0","0","0","0","0","12007003","0","31031"
"12012003","0","0","0","0","0","0","0","0","0","0","0","0","12008003","0","31032"
"12012001","0","0","0","0","0","0","0","0","0","0","0","12019002","12006002","0","31033"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31034"
"0","0","0","0","0","0","0","0","0","0","0","0","0","12016003","0","31036"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31037"
"12012002","0","0","0","0","0","0","0","0","0","0","0","12018002","12005003","0","31038"
"12009001","0","0","0","0","0","0","0","0","0","0","0","12016001","12001003","0","31040"
"0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","31042"
"0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","31043"
"0","0","0","0","0","0","0","0","0","0","0","0","0","12017003","0","31044"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31045"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31046"
"0","0","0","0","0","0","0","0","0","0","0","0","0","12014003","0","31047"
"12010002","0","0","0","0","0","0","0","0","0","0","0","12016002","12005002","0","31048"
"12011003","0","0","0","0","0","0","0","0","0","0","0","0","12006003","0","31049"
"12010001","0","0","0","0","0","0","0","0","0","0","0","12019001","12004002","0","31050"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31051"
"12011001","0","0","0","0","0","0","0","0","0","0","0","0","12003002","0","31052"
"0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","31053"
"0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","31054"
"12019003","0","0","0","0","0","0","0","0","0","0","0","0","12013003","0","31057"
"12007001","0","0","0","0","0","0","0","0","0","0","0","12017001","12003001","0","31058"
"12004001","0","0","0","0","0","0","0","0","0","0","0","12013001","12001001","0","31059"
"0","0","0","0","0","0","0","0","0","204","0","0","0","0","0","31060"
"0","0","0","0","0","0","0","0","0","0","0","0","0","12015003","0","31063"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31075"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31076"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31077"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31078"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31079"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31080"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31081"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31082"
"11001005","0","0","0","0","0","0","0","11002001","0","0","0","11001010","11001001","0","101011"
"11002007","0","0","0","0","0","0","0","0","0","0","0","0","11001006","0","101071"
"11001008","0","0","0","0","0","0","0","0","0","0","0","0","11001004","0","101101"
"11002008","0","0","0","0","0","0","0","0","0","0","0","0","11001009","0","101131"
"11001005","0","0","0","0","0","0","0","0","0","0","0","12001001","11001003","0","101161"
"11002001","0","0","0","0","0","0","0","0","0","0","0","0","11001007","0","101191"
"11001007","0","0","0","0","0","0","0","11002006","0","0","0","11002002","11001002","0","101251"
"11001008","12001002","0","0","0","0","0","0","12001001","0","0","0","11002005","11001001","0","101281"
"11002002","0","0","0","0","0","0","0","0","0","0","0","0","11001004","0","101371"
"11001010","0","0","0","0","0","0","0","0","0","0","0","11002003","11001006","0","101401"
"11001006","12001003","0","0","0","0","0","0","12001001","0","0","0","11002007","11001003","0","101431"
"11001005","0","0","0","0","0","0","0","0","0","0","0","11002004","11001002","0","101521"
"11001004","12001002","0","0","0","0","0","0","11002003","0","0","0","11001009","11001002","0","101551"
"11002004","12003001","0","0","0","0","0","0","12001002","0","0","0","11002006","11001001","0","101581"
"11001007","0","0","0","0","0","0","0","11002008","0","0","0","11002005","11001003","0","101611"
"11002010","0","0","0","0","0","0","0","12002001","0","0","0","11003003","11002001","0","102011"
"11004003","0","0","0","0","0","0","0","0","0","0","0","12003001","11003005","0","102013"
"11004002","0","0","0","0","0","0","0","0","0","0","0","0","11003006","0","102014"
"11004003","0","0","0","0","0","0","0","0","0","0","0","12004003","11003007","0","102041"
"11003001","0","0","0","0","0","0","0","0","0","0","0","12002003","11002006","0","102071"
"11004001","0","0","0","0","0","0","0","0","0","0","0","0","11003006","0","102101"
"11004001","0","0","0","0","0","0","0","0","0","0","0","12001003","11003005","0","102131"
"11003007","0","0","0","0","0","0","0","0","0","0","0","12004001","11002003","0","102162"
"11004004","0","0","0","0","0","0","0","0","0","0","0","12003002","11003003","0","102163"
"11003004","0","0","0","0","0","0","0","0","0","0","0","0","11002005","0","102191"
"11004002","0","0","0","0","0","0","0","0","0","0","0","12003003","11003004","0","102192"
"11002012","0","0","0","0","0","0","0","0","0","0","0","11003005","11002004","0","102221"
"11004002","0","0","0","0","0","0","0","0","0","0","0","0","11003004","0","102222"
"11003002","0","0","0","0","0","0","0","0","0","0","0","12002002","11002002","0","102251"
"11004001","0","0","0","0","0","0","0","0","0","0","0","0","11003003","0","102252"
"11003010","0","0","0","0","0","0","0","0","0","0","0","0","11002008","0","102281"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102282"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102311"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102312"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102341"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102342"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102371"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102372"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102401"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102431"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102432"
"0","0","0","0","0","0","0","0","0","0","0","0","0","11002011","0","102461"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102491"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102493"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102521"
"11003001","0","0","0","0","0","0","0","0","0","0","0","12002001","11002011","0","102551"
"11004007","0","0","0","0","0","0","0","12004001","0","0","0","12003003","11003011","0","102552"
"11003012","0","0","0","0","0","0","0","0","0","0","0","12001003","11002010","0","102581"
"11004008","0","0","0","0","0","0","0","12003002","0","0","0","12002003","11003011","0","102582"
"11002009","0","0","0","0","0","0","0","0","0","0","0","12002002","11001010","0","102611"
"11003002","0","0","0","0","0","0","0","0","0","0","0","0","11002012","0","102612"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102613"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102614"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103011"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103012"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103013"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103041"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103042"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103071"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103072"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103101"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103131"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103132"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103161"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103162"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103191"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103192"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103193"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103221"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103222"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103251"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103252"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103281"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103282"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103283"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103311"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103341"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103342"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103343"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103371"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103372"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103401"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103431"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103432"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103461"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103491"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103521"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103522"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103551"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103552"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103553"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103581"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103582"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103583"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103611"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103612"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103613"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103614"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104011"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104012"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104013"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104014"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104041"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104042"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104043"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104044"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104071"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104072"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104073"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104074"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104101"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104102"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104103"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104104"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104131"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104132"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104133"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104134"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104161"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104162"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104163"
