558e88f54441a8024c3172b71f4eb54a83a0dfe98fc6db3bf71992db81b5c9f6,24d02deccbb16226002414f7def1dc64836355fff1048867a9304ac8875b343a,6c18f36d86c201ba4ba37af12427be69801bc6459ef095b14c6941fbe0b659ee,65fc45266c70d9bba49cf7db4e539b134cb7c2576eb20150309cdc734b932541,06cb3648311ae31d25027684bc4e6898c908f649d7094159ff85788eae2e4093,8101c8a2a32dd140b8e7f806eac44fdde80b5f08ff301b7e5164bd674a8188c1,294c3b15164cfbe2ffb5ae53a3b2de3e9ab15c739786c0824d6ebadaf9980e82,383524f375b25662d56c1a676da3a7ec98b6d79dd06780f2463c88701edd29c0,de7ec3b87f2ccbe9faf35b80aa643157f968c0b17b03b1e83c825e800e769030,08786138643a56e40c03094a3cd71ab1290ac0939911fa083b148b413ffba18d,7d7cce1f1f0688d4bc49bc661f2d6d4040487f2ced03114f3c9df1ca964efeff,6095aca8654cc97e31d286ce0da66c0b6a064efac5e60cb6f013c4361e336c2e,2ac8ed6f906e96a597f93786ed834634226a0ad2c193972a999c8fa81b9123c9,6698311bba9a13d545a4b9723d89eae8a1e947a911b913f6f75dbe1b25604a7b,1d09c2ff09f058d601d8b9740ec09bc39350503e5daa5453889f3353eab5acfd,ec134ffb8d34fe98d1cda40efd4c37de86027e77d3b42fb6372f04161ffc2ba5,f81a0419a3c4b357896d59d5c096069568af9bda1570398d0247cd9f1b776f8e,0e675b04e8b468c967ee7e2ea63dc9608fdf0725cb42aea3ac3c5531d2b9c543,e7582dd8cf5c719c83bbbe39b467696e23414d0f19070099b126819c8727f3b1
"41001","31001","20000000","1","0","1100101","0","120","0","100101","0","0","12","94000","0","0","0","2","0"
"41002","31002","20000000","1","0","1100201","0","120","0","100201","0","0","12","94000","0","0","0","2","0"
"41003","31003","20000000","1","0","1100301","0","120","0","100301","0","0","12","94000","0","0","0","2","0"
"41004","31004","20000000","1","0","1100401","0","120","0","100401","0","0","12","94000","0","0","0","2","0"
"41005","31005","20000000","1","0","1100501","0","120","0","100501","0","0","12","94000","0","0","0","2","0"
"41006","31006","20000000","1","0","1100601","0","120","0","100601","0","0","12","94000","0","0","0","2","0"
"41007","31007","20000000","1","0","1100701","0","120","0","100701","0","0","12","94000","0","0","0","2","0"
"41008","31008","20000000","1","0","1100801","0","120","0","100801","0","0","12","94000","0","0","0","2","0"
"41009","31009","20000000","1","0","1100901","0","120","0","100901","0","0","12","94000","0","0","0","2","0"
"41010","31010","20000000","1","0","1101001","0","120","0","101001","0","0","12","94000","0","0","0","2","0"
"41011","31011","20000000","1","0","1101101","0","120","0","101101","0","0","12","94000","0","0","0","2","0"
"41012","31012","20000000","1","0","1101201","0","120","0","101201","0","0","12","94000","0","0","0","2","0"
"41013","31013","20000000","1","0","1101301","0","120","0","101301","0","0","12","94000","0","0","0","2","0"
"41014","31014","20000000","1","0","1101401","0","120","0","101401","0","0","12","94000","0","0","0","2","0"
"41015","31015","20000000","1","0","1101501","0","120","0","101501","0","0","12","94000","0","0","0","2","0"
"41016","31016","20000000","1","0","1101601","0","120","0","101601","0","0","12","94000","0","0","0","2","0"
"41017","31017","20000000","1","0","1101701","0","120","0","101701","0","0","12","94000","0","0","0","2","0"
"41018","31018","20000000","1","0","1101801","0","120","0","101801","0","0","12","94000","0","0","0","2","0"
"41020","31020","20000000","1","0","1102001","0","120","0","102001","0","0","12","94000","0","0","0","2","0"
"41021","31021","20000000","1","0","1102101","0","120","0","102101","0","0","12","94000","0","0","0","2","0"
"41022","31022","20000000","1","0","1102201","0","120","0","102201","0","0","12","94000","0","0","0","2","0"
"41023","31023","20000000","1","0","1102301","0","120","0","102301","0","0","12","94000","0","0","0","2","0"
"41025","31025","20000000","1","0","1102501","0","120","0","102501","0","0","12","94000","0","0","0","2","0"
"41026","31026","20000000","1","0","1102601","0","120","0","102601","0","0","12","94000","0","0","0","2","0"
"41027","31027","20000000","1","0","1102701","0","120","0","102701","0","0","12","94000","0","0","0","2","0"
"41028","31028","20000000","1","0","1102801","0","120","0","102801","0","0","12","94000","0","0","0","2","0"
"41029","31029","20000000","1","0","1102901","0","120","0","102901","0","0","12","94000","0","0","0","2","0"
"41030","31030","20000000","1","0","1103001","0","120","0","103001","0","0","12","94000","0","0","0","2","0"
"41031","31031","20000000","1","0","1103101","0","120","0","103101","0","0","12","94000","0","0","0","2","0"
"41032","31032","20000000","1","0","1103201","0","120","0","103201","0","0","12","94000","0","0","0","2","0"
"41033","31033","20000000","1","0","1103301","0","120","0","103301","0","0","12","94000","0","0","0","2","0"
"41034","31034","20000000","1","0","1103401","0","120","0","103401","0","0","12","94000","0","0","0","2","0"
"41036","31036","20000000","1","0","1103601","0","120","0","103601","0","0","12","94000","0","0","0","2","0"
"41037","31037","20000000","1","0","1103701","0","120","0","103701","0","0","12","94000","0","0","0","2","0"
"41038","31038","20000000","1","0","1103801","0","120","0","103801","0","0","12","94000","0","0","0","2","0"
"41040","31040","20000000","1","0","1104001","0","120","0","104001","0","0","12","94000","0","0","0","2","0"
"41042","31042","20000000","1","0","1104201","0","120","0","104201","0","0","12","94000","0","0","0","2","0"
"41043","31043","20000000","1","0","1104301","0","120","0","104301","0","0","12","94000","0","0","0","2","0"
"41044","31044","20000000","1","0","1104401","0","120","0","104401","0","0","12","94000","0","0","0","2","0"
"41045","31045","20000000","1","0","1104501","0","120","0","104501","0","0","12","94000","0","0","0","2","0"
"41046","31046","20000000","1","0","1104601","0","120","0","104601","0","0","12","94000","0","0","0","2","0"
"41047","31047","20000000","1","0","1104701","0","120","0","104701","0","0","12","94000","0","0","0","2","0"
"41048","31048","20000000","1","0","1104801","0","120","0","104801","0","0","12","94000","0","0","0","2","0"
"41049","31049","20000000","1","0","1104901","0","120","0","104901","0","0","12","94000","0","0","0","2","0"
"41050","31050","20000000","1","0","1105001","0","120","0","105001","0","0","12","94000","0","0","0","2","0"
"41051","31051","20000000","1","0","1105101","0","120","0","105101","0","0","12","94000","0","0","0","2","0"
"41052","31052","20000000","1","0","1105201","0","120","0","105201","0","0","12","94000","0","0","0","2","0"
"41053","31053","20000000","1","0","1105301","0","120","0","105301","0","0","12","94000","0","0","0","2","0"
"41054","31054","20000000","1","0","1105401","0","120","0","105401","0","0","12","94000","0","0","0","2","0"
"41055","31055","20000000","1","0","1105501","0","120","0","105501","0","0","12","94000","0","0","0","2","0"
"41056","31056","20000000","1","0","1105601","0","120","0","105601","0","0","12","94000","0","0","0","2","0"
"41057","31057","20000000","1","0","1105701","0","120","0","105701","0","0","12","94000","0","0","0","2","0"
"41058","31058","20000000","1","0","1105801","0","120","0","105801","0","0","12","94000","0","0","0","2","0"
"41059","31059","20000000","1","0","1105901","0","120","0","105901","0","0","12","94000","0","0","0","2","0"
"41060","31060","20000000","1","0","1106001","0","120","0","106001","0","0","12","94000","0","0","0","2","0"
"41061","31061","30000000","1","0","1106101","0","40","0","106101","0","0","12","94000","0","0","0","2","0"
"41063","31063","20000000","1","0","1106301","0","120","0","106301","0","0","12","94000","0","0","0","2","0"
"41064","31064","20000000","1","0","1106401","0","120","0","106401","0","0","12","94000","0","0","0","2","0"
"41065","31065","20000000","1","0","1106501","0","120","0","106501","0","0","12","94000","0","0","0","2","0"
"41066","31066","20000000","1","0","1106601","0","120","0","106601","0","0","12","94000","0","0","0","2","0"
"41067","31067","30000000","1","0","1106701","0","40","0","106701","0","0","12","94000","0","0","0","2","0"
"41068","31068","30000000","1","0","1106801","0","40","0","106801","0","0","12","94000","0","0","0","2","0"
"41069","31069","30000000","1","0","1106901","0","40","0","106901","0","0","12","94000","0","0","0","2","0"
"41070","31070","30000000","1","0","1107001","0","40","0","107001","0","0","12","94000","0","0","0","2","0"
"41071","31071","30000000","1","0","1107101","0","40","0","107101","0","0","12","94000","0","0","0","2","0"
"41075","31075","30000000","1","0","1107501","0","40","0","107501","0","0","12","94000","0","0","0","2","0"
"41076","31076","30000000","1","0","1107601","0","40","0","107601","0","0","12","94000","0","0","0","2","0"
"41077","31077","30000000","1","0","1107701","0","40","0","107701","0","0","12","94000","0","0","0","2","0"
"41078","31078","30000000","1","0","1107801","0","40","0","107801","0","0","12","94000","0","0","0","2","0"
"41079","31079","30000000","1","0","1107901","0","40","0","107901","0","0","12","94000","0","0","0","2","0"
"41080","31080","30000000","1","0","1108001","0","40","0","108001","0","0","12","94000","0","0","0","2","0"
"41081","31081","30000000","1","0","1108101","0","40","0","108101","0","0","12","94000","0","0","0","2","0"
