982199e7c276bf619102aec9617598636846fe442cf8082c745690ce440e06b2,d5a17440a4b8658eb573176a57afc84ec83c615dece69cfdfe828608500d4992,59d2c5fe6875a37bf80bc2d1bab733f4847df92d9eb8bdf6598ea72fac18c89d,4a1f7282f27a87688b12bbb3aaad828695d5164a52f970b42be99b991ed23833
"毒/猛毒ダメージアップ","バトル中、「毒」「猛毒」のダメージが大幅にアップする。","1","poison_damage_up"
"火傷ダメージアップ","バトル中、「火傷」のダメージが大幅にアップする。","2","burn_damage_up"
"呪い/呪詛ダメージアップ","バトル中、「呪い」「呪詛」のダメージが大幅にアップする。","3","curse_damage_up"
"麻痺効果時間増加","バトル中、「麻痺」の効果時間が増加する。","4","paralysis_time_extension"
"凍結効果時間増加","バトル中、「凍結」の効果時間が増加する。","5","frozen_time_extension"
"束縛効果時間増加","バトル中、「束縛」の効果時間が増加する。","6","bind_time_extension"
"スタン効果時間増加","バトル中、「スタン」の効果時間が増加する。","7","stun_time_extension"
"毒/猛毒効果時間増加","バトル中、「毒」「猛毒」の効果時間が増加する。","8","poison_time_extension"
"火傷効果時間増加","バトル中、「火傷」の効果時間が増加する。","9","burn_time_extension"
"呪い/呪詛効果時間増加","バトル中、「呪い」「呪詛」の効果時間が増加する。","10","curse_time_extension"
"誘惑効果時間増加","バトル中、「誘惑」の効果時間が増加する。","11","temptation_time_extension"
"混乱効果時間増加","バトル中、「混乱」の効果時間が増加する。","12","confusion_time_extension"
"物理攻撃力アップ","バトル中、物理攻撃力が大幅にアップする。","13","attack_up"
"魔法攻撃力アップ","バトル中、魔法攻撃力が大幅にアップする。","14","magic_str_up"
"物理防御力アップ","バトル中、物理防御力が大幅にアップする。","15","defense_up"
"魔法防御力アップ","バトル中、魔法防御力が大幅にアップする。","16","magic_def_up"
"物理クリティカルアップ","バトル中、物理クリティカルが大幅にアップする。","17","physical_critical_up"
"魔法クリティカルアップ","バトル中、魔法クリティカルが大幅にアップする。","18","magic_critical_up"
"ＴＰ上昇アップ","バトル中、ＴＰ上昇が大幅にアップする。","19","energy_recovery_rate_up"
"バトル開始時ＴＰ特大回復","バトル開始時、ＴＰが特大回復する。","20","energy_recovery"
"麻痺確定付与","バトル中、「麻痺」を必ず付与できる状態になる。","22","paralysis_hit_absolute"
"凍結確定付与","バトル中、「凍結」を必ず付与できる状態になる。","23","frozen_hit_absolute"
"束縛確定付与","バトル中、「束縛」を必ず付与できる状態になる。","24","bind_hit_absolute"
"スタン確定付与","バトル中、「スタン」を必ず付与できる状態になる。","25","stun_hit_absolute"
"毒/猛毒確定付与","バトル中、「毒」「猛毒」を必ず付与できる状態になる。","26","poison_hit_absolute"
"火傷確定付与","バトル中、「火傷」を必ず付与できる状態になる。","27","burn_hit_absolute"
"呪い/呪詛確定付与","バトル中、「呪い」「呪詛」を必ず付与できる状態になる。","28","curse_hit_absolute"
"誘惑確定付与","バトル中、「誘惑」を必ず付与できる状態になる。","29","temptation_hit_absolute"
"混乱確定付与","バトル中、「混乱」を必ず付与できる状態になる。","30","confusion_hit_absolute"
