3dd82ad46dc77b6eb006167d135dda1c054a31c2d8dc17d3ab709149435b4787,3e0e5b16d8cc80473e4d0e66463d51aaf4ccab171ba831d9e10d5e5dcf45789f,1bc638cbfcdabb9f589cdabf766a8fb813b589c9103b53037c9124182505d0a7,bdc225f39f671ecf3c67dfd93388e0c8cd64d4645aed560e771e9fda8d9a635f,2fdb889b32738fc9da5fad130e40f0de6d77793cd597f14b1ce938d4ccd6ae1a,19a89e79d9762e17ef2ee59aeba217f6dcb161f78fe7a96ee594726f7937e50d,15ece86fdfa635042546b785cde4a1a83b503f4fa472f934dfd353a59a1a6514,f11901ed8a725af2077b51b5433802373fc4571db2f54f9cae699e4f9dc6df3e,47a22c7fdecc1fac1b87e71df460778077670e0119d9b092018adfe8274c03ae,359a2f32ddb65e75d805d82a9b72f9b8b3b53de31192ef0a74c1b1d2e2c2d1fd,dc58bf6f9add16274912b19bcdd43d7e5b507fce5f4bc80ec77f0eeb92c85fc7
"-420","1","101","cgg_idle_normal","5","1","160","-230","100","101001","0"
"375","105811","101","cgg_idle_def","1","1","1.6","-230","100","101002","1"
"490","106011","101","cgg_idle_def","1","1","1.6","-230","101","101003","1"
"1","1","101","","6","1","0.1","1","1","101004","0"
"1","1","101","","6","105811","0.1","1","1","101005","0"
"1","1","101","","6","106011","0.1","1","1","101006","0"
"","0","101","","93","0.2","","","","101007",""
"0","vo_minigame_1007_top_talk_1_001","101","","21","vo_minigame_1007","","","0","101008",""
"0","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","101","0","11","105811","0","0","7","101009","0"
"","cgg_idle_surprise1","101","","3","1","0.2","","1","101010",""
"cgg_talk_surprise_kira","cgg_surprise_kira","101","","3","105811","0.2","1","0","101011","0"
"","0","101","","93","2.1","","","","101012",""
"","cgg_idle_surprise3","101","","3","1","0.2","","1","101013",""
"","cgg_talk_joy1","101","","3","105811","0.2","","1","101014",""
"","","101","","91","101009","","","","101015",""
"","cgg_idle_def","101","","3","105811","0.2","","1","101016",""
"0","vo_minigame_1007_top_talk_1_002","101","","21","vo_minigame_1007","","","0","101017",""
"0","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","101","0","11","106011","0","0","6","101018","0"
"","cgg_idle_reaction1","101","","3","1","0.2","","1","101019",""
"","cgg_talk_surprise1","101","","3","106011","0.2","","1","101020",""
"","0","101","","93","2.1","","","","101021",""
"","cgg_idle_nod","101","","3","1","0.2","","1","101022",""
"","cgg_talk_bitter","101","","3","106011","0.2","","1","101023",""
"","","101","","91","101018","","","","101024",""
"","0","101","","93","0.5","","","","101025",""
"","cgg_idle_normal","101","","3","1","0.2","","1","101026",""
"","cgg_idle_def","101","","3","106011","0.2","","1","101027",""
"","cgg_idle_joy2","101","","3","105811","0.2","","1","101028",""
"","10","101","","12","105811","0.2","","1.4","101029",""
"","0","101","","93","3","","","","101030",""
"","cgg_idle_def","101","","3","105811","0.2","","1","101031",""
"","cgg_talk_surprise_dere","101","","3","106011","0.2","","1","101032",""
"","8","101","","12","106011","0.2","","1.4","101033",""
"","0","101","","93","3","","","","101034",""
"","cgg_idle_def","101","","3","106011","0.2","","1","101035",""
"cgg_idle_surprise1","cgg_surprise1","101","","3","1","0.2","1","0","101036","0"
"","4","101","","12","1","0.2","","1.4","101037",""
"","0","101","","93","3","","","","101038",""
"","0","101","","101","101026","","","","101039",""
"","0.5","101","","22","0","","","","101040",""
"1","1","101","","6","1","0.1","0","1","101041","0"
"1","1","101","","6","105811","0.1","0","1","101042","0"
"1","1","101","","6","106011","0.1","0","1","101043","0"
"","0","101","","93","0.1","","","","101044",""
"","cgg_idle_normal","101","","3","1","0","","1","101045",""
"","cgg_idle_def","101","","3","105811","0","","1","101046",""
"","cgg_idle_def","101","","3","106011","0","","1","101047",""
"-420","1","102","cgg_idle_normal","5","1","160","-230","100","102001","0"
"375","105911","102","cgg_idle_def","1","1","1.6","-230","100","102002","1"
"490","106411","102","cgg_idle_def","1","1","1.6","-230","101","102003","1"
"1","1","102","","6","1","0.1","1","1","102004","0"
