d9f02b6be6bf402c3ba2c3956a09f7dbf41cd589608f92a8b55af6454de3d5e7,4f62b9907df24c566c4c451870609648c70341a735fc60d0761fca820ffcb9ff,58a0b6927d29f36d98ffe512988552a064df02cd824e1a1b043570f881353652,4c19f98b7c8ecd85166af4c1d441cac8b6569b4927fd59b77919a6ac3b54a58f,635c09f14b4a9910121fed34025b2a4d10b23c5183a3d8afb2a4a654b749f7a2,2b64a2bb1192a3f5f45c3ec4d8b3eeba23eaae84a15fc77ff8a2e73c3274cdd5,23033cce20f6137f04abfbbde5aa70fba83fc20def55b0203671e89e193f689a,4ef1e6becfa7cb0cc7dd28343456c19312c2dbf9dc30204a0bebcde4862d271b,ccf89b4f41e3c39cb7493541b72a05dfad1638e58c735e0f71f62db12d87772e,ab0647cc34cce62ba461a578dfab1130e46e04e5fe30be3cf730114f970b5ec7
"1","0","1","90001","0","10","90043","10000","12000","30000"
"2","0","2","90002","0","20","90047","10000","24000","30000"
"3","0","3","90002","0","20","90047","10000","24000","30000"
"4","0","4","90002","0","20","90047","10000","24000","30000"
"5","0","5","90002","0","20","90047","10000","24000","30000"
"6","0","6","90002","0","20","90047","10000","24000","30000"
"7","0","7","90002","0","20","90047","10000","24000","30000"
"8","0","8","90002","0","20","90047","10000","24000","30000"
"9","0","9","90002","0","20","90047","10000","24000","30000"
"10","1","10","90002","0","20","90047","10000","24000","30000"
"11","2","11","90003","90011","40","90051","10000","48000","30000"
"12","3","12","90003","90011","40","90051","10000","48000","30000"
"13","4","13","90003","90011","40","90051","10000","48000","30000"
"14","5","14","90003","90011","40","90051","10000","48000","30000"
"15","6","15","90003","90011","40","90051","10000","48000","30000"
"16","7","16","90003","90011","40","90051","10000","48000","30000"
"17","8","17","90003","90011","40","90051","10000","48000","30000"
"18","9","18","90003","90011","40","90051","10000","48000","30000"
"19","10","19","90003","90011","40","90051","10000","48000","30000"
"20","11","20","90003","90011","40","90051","10000","48000","30000"
"21","12","21","90004","90015","60","90055","10000","72000","30000"
"22","13","22","90004","90015","60","90055","10000","72000","30000"
"23","14","23","90004","90015","60","90055","10000","72000","30000"
"24","15","24","90004","90015","60","90055","10000","72000","30000"
"25","16","25","90004","90015","60","90055","10000","72000","30000"
"26","17","26","90004","90015","60","90055","10000","72000","30000"
"27","18","27","90004","90015","60","90055","10000","72000","30000"
"28","19","28","90004","90015","60","90055","10000","72000","30000"
"29","20","29","90004","90015","60","90055","10000","72000","30000"
"30","21","30","90004","90015","60","90055","10000","72000","30000"
"31","22","31","90005","90015","80","90059","10000","96000","30000"
"32","23","32","90005","90015","80","90059","10000","96000","30000"
"33","24","33","90005","90015","80","90059","10000","96000","30000"
"34","25","34","90005","90015","80","90059","10000","96000","30000"
"35","26","35","90005","90015","80","90059","10000","96000","30000"
"36","27","36","90005","90015","80","90059","10000","96000","30000"
"37","28","37","90005","90015","80","90059","10000","96000","30000"
"38","29","38","90005","90015","80","90059","10000","96000","30000"
"39","30","39","90005","90015","80","90059","10000","96000","30000"
"40","31","40","90005","90015","80","90059","10000","96000","30000"
"41","33","41","90005","90017","120","90063","10000","144000","30000"
"42","35","42","90005","90017","120","90063","10000","144000","30000"
"43","37","43","90005","90017","120","90063","10000","144000","30000"
"44","39","44","90005","90017","120","90063","10000","144000","30000"
"45","41","45","90005","90017","120","90063","10000","144000","30000"
"46","43","46","90005","90017","120","90063","10000","144000","30000"
"47","45","47","90005","90017","120","90063","10000","144000","30000"
"48","47","48","90005","90017","120","90063","10000","144000","30000"
"49","49","49","90005","90017","120","90063","10000","144000","30000"
"50","51","50","90005","90017","120","90063","10000","144000","30000"
"51","53","51","90006","90019","150","90067","10000","180000","30000"
"52","55","52","90006","90019","150","90067","10000","180000","30000"
"53","57","53","90006","90019","150","90067","10000","180000","30000"
"54","59","54","90006","90019","150","90067","10000","180000","30000"
"55","61","55","90006","90019","150","90067","10000","180000","30000"
"56","63","56","90006","90019","150","90067","10000","180000","30000"
"57","65","57","90006","90019","150","90067","10000","180000","30000"
"58","67","58","90006","90019","150","90067","10000","180000","30000"
"59","69","59","90006","90019","150","90067","10000","180000","30000"
"60","71","60","90006","90019","150","90067","10000","180000","30000"
"61","74","61","90007","90021","180","90071","10000","216000","30000"
"62","77","62","90007","90021","180","90071","10000","216000","30000"
"63","80","63","90007","90021","180","90071","10000","216000","30000"
"64","83","64","90007","90021","180","90071","10000","216000","30000"
"65","86","65","90007","90021","180","90071","10000","216000","30000"
"66","89","66","90007","90021","180","90071","10000","216000","30000"
"67","92","67","90007","90021","180","90071","10000","216000","30000"
"68","95","68","90007","90021","180","90071","10000","216000","30000"
"69","98","69","90007","90021","180","90071","10000","216000","30000"
"70","101","70","90007","90021","180","90071","10000","216000","30000"
