112be7a315762889c47e3d0b95287993c9bbf5d58ae1e6afde40524b24a6401d,a49fd219b8244af05703e6910e0635def65d698572daef12b888c9e39fa4a483,b67d6478203acf18d234fdf8cb6882eb1e539e9356a93f197e3e2d22924ae53a,c44eec3f02f4ae3ecad21727ebd83551e7d55b40301f9c06fb6ba6bb7c89f7d8,f409b83694e31eff6b04eb59b0be7da9ac669c97bf8c5133a681a5c3bcda2c6e,e6cb9c9d3dc4ffabc61d9bea2e66dcecb71ce64841fbbbb7e2e2ffce1155c242,c897161e821f60497e7d5c271ed5c6adeaa34e7d636b4960306f8e2643be131b
"料理入手イベント","0","3","0","0","1","1"
"ダイス入手イベント1","0","1","0","0","2","2"
"ダイス入手イベント2","0","2","0","0","2","3"
"ターン数カウントスキップ","1","0","0","3","3","4"
"マイル+100%","0","100","1","2","4","5"
"ミニゲームマイル+100%","0","100","1","2","5","6"
"ショップ割引イベント","0","300","1","3","6","7"
"ターン数カウントスキップ1","2","0","0","3","3","98001"
"ターン数カウントスキップ1","1","0","0","3","3","98011"
"ターン数カウントスキップ2","2","0","0","3","3","98012"
