8bdc88fb936ee2e111bb6d48f658bc661bdb0f7150234f0fddb558a72388cdb3,544548c98f51061220421926aef2897b1d36a2ce404b76801679178b95147672,1dfdc0903d053d6944586e57058db7787c89c89b5323715e0a73dfb5e13aaca4,d3b57fca438c8bf0a0269be656b955590efc37682896a990f6b598e4c97b2052,92f8aba38d6b7030013912b9aa465e81e5f84ce13c49eb696a06f597cc2df85b
"1","1","20021103","1001001","リマのインタビュー"
"2","1","20021103","1001002","キャルのインタビュー"
"3","1","20021103","1001003","タマキのインタビュー"
"4","1","20021103","1001004","トモのインタビュー"
"5","1","20021105","1002001","クリスティーナ・アキノのインタビュー"
"6","1","20021105","1002002","シオリ・キョウカのインタビュー"
"7","1","20021105","1002003","ぺコリーヌのインタビュー"
"8","1","20021105","1002004","モニカのインタビュー"
"9","1","20021109","1003001","アユミのインタビュー"
"10","1","20021109","1003002","リンのインタビュー"
"11","1","20021109","1003003","ミソギのインタビュー"
"12","1","20021109","1003004","ジュンのインタビュー"
"13","1","20021113","1004001","ミミのインタビュー"
"14","1","20021113","1004002","スズメのインタビュー"
"15","1","20021113","1004003","ユカリのインタビュー"
"16","1","20021113","1004004","マツリのインタビュー"
"17","1","20021102","2001001","1区レース開始前"
"18","1","20021103","2001002","1区レース終了後"
"19","1","20021105","2002001","2区レース開始前"
"20","1","20021105","2002002","2区レース終了後"
"21","1","20021107","2003001","3区レース開始前"
"22","1","20021109","2003002","3区レース終了後"
"23","1","20021109","2004001","4区レース開始前"
"24","1","20021113","2004002","4区レース終了後"
"25","1","20021102","3001001","美食殿ギルド紹介"
"26","1","20021102","3001002","王宮騎士団ギルド紹介"
"27","1","20021102","3001003","リトルリリカルギルド紹介"
"28","1","20021102","3001004","ヴァイスフリューゲルギルド紹介"
"29","1","20021102","3001005","メルクリウス財団ギルド紹介"
"30","1","20021102","3001006","エリザベスパークギルド紹介"
"31","1","20021115","3002001","美食殿レース感想"
"32","1","20021115","3002002","王宮騎士団レース感想"
"33","1","20021115","3002003","リトルリリカルレース感想"
"34","1","20021115","3002004","ヴァイスフリューゲルレース感想"
"35","1","20021115","3002005","メルクリウス財団レース感想"
"36","1","20021115","3002006","エリザベスパークレース感想"
"37","1","20021103","4001001","1区ハイライト　１"
"38","1","20021103","4001002","1区ハイライト　２"
"39","1","20021103","4001003","1区ハイライト　３"
"40","1","20021105","4002001","2区ハイライト　１"
"41","1","20021105","4002002","2区ハイライト　２"
"42","1","20021105","4002003","2区ハイライト　３"
"43","1","20021107","4003001","3区ハイライト　１"
"44","1","20021107","4003002","3区ハイライト　２"
"45","1","20021109","4004001","4区ハイライト　１"
"46","1","20021111","4004002","4区ハイライト　２"
"47","1","20021111","4004003","4区ハイライト　３"
"48","1","20021113","4004004","4区ハイライト　４"
