eb332cb544e606deeaaeb8471a6c0beca55036e8a0001b31707439eb725dc9d8,d054841060198747620b24da5c1bc0d752d95efb8e0d45a0122fcf98da0889e0,65a72b9e54d9b1db20388d33b2024e0a73f9e35840d29bfa6adc5c903305d300,297491f5241daaa06a10557d51d0544a8b008b4ffdc7f9ec6927d50c24a9854b,6148dc9e68dbd4d17c0e699ea74a72f8de5770411e77bd01c2243ea7dcc3228c,6107683232c661c06819713e852fcf84763f1d28fd3a22e4b3232255a1ebed8e,e7dc350ce71e92ed84651fbb0d26ae7ea81c783bb84aa05891d57dfdf1e156c4,b7b6e35b9dee7e81f809ab2c42954a16c4978c72bb68a2705679a2ec2bdd15e8,a0e12b91f1acc5e9594eb87821eb453e90e1a259ddb1c41fc950774c20e607ae,93cd8bd269038c5545640fffa0c6e75bb99a08903f84f729be103a0e80ab2dcb,353182ad29b54518bd57237658ba922c18036c422ba4382b8c24e4638fd25de5,5f73554c2fadae3efd84df2524310cb77093eeed483b7848b73f6a521ee1a387,8e1bbe4382ebddf0acf39d2da1ca3df3c7e631bddbba5cea00243d8f1ca419bb,2ac6605d1c447b6d0e70f675bab484efd51fba6fbb3a182cd55c8b75290d0bea,b044cd81e58f7575aa23ff75e995dd7d6da5e4e761c522465b770bd7523bed3e,3f52f1e27dc6f52f70ad257d510e9ab8d2d98354e12fab80cf8c43043c7f452e,21621aeb07c4d4e4393bb054ca6356f1fc978fea7201add237a6a5540c62953d,e9c6fecbf4ab746dbaeaa92183d87bf4b0342bad8e1df75520bd5bc04d530256
"102271","0","-100","0","覇瞳皇帝の領域1層","-100","90013","102271","0.85","0.95","bgm_M299","76010001","26202","-250","99011","0","bgm_M299","-200"
"102271","0","-100","0","覇瞳皇帝の領域2層","-100","90013","102271","0.85","0.95","bgm_M299","76010002","26202","-250","99011","0","bgm_M299","-200"
"102271","0","-100","0","覇瞳皇帝の領域3層","-100","90013","102271","0.85","0.95","bgm_M299","76010003","26202","-250","99011","0","bgm_M299","-200"
"102271","0","-100","0","覇瞳皇帝の領域4層","-100","90013","102271","0.85","0.95","bgm_M299","76010004","26202","-250","99011","0","bgm_M299","-200"
"102271","0","-100","0","覇瞳皇帝の領域5層","-100","90013","102271","0.85","0.95","bgm_M299","76010005","26202","-250","99011","0","bgm_M299","-200"
"102891","0","-100","0","ゼーンの領域1層","0","90013","102891","1.2","1.3","bgm_M506","76020001","26202","0","99011","0","bgm_M506","0"
"102891","0","-100","0","ゼーンの領域2層","0","90013","102891","1.2","1.3","bgm_M506","76020002","26202","0","99011","0","bgm_M506","0"
"102891","0","-100","0","ゼーンの領域3層","0","90013","102891","1.2","1.3","bgm_M506","76020003","26202","0","99011","0","bgm_M506","0"
"102891","0","-100","0","ゼーンの領域4層","0","90013","102891","1.2","1.3","bgm_M506","76020004","26202","0","99011","0","bgm_M506","0"
"102891","0","-100","0","ゼーンの領域5層","0","90013","102891","1.2","1.3","bgm_M506","76020005","26202","0","99011","0","bgm_M506","0"
