1c0c6fb56cfec2fd7489cd4298578f98e9a2494ca2ebead2392535dbb0ae9efd,9114a089026462f0114de968cc61c5603fc73b09c0bebb63058134fc446ce1eb,ececf26a1579890702644c786f7977e6c33e9c9f0bf594611ac3cdc11e1d6d49,bb1d29a55199100cceaa91fd396ac504b788fb851317bb16ff272fe140e536e9,fbe5f4ee81b0311333346bd64b94e21410e0d8a15ab0f23ac9ab34646cc32b42,ef4aeec304870349ab3832a34bfc44e732abfa29988edb5b59708c9c7b700cea,35115b04bdee9ec97cda13833c550cd9d8b01dd3969b4ea78e624796841e1094,677702ec80f87cc7f2d61ba3ebb8864d4f9d6a9c76dec9cc7115d4165a650a23,d2d68143dd10634f28c489c5b76743ee1980c08bd0a9dfb35d26bfecfa41a30e,3d82256756cca5e2708f379c07e29bb37f694d013dc425e8513d61a459b78396,eedeeac2dd769af39d10e829be1164d0dfb73ac138411dac67a30f720fa25f38
"10","31","2","91002","8","2","25021","25015","285001001","1","8"
"10","31","2","91002","8","2","25021","25015","285001002","2","8"
"10","32","2","91002","8","2","25021","25015","285001003","3","8"
"10","32","2","91002","8","2","25021","25015","285001004","4","8"
"10","33","2","91002","8","2","25021","25015","285001005","5","8"
"10","33","2","91002","8","2","25021","25015","285001006","6","9"
"10","34","2","91002","8","2","25021","25015","285001007","7","9"
"10","35","2","91002","8","2","25021","25015","285001008","8","9"
"10","35","2","91002","8","2","25021","25015","285001009","9","9"
"30","37","2","91002","8","2","25021","25015","285001010","10","10"
"10","41","2","91002","8","2","25021","25015","285001011","11","10"
"10","43","2","91002","8","2","25021","25015","285001012","12","11"
"10","46","2","91002","8","2","25021","25015","285001013","13","11"
"10","48","2","91002","8","2","25021","25015","285001014","14","12"
"10","50","2","91002","8","2","25021","25015","285001015","15","12"
"10","53","2","91002","8","2","25021","25015","285001016","16","13"
"10","55","2","91002","8","2","25021","25015","285001017","17","14"
"10","58","2","91002","8","2","25021","25015","285001018","18","14"
"10","60","2","91002","8","2","25021","25015","285001019","19","15"
"30","62","2","91002","8","2","25021","25015","285001020","20","15"
"10","68","2","91002","8","2","25021","25015","285001021","21","16"
"10","70","2","91002","8","2","25021","25015","285001022","22","16"
"10","72","2","91002","8","2","25021","25015","285001023","23","16"
"10","75","2","91002","8","2","25021","25015","285001024","24","17"
"10","77","2","91002","8","2","25021","25015","285001025","25","18"
"10","79","2","91002","8","2","25021","25015","285001026","26","18"
"10","82","2","91002","8","2","25021","25015","285001027","27","19"
"10","84","2","91002","8","2","25021","25015","285001028","28","19"
"10","86","2","91002","8","2","25021","25015","285001029","29","19"
"30","89","2","91002","8","2","25021","25015","285001030","30","20"
"10","94","2","91002","8","2","25021","25015","285001031","31","20"
"10","96","2","91002","8","2","25021","25015","285001032","32","21"
"10","99","2","91002","8","2","25021","25015","285001033","33","21"
"10","101","2","91002","8","2","25021","25015","285001034","34","22"
"10","103","2","91002","8","2","25021","25015","285001035","35","22"
"10","106","2","91002","8","2","25021","25015","285001036","36","23"
"10","108","2","91002","8","2","25021","25015","285001037","37","23"
"10","111","2","91002","8","2","25021","25015","285001038","38","24"
"10","113","2","91002","8","2","25021","25015","285001039","39","25"
"30","115","2","91002","8","2","25021","25015","285001040","40","25"
"10","121","2","91002","8","2","25021","25015","285001041","41","26"
"10","123","2","91002","8","2","25021","25015","285001042","42","27"
"10","125","2","91002","8","2","25021","25015","285001043","43","28"
"10","128","2","91002","8","2","25021","25015","285001044","44","28"
"10","130","2","91002","8","2","25021","25015","285001045","45","29"
"10","132","2","91002","8","2","25021","25015","285001046","46","30"
"10","135","2","91002","8","2","25021","25015","285001047","47","30"
"10","137","2","91002","8","2","25021","25015","285001048","48","31"
"10","139","2","91002","8","2","25021","25015","285001049","49","31"
"30","142","2","91002","8","2","25021","25015","285001050","50","31"
"10","144","2","91002","8","2","25021","25015","285001051","51","32"
"10","146","2","91002","8","2","25021","25015","285001052","52","32"
"10","149","2","91002","8","2","25021","25015","285001053","53","32"
"10","152","2","91002","8","2","25021","25015","285001054","54","33"
"10","155","2","91002","8","2","25021","25015","285001055","55","33"
"10","157","2","91002","8","2","25021","25015","285001056","56","33"
"10","160","2","91002","8","2","25021","25015","285001057","57","34"
"10","163","2","91002","8","2","25021","25015","285001058","58","34"
"10","166","2","91002","8","2","25021","25015","285001059","59","34"
"30","169","2","91002","8","2","25021","25015","285001060","60","35"
"10","171","2","91002","8","2","25021","25015","285001061","61","35"
"10","174","2","91002","8","2","25021","25015","285001062","62","35"
"10","177","2","91002","8","2","25021","25015","285001063","63","36"
"10","180","2","91002","8","2","25021","25015","285001064","64","36"
"10","182","2","91002","8","2","25021","25015","285001065","65","36"
"10","185","2","91002","8","2","25021","25015","285001066","66","37"
"10","187","2","91002","8","2","25021","25015","285001067","67","37"
"10","190","2","91002","8","2","25021","25015","285001068","68","37"
"10","193","2","91002","8","2","25021","25015","285001069","69","38"
"30","196","2","91002","8","2","25021","25015","285001070","70","38"
"10","200","2","91002","8","2","25021","25015","285001071","71","39"
"10","204","2","91002","8","2","25021","25015","285001072","72","39"
"10","208","2","91002","8","2","25021","25015","285001073","73","40"
"10","212","2","91002","8","2","25021","25015","285001074","74","40"
"10","216","2","91002","8","2","25021","25015","285001075","75","41"
"10","220","2","91002","8","2","25021","25015","285001076","76","41"
"10","224","2","91002","8","2","25021","25015","285001077","77","42"
"10","228","2","91002","8","2","25021","25015","285001078","78","42"
"10","232","2","91002","8","2","25021","25015","285001079","79","43"
"30","236","2","91002","8","2","25021","25015","285001080","80","43"
"10","240","2","91002","8","2","25021","25015","285001081","81","44"
"10","244","2","91002","8","2","25021","25015","285001082","82","44"
"10","248","2","91002","8","2","25021","25015","285001083","83","45"
"10","252","2","91002","8","2","25021","25015","285001084","84","45"
"10","256","2","91002","8","2","25021","25015","285001085","85","46"
"10","260","2","91002","8","2","25021","25015","285001086","86","46"
"10","264","2","91002","8","2","25021","25015","285001087","87","47"
"10","268","2","91002","8","2","25021","25015","285001088","88","47"
"10","272","2","91002","8","2","25021","25015","285001089","89","48"
"30","276","2","91002","8","2","25021","25015","285001090","90","48"
"10","280","2","91002","8","2","25021","25015","285001091","91","49"
"10","284","2","91002","8","2","25021","25015","285001092","92","49"
"10","288","2","91002","8","2","25021","25015","285001093","93","50"
"10","292","2","91002","8","2","25021","25015","285001094","94","50"
"10","296","2","91002","8","2","25021","25015","285001095","95","51"
"10","300","2","91002","8","2","25021","25015","285001096","96","51"
"10","304","2","91002","8","2","25021","25015","285001097","97","52"
"10","308","2","91002","8","2","25021","25015","285001098","98","52"
"10","312","2","91002","8","2","25021","25015","285001099","99","53"
"30","316","2","91002","8","2","25021","25015","285001100","100","53"
