ee8bf8322b5f8d4da5dd691d1daf4c860e800b08321041d7b48884846deaa99d,0f5558338b9b95c4b038c3ba0f06e90b58d718ee9a24692c21e7d1da9270e0f1,e9a18f7d45fe792a44e1e1c8f6e88986b1c6770a67f5ea075741a2e041782f54,e59e0803e69923d5e2a6775e3008710fd9f0f305be3c70acc29fdb95a46d402a,ae21887dfdfb7b2b45ce338663b626546738df80473bef6a5b45e65142197b99,bde50896f43ecf88fb83031bf3f7361947c5bf2795643db8852e67177dfc7351,5828834fd89bfd22f13b943113a732373df2dc6b9f32e94d7ae08844a9f845bc,bbe83ca60a5a7f5be8e5196f787a76467908fe064cd2d3160ff4e333bccbf87f,f3c251bb771239b370a37f6717d6bd823630046ba03fcfa0b4e74449f6d86719,56ccd95f8880ab6c2c7884ec99dc81b63aaa6fc2c93b37d381d897d927aec56a,f5cd5685bf82a3ad3d194f6b2d60497891c7e8f3494c1093a3f47eb69cded870
"1","1","1","0.8","42","105811","101","-68","20011","1200110001","travel_topdrama_r_2000_idle_smile"
"1","1","0","0.8","-42","106011","102","-68","20011","1200110002","travel_topdrama_r_2000_idle_sad_shy"
"5","0","0","1","0","0","110","-75","20011","1200110003","mana"
"91","0","","","","","","","20011","1200110004",""
"93","10","","","","0","","","20011","1200110005",""
"101","1200110005","","","","","","","20011","1200110006",""
"3","0","","0","","none","0","","20011","1200110007",""
"91","0","","","","","","","20011","1200110008",""
"13","105811","","","","103","","","20012","1200120001",""
"13","106011","","","","104","","","20012","1200120002",""
"3","105811","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20012","1200120003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20001_00","0","","20012","1200120004",""
"11","105811","0","0","1","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","10","1","20012","1200120005","0"
"91","0","","","","","","","20012","1200120006",""
"3","105811","","0.2","","travel_topdrama_r_2000_idle_smile","1","","20012","1200120007",""
"3","106011","","0.2","","travel_topdrama_r_2000_talk_anger_shy","1","1","20012","1200120008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20001_01","0","","20012","1200120009",""
"11","106011","0","0","1","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","10","1","20012","1200120010","0"
"91","0","","","","","","","20012","1200120011",""
"3","106011","","0.2","","travel_topdrama_r_2000_idle_sad_shy","1","","20012","1200120012",""
"3","105811","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20012","1200120013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20001_02","0","","20012","1200120014",""
"11","105811","0","0","1","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","10","1","20012","1200120015","0"
"91","0","","","","","","","20012","1200120016",""
"3","105811","","0.2","","travel_topdrama_r_2000_idle_smile","1","","20012","1200120017",""
"112","","","","","","","","20012","1200120018",""
"91","0","","","","","","","20012","1200120019",""
"1","1","1","0.8","42","100211","101","-68","20021","1200210001","travel_topdrama_r_2000_idle_normal"
"1","1","0","0.8","-42","100111","102","-68","20021","1200210002","travel_topdrama_r_2002_sitting_loop"
"5","3","0","0.8","-42","3","100","-68","20021","1200210003","travel_topdrama_r_2002_sitting_loop"
"5","0","0","1","0","0","110","-75","20021","1200210004","mana"
"91","0","","","","","","","20021","1200210005",""
"93","10","","","","0","","","20021","1200210006",""
"101","1200210006","","","","","","","20021","1200210007",""
"3","0","","0","","none","0","","20021","1200210008",""
"91","0","","","","","","","20021","1200210009",""
"13","100211","","","","103","","","20022","1200220001",""
"13","100111","","","","104","","","20022","1200220002",""
"3","100211","","0.2","","travel_topdrama_r_2000_talk_normal","1","1","20022","1200220003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20002_00","0","","20022","1200220004",""
"11","100211","0","0","1","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","10","1","20022","1200220005","0"
"91","0","","","","","","","20022","1200220006",""
"3","100211","","0.2","","travel_topdrama_r_2000_idle_normal","1","","20022","1200220007",""
"21","vo_travel_talk","","","0","vo_travel_talk_20002_01","0","","20022","1200220008",""
"11","100111","0","0","1","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","10","1","20022","1200220009","0"
"91","0","","","","","","","20022","1200220010",""
"3","100211","","0.2","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","0","1","20022","1200220011",""
"21","vo_travel_talk","","","0","vo_travel_talk_20002_02","0","","20022","1200220012",""
"11","100211","0","0","1","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","10","1","20022","1200220013","0"
"91","0","","","","","","","20022","1200220014",""
"3","100211","","0.2","","travel_topdrama_r_2000_idle_wish_joy","1","","20022","1200220015",""
"112","","","","","","","","20022","1200220016",""
"91","0","","","","","","","20022","1200220017",""
"1","1","0","0.8","-42","100411","101","-68","20031","1200310001","travel_topdrama_r_2000_idle_doya"
"1","1","1","0.8","42","102011","102","-68","20031","1200310002","travel_topdrama_r_2000_idle_normal"
"5","0","0","1","0","0","110","-75","20031","1200310003","mana"
"91","0","","","","","","","20031","1200310004",""
"93","10","","","","0","","","20031","1200310005",""
"101","1200310005","","","","","","","20031","1200310006",""
"3","0","","0","","none","0","","20031","1200310007",""
"91","0","","","","","","","20031","1200310008",""
"13","100411","","","","103","","","20032","1200320001",""
"13","102011","","","","104","","","20032","1200320002",""
"3","100411","","0.2","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in","0","1","20032","1200320003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20003_00","0","","20032","1200320004",""
"11","100411","0","0","1","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","10","1","20032","1200320005","0"
"91","0","","","","","","","20032","1200320006",""
"3","100411","","0.2","","travel_topdrama_r_2000_idle_doya","1","","20032","1200320007",""
"3","102011","","0.2","travel_topdrama_r_2000_talk_wish_loop","travel_topdrama_r_2000_talk_wish_in","0","1","20032","1200320008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20003_01","0","","20032","1200320009",""
"11","102011","0","0","1","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","10","1","20032","1200320010","0"
"91","0","","","","","","","20032","1200320011",""
"3","102011","","0.2","","travel_topdrama_r_2000_idle_wish","1","","20032","1200320012",""
"3","100411","","0.2","travel_topdrama_r_2000_talk_sad_loop_surprise2","travel_topdrama_r_2000_talk_sad_in_surprise2","0","1","20032","1200320013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20003_02","0","","20032","1200320014",""
"11","100411","0","0","1","えっ？　ぐるぐる？\n……あ～！？　イタズラで使う磁石、\n同じポケットに入れたままだった～！","10","1","20032","1200320015","0"
"91","0","","","","","","","20032","1200320016",""
"3","100411","","0.2","","travel_topdrama_r_2000_idle_sad_surprise2","1","","20032","1200320017",""
"112","","","","","","","","20032","1200320018",""
"91","0","","","","","","","20032","1200320019",""
"1","1","1","0.8","42","105311","101","-68","20041","1200410001","travel_topdrama_r_2000_idle_normal"
"1","1","0","0.8","-42","104511","102","-68","20041","1200410002","travel_topdrama_r_2000_idle_wish"
"5","0","0","1","0","0","110","-75","20041","1200410003","mana"
"91","0","","","","","","","20041","1200410004",""
"93","10","","","","0","","","20041","1200410005",""
"101","1200410005","","","","","","","20041","1200410006",""
"3","0","","0","","none","0","","20041","1200410007",""
"91","0","","","","","","","20041","1200410008",""
"13","105311","","","","103","","","20042","1200420001",""
"13","104511","","","","104","","","20042","1200420002",""
"3","105311","","0.2","travel_topdrama_r_2000_talk_surprise_loop_sad","travel_topdrama_r_2000_talk_surprise_in_sad","0","1","20042","1200420003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20004_00","0","","20042","1200420004",""
"11","105311","0","0","1","ど、どうしたんだクウカ！？\n顔が真っ赤だし、こんなに汗ばんで……\nどこか、体調でも悪いのか！？","10","1","20042","1200420005","0"
"91","0","","","","","","","20042","1200420006",""
"3","105311","","0.2","","travel_topdrama_r_2000_idle_surprise_sad","1","","20042","1200420007",""
"3","104511","","0.2","","travel_topdrama_r_2000_talk_wish_loop","1","1","20042","1200420008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20004_01","0","","20042","1200420009",""
"11","104511","0","0","1","これから行く場所には見たこともない\n恐ろしい魔物がいて、きっとクウカは\n空前絶後の辱めを受けることに……♪","10","1","20042","1200420010","0"
"91","0","","","","","","","20042","1200420011",""
"3","104511","","0.2","","travel_topdrama_r_2000_idle_wish","1","","20042","1200420012",""
"3","105311","","0.2","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","0","1","20042","1200420013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20004_02","0","","20042","1200420014",""
"11","105311","0","0","1","って、いつもの妄想か。\n心配してすごく損した気分になったぞ、\n頼むから、任務に集中してくれ！","10","1","20042","1200420015","0"
"91","0","","","","","","","20042","1200420016",""
"3","105311","","0.2","","travel_topdrama_r_2000_idle_doya_sad","1","","20042","1200420017",""
"112","","","","","","","","20042","1200420018",""
"91","0","","","","","","","20042","1200420019",""
"1","1","0","0.8","-42","100911","101","-68","20051","1200510001","travel_topdrama_r_2000_idle_thinking"
"1","1","1","0.8","42","105611","102","-68","20051","1200510002","travel_topdrama_r_2000_idle_arm_crossed"
"5","0","0","1","0","0","110","-75","20051","1200510003","mana"
"91","0","","","","","","","20051","1200510004",""
"93","10","","","","0","","","20051","1200510005",""
"101","1200510005","","","","","","","20051","1200510006",""
"3","0","","0","","none","0","","20051","1200510007",""
"91","0","","","","","","","20051","1200510008",""
"13","100911","","","","103","","","20052","1200520001",""
"13","105611","","","","104","","","20052","1200520002",""
"3","100911","","0.2","","travel_topdrama_r_2000_talk_thinking","1","1","20052","1200520003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20005_00","0","","20052","1200520004",""
"11","100911","0","0","1","我が内なる暗黒が囁いている……\n数多の運命の糸が複雑に絡み合い、\nこの旅はやがて壮大な冒険譚になると！","10","1","20052","1200520005","0"
"91","0","","","","","","","20052","1200520006",""
"3","100911","","0.2","","travel_topdrama_r_2000_idle_thinking","1","","20052","1200520007",""
"3","105611","","0.2","travel_topdrama_r_2000_talk_arm_crossed_loop","travel_topdrama_r_2000_talk_arm_crossed_in","0","1","20052","1200520008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20005_01","0","","20052","1200520009",""
"11","105611","0","0","1","そうかい。\nじゃあまずは、焚火の枝を集める運命を\n受け入れてもらえるかい？","10","1","20052","1200520010","0"
"91","0","","","","","","","20052","1200520011",""
"3","105611","","0.2","","travel_topdrama_r_2000_idle_arm_crossed","1","","20052","1200520012",""
"3","100911","","0.2","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in_blink","0","1","20052","1200520013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20005_02","0","","20052","1200520014",""
"11","100911","0","0","1","ふっ、既にその運命は受け入れている！\n……のだが、その、全然集まらなくて。\nよければ手伝ってほしいんだが。","10","1","20052","1200520015","0"
"91","0","","","","","","","20052","1200520016",""
"3","100911","","0.2","","travel_topdrama_r_2000_idle_doya","1","","20052","1200520017",""
"112","","","","","","","","20052","1200520018",""
"91","0","","","","","","","20052","1200520019",""
"1","1","1","0.8","42","110911","101","-68","20061","1200610001","travel_topdrama_r_2000_idle_kyapi"
"1","1","0","0.8","-42","110811","102","-68","20061","1200610002","travel_topdrama_r_2000_idle_doya_sad"
"5","0","0","1","0","0","110","-75","20061","1200610003","mana"
"91","0","","","","","","","20061","1200610004",""
"93","10","","","","0","","","20061","1200610005",""
"101","1200610005","","","","","","","20061","1200610006",""
"3","0","","0","","none","0","","20061","1200610007",""
"91","0","","","","","","","20061","1200610008",""
"13","110911","","","","103","","","20062","1200620001",""
"13","110811","","","","104","","","20062","1200620002",""
"3","110911","","0.2","travel_topdrama_r_2000_talk_kyapi_loop","travel_topdrama_r_2000_talk_kyapi_in","0","1","20062","1200620003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20006_00","0","","20062","1200620004",""
"11","110911","0","0","1","ちぇる～ん☆\nちぇるちぇら、ちぇりんぱ、\nちぇちぇりぽぷ！","10","1","20062","1200620005","0"
"91","0","","","","","","","20062","1200620006",""
"3","110911","","0.2","","travel_topdrama_r_2000_idle_kyapi","1","","20062","1200620007",""
"3","110811","","0.2","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","0","1","20062","1200620008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20006_01","0","","20062","1200620009",""
"11","110811","0","0","1","あのさ。いんだけどさ。\nそのアタマ悪めの奇声でさっき魔物が\nクソ集まってきた件、もう忘れたわけ。","10","1","20062","1200620010","0"
"91","0","","","","","","","20062","1200620011",""
"3","110811","","0.2","","travel_topdrama_r_2000_idle_doya_sad","1","","20062","1200620012",""
"3","110911","","0.2","","travel_topdrama_r_2000_talk_normal2","1","1","20062","1200620013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20006_02","0","","20062","1200620014",""
"11","110911","0","0","1","……その節は\nたいへん御迷惑をおかけいたしました。","10","1","20062","1200620015","0"
"91","0","","","","","","","20062","1200620016",""
"3","110911","","0.2","","travel_topdrama_r_2000_idle_normal","1","","20062","1200620017",""
"112","","","","","","","","20062","1200620018",""
"91","0","","","","","","","20062","1200620019",""
"1","1","1","0.8","42","102911","101","-68","20071","1200710001","travel_topdrama_r_2000_idle_smile"
"1","1","0","0.8","-42","105411","102","-68","20071","1200710002","travel_topdrama_r_2000_idle_sad"
"5","0","0","1","0","0","110","-75","20071","1200710003","mana"
"91","0","","","","","","","20071","1200710004",""
"93","10","","","","0","","","20071","1200710005",""
"101","1200710005","","","","","","","20071","1200710006",""
"3","0","","0","","none","0","","20071","1200710007",""
"91","0","","","","","","","20071","1200710008",""
"13","102911","","","","103","","","20072","1200720001",""
"13","105411","","","","104","","","20072","1200720002",""
"3","102911","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20072","1200720003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20007_00","0","","20072","1200720004",""
"11","102911","0","0","1","このあたりの地形って、ダンスの\n練習にちょうどいいんじゃないかな？\n一緒にステップを踏んでみてくれない？","10","1","20072","1200720005","0"
"91","0","","","","","","","20072","1200720006",""
"3","102911","","0.2","","travel_topdrama_r_2000_idle_smile","1","","20072","1200720007",""
"3","105411","0.2","0.2","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2007_dance","0","1","20072","1200720008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20007_01","0","","20072","1200720009",""
"11","105411","0","0","1","えっと、こんな感じですか？\n……わわっ、バランスが！？\nなかなか難しいですね……","10","1","20072","1200720010","0"
"91","0","","","","","","","20072","1200720011",""
"3","105411","","0.2","","travel_topdrama_r_2000_idle_sad","1","","20072","1200720012",""
"3","102911","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20072","1200720013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20007_02","0","","20072","1200720014",""
"11","102911","0","0","1","つまり、練習になるってことだよ！\nライブ前、ここに戻ってこれるように、\n場所をメモしておかなきゃね♪","10","1","20072","1200720015","0"
"91","0","","","","","","","20072","1200720016",""
