083eea5d467a3f479a9647f5d3c5c7313a0232510949ce297bd38348b20127ce,d094543c46d592e0c37ec4ddf69f11da463f246620b9ef849777df8305ecd348,bbbc6c176562fef9d2fdc58dcb04eba64fdccb5ee71e500dd5d4df546b9482fd,b93882ad57c4e840f201e701863f53bbf9601057fe524760aa8b3789a7c36f68
"戦闘不能になったキャラが0人以下で勝利","0","1001","100101"
"戦闘不能になったキャラが1人以下で勝利","1","1001","100102"
"戦闘不能になったキャラが2人以下で勝利","2","1001","100103"
"バトルの残り時間が1:15以上で勝利","74001","1002","100201"
"バトルの残り時間が1:10以上で勝利","69001","1002","100202"
"バトルの残り時間が1:00以上で勝利","59001","1002","100203"
"バトルの残り時間が0:50以上で勝利","49001","1002","100204"
"バトルの残り時間が0:45以上で勝利","44001","1002","100205"
"バトルの残り時間が0:40以上で勝利","39001","1002","100206"
"バトルの残り時間が0:30以上で勝利","29001","1002","100207"
"味方のTotal HPが100%以上で勝利","1000","1003","100301"
"味方のTotal HPが90%以上で勝利","900","1003","100302"
"味方のTotal HPが80%以上で勝利","800","1003","100303"
"味方のTotal HPが70%以上で勝利","700","1003","100304"
"味方のTotal HPが60%以上で勝利","600","1003","100305"
"味方のTotal HPが50%以上で勝利","500","1003","100306"
"味方のTotal HPが99%以上で勝利","990","1003","100307"
