50c60bdc52d814f7b83f1780c84f4e5950d177d7dae2e18237e3311cc3ff4da9,edbb1d5bac9346f11081b4b492e0a89a240b5713f7aee5b9006fdfabb55c56fe,28929340f6303ecf6407327e7970fd8dcb3842be562b5317eb6c314e27c3b246,b93421d6976a5e51f9a42b41c454db6fcaa090a4585dcc70871927d10f1d8ec7,0e56cd30caa96a031685da56758b184337b55a2a82a8e223e7344ae928bf491c,ebebb676366bc2fc14342c8cef2d11d1bb7ea31c821a80a28a35f022cad12708,deba345025c58d2601818b5fda681bbd8b95c279d641e22ba4277885f1da7c75,34ca436757542e741b9011393b0254109a76e4b427c7869fe74ff0e4e9696f1a,90679688cd814ce0add4db37313169261d4d2b4f632303ce90040a36e7e046bf,b5709f48bd4249f88a146c5d909aa720d0910ef8d936dcd8ea286cbc66dd2ad2,e122254b7b23ae091c9411ed17f3652c56ca55a8165007f2f47562ef26855f7d,d9d8b09512ce6f6935902693a6ae114c0b2f31446a8d39eee89fd8133175f123,f4ae895689d9032309a99ef559834b86d271b4d5ac27f74e0096f0837b180c16,2388574ee5c5ca9b7e9c173eca1039993b56a7a719114b55ccaa09f957c65f7d
"0","105801","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","1","0","28001","0","100","31058"
"0","107501","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","2","0","28001","0","100","31075"
"0","180401","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","3","0","28001","0","100","31804"
"0","105901","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","1","0","28002","0","100","31059"
"0","107601","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","2","0","28002","0","100","31076"
"0","111901","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","3","0","28002","0","100","31119"
"0","180501","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","4","0","28002","0","100","31805"
"0","106001","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","1","0","28003","0","100","31060"
"0","107801","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","2","0","28003","0","100","31078"
"0","112001","2","2020/08/04 12:00:00","0","0","0","2030/08/01 14:59:59","3","0","28003","0","100","31120"
"0","101201","2","2020/09/03 19:00:00","0","0","0","2030/08/01 14:59:59","1","0","28004","0","100","31012"
"0","113401","2","2020/09/03 19:00:00","0","0","0","2030/08/01 14:59:59","2","0","28004","0","100","31134"
