1700ff475638ab6a5312befd122b821aaa0d149ed1f0102569dbb74bbedc92b4,768a1f8365541657b6133bf3999df288e68f5c9b2101be13661c38e00568d1b0,f0bd0fc65f737c1a13cec3be18e69622c56d9234542f83cdcec6842c37e6bcb8,2cc5b175556a468c36b676dcd4d3bb4d399e61099b7a94e199c6b250747a9d28
"1004601","5046601","1004601","1"
"1004801","5048007","1004801","1"
"1004802","1004801","1004802","2"
"1005601","5056601","1005601","1"
"1006101","5061601","1006101","1"
"1006102","5061602","1006102","3"
"1006103","5061601","1006103","1"
"1006601","5027704","1006601","4"
"1007001","0","1007001","5"
"1007301","5046601","1007301","1"
"1007501","5048007","1007501","1"
"1007502","1004801","1007502","2"
"1008201","0","1008201","6"
"1008301","5056601","1008301","1"
"1008901","5061601","1008901","1"
"1008902","5061602","1008902","3"
"1008903","5061601","1008903","1"
"1009201","5092601","1009201","3"
"1010001","5100601","1010001","3"
"1010201","5100601","1010201","3"
"1010901","0","1010901","6"
"1011901","5092601","1011901","3"
"1012701","5100601","1012701","3"
"2003201","5056601","2003201","1"
