4a152d6e5c1b0656b34fe3c1c5a4fd18cc64ec75e7efe6f8a7ad3d681c5d49fd,8b3b736badf7e5a0dd508edc3ead1c7b5588b096c2de0bbbc15295408e158195,d134c8e73722bfd644e6fb66c139b94428be084f948a03c61d04110ad7191f10,a3f2f20252d9160b07277f4f922a4fbbeb84282a41983bb215692e57b450984f,7cf4e68d795d14c7789f655fdf54943e9dc66b33ee4e015f0b87385826130da6,7c806f958a88d137d6490bafbd56ea447146f2f4baa827d0cb3201c567604ceb,853aec9d360a2e76d4072b77a0339ed875aabcc9f2cedf815d6c741d7f121821
"1","1","50","0","0","9999999","50"
"2","2","80","0","0","9999999","20"
"3","3","30","0","0","2000","70"
"4","3","40","30","0","5000","30"
"5","3","40","40","20","10000","0"
"6","3","30","40","30","15000","0"
"7","3","25","40","35","20000","0"
"8","3","20","40","40","25000","0"
"9","3","15","40","45","30000","0"
"10","3","10","40","50","35000","0"
"11","3","10","35","55","40000","0"
"12","3","5","35","60","45000","0"
"13","3","5","30","65","50000","0"
"14","3","0","30","70","55000","0"
"15","3","0","25","75","60000","0"
"16","3","0","20","80","65000","0"
"17","3","0","15","85","70000","0"
"18","3","0","10","90","75000","0"
"19","3","0","5","95","80000","0"
"20","3","0","0","100","9999999","0"
