story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
"5001","5","20001","แผนการมอบของขวัญครั้งใหญ่ของฮาสึเนะ","0","1","2020/10/10 10:00:00","2030/04/24 14:59:59"
"5002","5","20002","ลิตเติ้ลริริคัลผจญภัย!","0","1","2020/11/06 10:00:00","2030/04/24 14:59:59"
"5003","5","20003","แวมไพร์ฮันเตอร์ with อิลิยา","0","1","2020/12/01 10:00:00","2030/04/24 14:59:59"
"5004","5","20004","พักร้อนสุดอันตราย! กรูเมต์ปริ้นเซสแห่งเกลียวคลื่น","0","1","2020/12/25 18:00:00","2030/04/24 14:59:59"
"5005","5","20005","ทามากิและมิฟุยุ กับชีวิต 0 รูปีบนเกาะร้าง","0","1","2021/01/19 10:00:00","2030/04/24 14:59:59"
"5006","5","20006","วิญญาณเหล็กไหลดำ ไนท์แมร์","0","1","2021/02/12 10:00:00","2030/04/24 14:59:59"
"5007","5","20007","ทริก ออร์ พุดดิ้ง! สัญญาฮาโลวีนปาร์ตี้","0","1","2021/03/09 10:00:00","2030/04/24 14:59:59"
"5008","5","20008","ทไวไลท์เบรคเกอร์ส","0","1","2021/04/03 10:00:00","2030/04/24 14:59:59"
"5009","5","20009","แครอลที่ลืมเลือน","0","1","2021/04/27 10:00:00","2030/04/24 14:59:59"
"5010","5","20010","ทวิงเคิลไครซิสรับปีใหม่!","0","1","2021/05/22 10:00:00","2030/04/24 14:59:59"
"5011","5","20011","แบทเทิล ออฟ วาเลนไทน์! สวีตแบทเทิลประชันความรัก","0","1","2021/06/15 10:00:00","2030/04/24 14:59:59"
"5012","5","20012","ยอดนักสืบแห่งเมืองหลวง ผู้ตามล่าแห่งความเศร้าโศก (สตอล์กเกอร์)","0","1","2021/07/12 10:00:00","2030/04/24 14:59:59"
"5013","5","20013","สองบุปผาที่เบ่งบาน ณ แอสทรูม","0","1","2021/08/07 10:00:00","2030/04/24 14:59:59"
"5015","5","20014","บันทึกการเดินทางของนายเหนือหัว ซามูไรปีกขาว","0","1","2021/09/04 10:00:00","2030/04/24 14:59:59"
"5017","5","10017","Re:ZERO รีเซทชีวิต รวมมิตรอาหารต่างโลก","0","1","2021/10/02 10:00:00","2030/04/24 14:59:59"
"5019","5","20015","เรนโบว์สเตจของสึซึนะ!","0","1","2021/11/02 10:00:00","2030/04/24 14:59:59"
"5021","5","20016","ราชอาณาจักรมาโฮะมาโฮะกลางหน้าร้อน ชายหาดหน้าร้อนแห่งจิตวิญญาณ!","0","1","2021/12/07 10:00:00","2030/04/24 14:59:59"
"5023","5","20017","ผู้โดดเดี่ยวแห่งพงไพรและเด็กหญิงนอกคอกแห่งวิทยาลัยเซนต์","0","1","2022/01/11 10:00:00","2030/04/24 14:59:59"
"5025","5","20018","ลิตเติ้ล เบรฟ ฮาโลวีนไนท์!","0","1","2022/02/11 10:00:00","2030/04/24 14:59:59"
"5027","5","20019","นักสำรวจมังกร","0","1","2022/03/14 10:00:00","2030/04/24 14:59:59"
"5029","5","20020","ของขวัญอลวน! เหล่าซานต้าแห่งแลนด์โซล","0","1","2022/04/12 10:00:00","2030/04/24 14:59:59"
"5031","5","10057","วิ่งสู้ฟัด! แลนด์โซลกิลด์เรซ","0","1","2022/05/13 10:00:00","2030/04/24 14:59:59"
"5033","5","10060","สาวน้อยเวทมนตร์ เธอทั้งสองคือมิสตี้ & เพียวรี่","0","1","2022/06/13 10:00:00","2030/04/24 14:59:59"
"5038","5","10065","นางฟ้าประทานทุนกับเด็กหญิงนอกคอกแห่งวิทยาลัยเซนต์","0","1","2022/07/22 10:00:00","2030/04/24 14:59:59"
"5040","5","10067","สี่ยอดเกษตรกร บันทึกสู้ชีวิตของคนทำฟาร์มยาจก!","0","1","2022/08/21 10:00:00","2030/04/24 14:59:59"
"5042","5","10069","ริโนะในดินแดนมหัศจรรย์ อลิซตัวน้อยและหนังสือภาพแห่งความหวัง","0","1","2022/09/26 10:00:00","2030/04/24 14:59:59"
"5044","5","10071","ลำนำการเดินทางของนักดาบวันทานาบาตะ รักฤดูร้อนบนทางช้างเผือก","0","1","2022/10/28 10:00:00","2030/04/24 14:59:59"
"5046","5","10073","มิซาโตะซัมเมอร์เยล! ทีมเบสบอลสู่ฝันในฤดูร้อน","0","1","2022/11/28 10:00:00","2030/04/24 14:59:59"
