083a2b96f187697ad42d0e3292141d9c679dc59312c4072ac4637d85f684dd03,e64c075a95d3498123e67f71384b00b11cb39c32218d7027bad81870dbca58ab,28385b1189d469c75df9727218401fc78a001ed8933d71f78474d795f63c3025,4c1acb854c15df51258f5dedc13c8901e1c9b33d599a67e1e0bbdfddd2ed947b,91956c7fcd00abc28accd6936ef770c3354e1a240b1ce042410e2450d12f4cdf,5bdb49298a4c4a1b257960f8e1f4782fd36ed4e5f140382cc29b79d22394477a,36f5235104469173c84b195b903314a0ccb68d93aaabe1a53fc7d95d41b390a2,a03793e1132a6455bb085e8d0e05e30c15bda53204172c10e6814ad9c7045954,5987f114f8a2f85c38f37b48ce39a4c1f0a0dcc9d255cc83b347fb81c9319d28,a793b42e6f389847a5db6d520dd27c9383c0d360ec3f862036e34305136f1944,014318591d904f87c11a6a4857a398bf5144cd7622c803cbac50fe17f068a02f,affa2ea9ae7954b1f8ac2c86e2ecceae7016a8aab53fd5dd03dfdee59da67e1a,d4fbec36af1dd132681c91f80ed0e8a869c8c247d1a3204173992c8ad18bd80e,430aed1667795e0a9d0b2bd5c7a04a9728e78a009c187affab055a119c83ab25,cc8dfd60c2fc1099238bec52171402ec71b95a5f8cb672f61769e656c42afef3,dd23160ab003477522d7d6afe8b4c95f67602157265ab531153adfd475c6ddd2,9b79d63e2909107b4ca9bda068c94eed4e09c91658ce5d823c2004613426e779,9f0252d09af46b225c90358678054ae6946ffeb34fba37984f89c488a0e0f9f7,80127f14ed631c6b79ea05e8188a2bf99d6a594a82fa2248864128109ef1eb4b,dfa77062c2916d9c847cb4bcd3c44c7fc2008366f784be28719ff6a12a6615b4,3882b5dcbb8f4ffbd6b1503a781df5013c28f8987ed94e582979b53bfb09e043,08b98d64fa1d5ff7f7ed350d09c125d1f5eb581e1f91088863b2bd2464cd8c18,57f98cf8ea4b18a95b18ed160e32b5fe3fc62f536acefd9d25b76a10f89176fc,0fb15c275ca17390f419b6a78f3bf7d2c122f47d670adaa4227790b79cfe8ff0,837f0be3d9f0f50e2495a1a5597ee8ca8add1528bf802fdb73e509ff7a29bca3,d9348ad836d5ef42755fffe8651e8417106f63bf43cd96447d413f4c4fbfdaef,b21c9843f27fa233bb4e8fa99f59e20f58c36f297dd63cabc7792174513bfb5e,6072168860c6659d968a05d22702eb9a2f1d89b677825a75f51cd3fe5dcabe02
"0","0","1","2030/12/17 14:59:59","100101","有困難的時候就互相幫助幫助","0","91002","0","0","0","0","0","0","1001001","日和 第1話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","打勾勾的誓言","2","91002","0","0","0","1001001","0","0","1001002","日和 第2話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","為笑容許下心願","3","91002","0","0","0","1001002","0","0","1001003","日和 第3話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","走散的貓耳女孩","4","91002","0","0","0","1001003","0","0","1001004","日和 第4話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","50","1"
"0","0","1","2030/12/17 14:59:59","100101","尾巴是犯規的？","5","91002","0","0","0","1001004","0","0","1001005","日和 第5話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","想休息卻無法休息！","6","91002","0","0","0","1001005","0","0","1001006","日和 第6話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","贈勝利予你","7","91002","0","0","0","1001006","0","0","1001007","日和 第7話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","20","1"
"0","0","1","2030/12/17 14:59:59","100101","明明想為你聲援的","8","91002","0","0","0","1001007","0","0","1001008","日和 第8話","0","0","2030/12/17 14:59:59","8","1001","0","0","2099/12/17 14:59:59","2015/04/01 15:00:00","0","50","1"
"0","0","1","2030/12/17 14:59:59","100101","雀躍的祕密","9","91002","0","0","0","1001008","0","0","1001009","日和 第9話","0","0","2030/12/17 14:59:59","8","1001","0","0","2030/12/17 14:59:59","2020/07/02 16:00:00","0","50","1"
"0","0","1","2030/12/17 14:59:59","100101","該被幫助的壞人","10","91002","0","0","0","1001009","0","0","1001010","日和 第10話","0","0","2030/12/17 14:59:59","8","1001","0","0","2030/12/17 14:59:59","2020/07/02 16:00:00","0","50","1"
"0","0","1","2030/12/17 14:59:59","100101","流浪貓的回憶","11","91002","0","0","0","1001010","0","0","1001011","日和 第11話","0","0","2030/12/17 14:59:59","8","1001","0","0","2030/12/17 14:59:59","2020/07/02 16:00:00","0","50","1"
