701b04aa44b878d3420978423022f9dec66102be79743bd6a860fc5a20b6bf4c,359dc1b70166a16265fc94e469aff1c6df73f534cadf472f82aac829f06e43e8,1fbec14c942b573ea96c0747abe47fb176e497d6bd1ed908a9958293fb398501,b9da56e558e44a86d35d0d13478cd09bd4a7e2e9c30e60fbaf8f6b092e87a0c7,04df39fb92dd1264b1827695b430ade6a6b1a4efb7fe342f20ac8da829538332,0d46539e75fff811c9da8d0ce472b4ae814b94d0b3445b13dc99d2d29c646819,8a581b5aad96090c572ce5bfb1834139d78d33e9cb1a05803b6f864c9d107458,25e329725190dc553b9438e08c21e3450789a88fe7283c6fa9da9a2d6fae139e,8f6fe074a1687777e0f53161c2bacbeb5f6a513d251630efcf0df042fc9b307c,8686b3125d7db8f2f44de80369e3f00b4b519ec87d6902e20e8ccd9b57616cc0,a9ef7a5fd34c8b2b8fda765e428b56ba2cf633095492af7602830608713809d8,5f56b86e6ccbf4dc0f468760b904dab7092bf3bf7f87e98928cbf5de12250b8d,5bdadc14185571632e3e66eb167891ac9e752916761832237cf28f948dcd9548,818dc5ea481a292466f22a50285a426bc884b9cca0ad197b1a94e68104a4e4bf,fb293c4a7f789aa90d22930a89649772f0807b7287eb0914d5d058a6d64a903f,99332459d0b70115040b32d381796bf7b6e2f09bc02a063774040814c27e64ca,49026a93c932ecd0e79d01a5429122b58a7206189e3934243f2214deace090fa,9eeb8b3e719433c65b3bba328ddab6fbfd44968a4b5ad96bbbce9e34f5b1c923,9ca42c03a10d1fa754b0e98a0e303b5ec9aac54d2696393630843e0e42c33e82,a2224edd0ee8a6af95abab9fe4d0347fa402e3d6104d87fbb68d986edd4a6c5e
"0","0","0","100000001","0","0","0","0","0","0","0","100000001","0","0","0","512000021","0","0","100","0"
"0","0","0","100000001","0","0","0","0","0","0","0","100000002","0","100000001","0","512000022","100000002","0","100","0"
"0","0","0","101010101","11999091","0","0","0","0","0","0","101000001","255","101010101","0","110010011","0","11001011","100","0"
"0","0","0","101010101","11999092","0","0","0","0","0","0","101000002","255","101010102","0","110010012","0","11001012","100","0"
"0","0","11999101","101010104","11999093","0","0","0","0","0","0","101000003","255","101010103","0","110010013","101010102","11001013","100","0"
"0","0","0","101010203","11999091","0","0","0","0","0","0","101000004","261","101010203","0","110010021","0","11001021","100","0"
"0","0","0","101010201","11999092","0","0","0","0","0","0","101000005","261","101010201","0","110010022","101010202","11001022","100","0"
"0","0","11999102","101010202","11999093","0","101010202","0","0","0","0","101000006","261","101010203","0","110010023","101010203","11001023","100","0"
"0","0","0","101010302","11999091","0","0","0","0","0","0","101000007","266","101010302","0","110010031","0","11001031","100","0"
"0","0","0","101010301","11999092","0","0","0","0","0","0","101000008","266","101010301","0","110010032","101010302","11001032","100","0"
"0","0","11999103","101010304","11999093","0","0","0","0","0","0","101000009","266","101010303","0","110010033","101010303","11001033","100","0"
"0","0","0","101010404","11999091","0","0","0","0","0","0","101000010","270","101010402","0","110010041","0","11001041","100","0"
"0","0","0","101010402","11999092","0","0","0","0","0","0","101000011","270","101010403","0","110010042","0","11001042","100","0"
"0","0","11999101","101010404","11999093","0","0","0","0","0","0","101000012","270","101010403","0","110010043","101010402","11001043","100","0"
"0","0","0","101010504","11999091","0","0","0","0","0","0","101000013","270","101010504","0","110010051","0","11001051","100","0"
"0","0","0","101010501","11999092","0","0","0","0","0","0","101000014","270","101010503","0","110010052","101010502","11001052","100","0"
"0","0","11999102","101010503","11999093","0","101010505","0","0","0","0","101000015","270","101010504","0","110010053","101010504","11001053","100","0"
"0","0","0","101010604","11999091","0","0","0","0","0","0","101000016","276","101010602","0","110010061","0","11001061","100","0"
"0","0","0","101010604","11999092","0","0","0","0","0","0","101000017","276","101010606","0","110010062","101010602","11001062","100","0"
"0","0","11999103","101010606","11999093","0","0","0","0","0","0","101000018","276","101010605","0","110010063","101010601","11001063","100","0"
"0","0","0","101010702","11999091","0","0","0","0","0","0","101000019","281","101010702","0","110010071","101010703","11001071","100","0"
"0","0","0","101010702","11999092","0","0","0","0","0","0","101000020","281","101010705","0","110010072","101010701","11001072","100","0"
"0","0","11999101","101010706","11999093","0","101010704","0","0","0","0","101000021","281","101010705","0","110010073","101010705","11001073","100","0"
"0","0","0","101010801","11999091","0","0","0","0","0","0","101000022","281","101010801","0","110010081","101010804","11001081","100","0"
"0","0","0","101010802","11999092","0","0","0","0","0","0","101000023","281","101010801","0","110010082","101010803","11001082","100","0"
"0","0","11999102","101010805","11999093","0","0","0","0","0","0","101000024","281","101010804","0","110010083","101010804","11001083","100","0"
"0","0","0","101010904","11999091","0","0","0","0","0","0","101000025","285","101010902","0","110010091","101010901","11001091","100","0"
"0","0","0","101010902","11999092","0","0","0","0","0","0","101000026","285","101010903","0","110010092","101010901","11001092","100","0"
"0","0","11999103","101010906","11999093","0","101010904","0","0","0","0","101000027","285","101010905","0","110010093","101010902","11001093","100","0"
"0","0","11999093","101011006","11999091","0","0","0","0","0","0","101000028","291","101011006","0","110010101","101011003","11001101","100","0"
"0","0","11999101","101011004","11999092","0","0","0","0","0","0","101000029","291","101011004","0","110010102","101011008","11001102","100","0"
"0","0","0","101011001","0","0","0","0","0","0","0","101000030","291","0","0","110010103","0","11001103","100","0"
