910bce0ccfe11d1bde8362298713505a02b4fe719f486d4a03e83db681eca509,5e362429c84ef8f2640acd242d7bb51385c88d7025e87affd5d3c6a4ac1cc3f3,e7f1111fbbc225868843891bbf97b058be337a7d507bf0d57a8f4046c2c1dda1,0ede99ca8ddd33cc9e125d60e83338ab6b45a458ca0e4ea8d3c3d7eed94207f1,1c916bce8807d49d0651684989339964da5a5c24232e1ab147e18dda9b0e1071,6d1639f3eb960cd1155e2b0b54c70b0d3f6ed3c019630b2e3a82034df40ede47,b180b4c825f5edd4033e0dda85de2001e5c6ed3ec0ee886caa648989610ff663
"1","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","71004025","107601","10004","討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"2","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","71005025","108001","10005","討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"3","[3C404E]討伐NORMAL BOSS解放！","71007031","108201","10007","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"4","[3C404E]討伐NORMAL BOSS解放！","71009031","108501","10009","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"5","[3C404E]討伐NORMAL BOSS解放！","71010031","108901","10010","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"6","[3C404E]討伐NORMAL BOSS解放！","71011031","109001","10011","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"7","[3C404E]討伐NORMAL BOSS解放！","71013031","109301","10013","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"8","[3C404E]討伐NORMAL BOSS解放！","71017031","109801","10017","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"9","[3C404E]討伐NORMAL BOSS解放！","71019031","110101","10019","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"10","[3C404E]討伐NORMAL BOSS解放！","72004021","107601","20004","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"11","[3C404E]討伐NORMAL BOSS解放！","71021035","110501","10021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"12","[3C404E]討伐NORMAL BOSS解放！","72005021","108001","20005","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"13","[3C404E]討伐NORMAL BOSS解放！","71025031","111201","10025","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"15","[3C404E]討伐NORMAL BOSS解放！","71026031","108201","10026","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"16","[3C404E]討伐NORMAL BOSS解放！","71029031","111601","10029","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"17","[3C404E]討伐NORMAL BOSS解放！","71030031","108501","10030","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"18","[3C404E]討伐NORMAL BOSS解放！","71031031","112101","10031","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
