0cd9102e5ec608acb5699dff7255d1cf7ee11675061e3c85a23f17ed146bc60b,cde1ccc253e5541e222e11b514f1303c15e0073a0fe9a607fc05e7dcdc78c154,2360db6d50e0c978c10cef6819a73f124f5be8d759dc11314c7291cd52cdb026,30af57a5bd85351cf2b252b860bf40dbde3b7a06740a4db7d46ad969d98d4b25,e40a6b84bd17f1fdd59441cb24c2424ec308e0693d4663114fe9652aa7373045,2a59f3b4d69a8c3b13295b644d96f36836ebae00e2728122fc15b72486187bef,1eef993815400c4b081e7004fe209688bb3e75969b13af8ea2b75dd8c880ebb4,e0bc28b8a5a949ca7f1b5fa81568fc014528846b73592979c55e680dbd16c44b,742661538ecfc7d3e533927e9e0d6f73d3756d1d8c13bc4b597ccbff6b74d75e,7473ca0d3cbb5e0b66e87770e3e093be6d05f4da4144c401bb21f54e3db2e98b,b98f4af0eb4e05d784eb99c000b186ce0cc5d7b5e943dfa10a47fd6174bfcf39,2140216e28dbe4a3759426e8c746ba34bd684807b582c9a0e125373539a26f42,bd2b90c4dbf9416429b996f264f701c3aff651db0142d86c00eeed29d8490c80,8f6761cd63d611c6a569faa764ac3a73dfabc6ba4ef87b3562ecb0965ed735dc
"10.85","恭喜你們，訓練成功。\n在該誇獎時，好好地誇獎，\n也是教官的職責。還是說，\n你們比較喜歡被痛罵呢？嘻嘻。","0","10142","129901","惠理子","7","2030/12/17 14:59:59","1","2024/08/01 16:00:00","24","0","100","100"
"11.15","就算是嚴苛的訓練，結束後回顧，\n還是會覺得時光稍縱即逝呢。\n坦白說，我甚至鬧得不夠盡興……\n沒事，沒什麼。嘻嘻。","0","10142","129901","惠理子","2","2030/12/17 14:59:59","1","2024/08/01 16:00:00","24","0","101","101"
"6.4","將擋住去路的可恨礙事者全部擊垮，\n漂亮地抵達終點……！\n簡直就是象徵我與那位大人的\n人生路途……","0","10142","129901","惠理子","5","2030/12/17 14:59:59","7","2024/08/01 16:00:00","24","0","102","102"
"0","這結果太令人失望了。\n但是，還有挽回的機會。\n為了擺脫垃圾蟲的地位，\n你們下次要拚死努力。聽到了嗎？","0","10142","129901","惠理子","3","2030/12/17 14:59:59","3","2024/08/01 16:00:00","24","0","103","103"
"2.43","嘻嘻……啊，您毋須擔心，\n我只是在思考要給予\n留下這種難看成績的傢伙們\n什麼樣的處罰才適合……嘻嘻嘻。","0","10142","129901","惠理子","8","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","104","104"
"9.08","要是我沒能以教官的身分得到認可，\n就會讓那位大人感到失望……\n唯獨這件事絕對不能發生，\n你們也很清楚吧？","0","10142","129901","惠理子","3","2030/12/17 14:59:59","4","2024/08/01 16:00:00","24","0","105","105"
"0","雖然這結果不算差，\n但要是這點程度就感到滿足，\n那可傷腦筋了。身為惠理子班的一員，\n你們還得以更高的境界為目標才行。","0","10142","129901","惠理子","6","2030/12/17 14:59:59","6","2024/08/01 16:00:00","24","0","106","106"
"10.6","接受我的指導，卻交出這種結果……\n我得更認真思考才行呢。\n思考如要讓你們時刻不敢懈怠，\n需要什麼樣的管教……嘻嘻。","0","10142","129901","惠理子","8","2030/12/17 14:59:59","3","2024/08/01 16:00:00","24","0","107","107"
"7.54","要因完成訓練而獎勵，\n還是因沒能完全發揮實力而懲罰……\n這樣的結果該如何處置各位，\n讓我有些傷腦筋呢。","0","10142","129901","惠理子","4","2030/12/17 14:59:59","6","2024/08/01 16:00:00","24","0","108","108"
"11.5","剛才的奮戰英姿值得誇讚。\n這也是你們的努力，\n與我這位優秀教官的教育結果。\n是吧？嘻嘻嘻……","0","10142","129901","惠理子","7","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","109","109"
"8.83","能夠一路挺進到此地，你們及格了。\n不過要是想以更高的境界為目標……\n我就陪你們進行\n更進一步的訓練吧。","0","10142","129901","惠理子","1","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","110","110"
"6.68","曾不成氣候又不靠譜的你們，\n已經有了令人刮目相看的成長。\n原來如此……這份心情，\n就是身為教官的榮幸吧。","0","10142","129901","惠理子","2","2030/12/17 14:59:59","1","2024/08/01 16:00:00","24","0","111","111"
"8.8","沒想到你們能發揮出\n遠超我所預期的力量……真令人吃驚。\n你們已經不是垃圾蟲了，\n作為獨當一面的騎士，引以為傲吧。","0","10142","129901","惠理子","2","2030/12/17 14:59:59","6","2024/08/01 16:00:00","24","0","112","112"
"8.9","嘻嘻，你們表現得很出色。\n我一直深信各位肯定辦得到。\n因為你們是接受我的指導，\n惠理子班優秀的新兵呀。","0","10142","129901","惠理子","1","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","113","113"
"3.7","如此出色的成績……！\n今天這天就作為「為那位大人著想的\n惠理子超越極限紀念日」\n寫入歷史吧……！","0","10142","129901","惠理子","5","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","114","114"
"7.6","好，這是一場不錯的訓練呢。\n你們的動作也很靈敏，\n我認為你們確實已經有所成長。\n保持這個狀態，繼續加油吧。","0","10142","129801","真琴","2","2030/12/17 14:59:59","1","2024/08/01 16:00:00","24","0","200","200"
"2.25","總之，恭喜你們抵達終點！\n不過，努力這件事貴在堅持不懈啊。\n如果你們有幹勁繼續加油，\n無論多少次，我都很樂意奉陪喔。","0","10142","129801","真琴","1","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","201","201"
"3.28","這樣行軍訓練就結束了！\n……你們該不會有這種想法吧？\n直到身體牢牢記住學習成果前，\n要腳踏實地反覆去做才算練習啊。","0","10142","129801","真琴","1","2030/12/17 14:59:59","2","2024/08/01 16:00:00","24","0","202","202"
"2.98","我讓大家太勉強自己了嗎……\n不過，不能這樣就放棄啊。\n下次肯定會順利。只要相信這件事，\n持續努力鍛鍊，肯定能開闢出一條路！","0","10142","129801","真琴","1","2030/12/17 14:59:59","4","2024/08/01 16:00:00","24","0","203","203"
"3","這結果真讓人不甘心啊……\n總之，有很多該反省的地方，\n一件一件克服吧。\n我們齊心協力一起面對，來！","0","10142","129801","真琴","1","2030/12/17 14:59:59","4","2024/08/01 16:00:00","24","0","204","204"
