a32c551c5a78863683f11cbb7e9d5271be8e3e3140c8a506d02e696a0a53f1aa,93a6b904ca7a196aa1e6662a0433b5292ac9425c31a82b2cae30c368f5ec366b,24658c4ab0e54e74187c5f91ff69f9c7ff05d8fc2fc62e0d2377142ebaa33707,46ced1757e1db53fc543da07f5d798d431e58541cf08defd036ddfb311ba4ae1,1b165ae2ba05350f1159d090bd744e90b4314aaecae8dc69f30bd600c024e5ab,a99bf76a800538dc61ce8e84606c8f3ff1a727fdea26b43dda2458903ea2b0a2,103b3e1fc07553a8a72c0a723467cfc0eee5429c9b0b52ee10ff17d2b4f75026,fd7a0eb021f9ee6e357a740d9665216cbb744bd2d5fa7bfe7a7c07d8eeb82a5e,fe484d188dfb3f4d51b7af592cbc0c01f08a981ba469a073654f66b5fe881e13,96ca85c264ec61a2b4085f379e7ff42b756ec3d7d98446cda607234a9f676ae5,162121b76956b64b0cf8a443d3035e97bc76bd077af70a2fc595c4058a715dc5,1b1f5117b338e23e8834f75dad5a806eaa20b619108284e4a0ae291714ddb07c,21699dd7fbe45c6f12c38e8458cfac8a8234d0b22c1c1661cc70ffa674aeeab4,7a0a99bbb73edea3d1ee049ace488e4216b7f1418c048f7b83ff46f2f8756b07,c94ced04b7863abf7192424f025db578c4f4b41aadf56789c3a61a7ef7926333,aa10c7b1527bcefe3f88f8a701e9c7b14ba9e6ead254244df35855b60bffea0b,59cd0f2c98ea2aba6aee07719f817add2d3c90958b58a64140fbde3ad9d1181e,39b72858dd3c3d9ae878d3116b9e971a42a9ef4699ae36bd5e9be1043b4331e0,1cbb3313c44e1ac0289382986d93d0fe21fce9667865023eb65f238f5e7e163a,13d36197fdf5b553b9a8d3da3267b47d75c7840292153de623c4dc1ae9eaee27,8d23096d5daf95c03a84ec55c042107dfc2e4486aaf77e30dcb580136f90518f,358c82708eddcaf25c81685e3353b8f85b19e1883e9971ff958f68c6f7afdb10,7f3694ed93649314059043bdcbf3e870266eb45e3762203beb8c17de84689119,b89944f3b9cc277cd2ca03540bdb1731e7dec8fa9fed2688ecc0b0f455901669,cbd07302d777235b1301299a47e6a0eb81d128ab20a37c14d4e64d78cc1731ee,b979fa89b7c4a613d664a37aea71253503f4da182367900ae5d1fd34b4cfe919,337f9bde3640f3ec1bed8244661081a94b8c268ca9b48b31497f2932ca271f5c,3905baadb5c22f9f4bd08dc49347f3b0ad3e1f7d769af9114a440a31131625fe,b0786bf7932847cffcf9bf694cb92b3a6b8741afee2e5a6664e9ea8ebac55008,2cbbfc10e0f23757f78ce6ba6fadaa0a92c4c023f6c629773ebd6c6cc013cac1,e4019054e4b457c2773ae417606e88c0ce96b394e55eb06dfce57c02d302ac8f
"0","1000110103","1","0","33","0","1","0","0","0","0","0","1000110103","1","0","100","10001101","0","0","1000110101","1","0","0","1000110102","34","0","100","100","0","1000110103","1"
"1","1000120102","1","100","100","1000120105","1","1","1000120105","1000120104","1","1000120105","1000120105","1","100","100","10001201","100","34","1000120101","1","33","1","1000120105","100","1","100","100","1000120105","1000120103","1"
"0","1000210103","1","0","33","0","1","0","0","0","0","0","1000210103","1","0","100","10002101","0","0","1000210101","1","0","0","1000210102","34","0","100","100","0","1000210103","1"
"1","1000220102","1","100","100","1000220105","1","1","1000220105","1000220104","1","1000220105","1000220105","1","100","100","10002201","100","34","1000220101","1","33","1","1000220105","100","1","100","100","1000220105","1000220103","1"
"0","1000310103","1","0","33","0","1","0","0","0","0","0","1000310103","1","0","100","10003101","0","0","1000310101","1","0","0","1000310102","34","0","100","100","0","1000310103","1"
"1","1000320102","1","100","100","1000320105","1","1","1000320105","1000320104","1","1000320105","1000320105","1","100","3","10003201","100","34","1000320101","6","33","1","1000320105","100","1","3","100","1000320105","1000320103","6"
"0","1000410103","1","0","33","0","1","0","0","0","0","0","1000410103","1","0","100","10004101","0","0","1000410101","1","0","0","1000410102","34","0","100","100","0","1000410103","1"
"1","1000420102","1","100","100","1000420105","1","1","1000420105","1000420104","1","1000420105","1000420105","1","100","3","10004201","100","34","1000420101","6","33","1","1000420105","100","1","3","100","1000420105","1000420103","6"
"1","1000430102","1","100","100","1000430104","1","1","1000430104","0","1","1000430104","1000430104","1","34","100","10004301","0","33","1000430101","1","100","1","1000430104","100","0","100","100","1000430103","1000430104","6"
"0","1000510103","1","0","33","0","1","0","0","0","0","0","1000510103","1","0","100","10005101","0","0","1000510101","1","0","0","1000510102","34","0","100","100","0","1000510103","1"
"1","1000520102","1","100","100","1000520105","1","1","1000520105","1000520104","1","1000520105","1000520105","1","100","3","10005201","100","34","1000520101","6","33","1","1000520105","100","1","3","100","1000520105","1000520103","6"
"1","1000530102","1","100","100","1000530104","1","1","1000530104","0","1","1000530104","1000530104","1","34","100","10005301","0","33","1000530101","1","100","1","1000530104","100","0","100","100","1000530103","1000530104","6"
"0","1000610103","1","0","33","0","1","0","0","0","0","0","1000610103","1","0","100","10006101","0","0","1000610101","1","0","0","1000610102","34","0","100","100","0","1000610103","1"
"1","1000620102","1","100","100","1000620105","1","1","1000620105","1000620104","1","1000620105","1000620105","1","100","3","10006201","100","34","1000620101","6","33","1","1000620105","100","1","3","100","1000620105","1000620103","6"
"1","1000630102","1","100","100","1000630104","1","1","1000630104","0","1","1000630104","1000630104","1","34","100","10006301","0","33","1000630101","1","100","1","1000630104","100","0","100","100","1000630103","1000630104","6"
