f94df842d01e7b969c812c9ac5ea0586bebcaf7469546359e440ec495f0d60cf,e1fbdfe4b27bf4d2c7bf3b0ddc59947cffb578e7b94442b8ad7e32a777765535,9fcbfae01eeb21ce0ca44692a19687f05dec40009d62b96ba2e422673cacb37f
"100101","1","1"
"100201","1","1"
"100301","1","1"
"100401","1","1"
"102101","1","1"
"102201","1","1"
"102501","1","1"
"103401","1","1"
"104001","1","1"
"105001","1","1"
"105201","1","1"
"105801","1","1"
"105901","1","1"
"106001","1","1"
"100601","2","1"
"100701","2","1"
"100801","2","1"
"101301","2","1"
"101601","2","1"
"101701","2","1"
"102001","2","1"
"102301","2","1"
"102701","2","1"
"103101","2","1"
"103301","2","1"
"103801","2","1"
"104201","2","1"
"104501","2","1"
"104601","2","1"
"104801","2","1"
"105101","2","1"
"102601","2","1"
"101501","2","1"
"105401","2","1"
"100501","2","1"
"100901","3","1"
"101001","3","1"
"101101","3","1"
"101201","3","1"
"101801","3","1"
"102801","3","1"
"102901","3","1"
"103001","3","1"
"103201","3","1"
"104301","3","1"
"104901","3","1"
"105301","3","1"
"105701","3","1"
"104701","3","1"
"106301","3","1"
"103601","3","1"
"104401","3","1"
"103701","3","1"
"105601","3","1"
"101401","3","1"
"107101","3","1"
"106101","3","1"
