980635750b6e72d90f18d06046d3a24282b67cd44971d88c7a282f030d697f66,993a500975979bc2cd0498e11731bed0763c8b9c3cf9c64b05cbfc5fb2325558,78196d2166d97dcd6fd18eacc8443bf7fd1b141ada9dd6e37090c7bc874700db
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
