b6bb19311766d6b2cca786de312490f687384f3df90032f09cb2b09deca431f2,84f2269cce6a644ea217c24fb1c6f2bc9583b74f9c327d9e1519cdcabe5a2d0a,fe8d000d8a914814179dc2b3b87b0435374fc707366175dd61a143b97c40876b,f3df9873e22276027f44a77f8c347b3b7fa8abf3e5f0111d24019eb400a049a2,5975d1c35bf90180638265fbeebb13ab88d57525a3e42bdac1e9fcc689b1f910,ae6e0ad2bafeb7a4903dc125d253542a6cf3543d170b9f96808f9a1045df924f,1e94a22aa97d685355ed9e89589970fcff2518bbb767374fcda777272208919a,8667cd560427598c793af1fdbff695ed6fdc326b1dbc0bcff7864fd6eccafd75
"10050650","30050237","0","0","10050640","30050236","3000","0"
"10050670","30050414","0","0","10050659","30050413","3000","0"
"10050735","30050422","0","30050423","10050723","30050421","3000","0"
"10050360","30050425","0","30050426","10050818","30050424","3000","0"
"10060413","30060188","0","30060189","10060402","30060187","3000","30060190"
"10060492","30060192","0","30060193","10060480","30060191","3000","0"
"10060545","30060195","0","30060196","10060542","30060194","3000","30060197"
"10060606","30060209","30060212","30060210","10060591","30060208","3000","30060211"
"10070626","30070187","0","30070188","10070608","30070186","3000","30070189"
"10070926","30070199","30070202","30070200","10070914","30070198","3000","30070201"
"10071052","30070207","30070210","30070208","10071038","30070206","3000","30070209"
"10071131","30070194","0","30070195","10071117","30070193","3000","30070196"
