4eaadf4328a45be0a90214136d79967f9457278fb18d3f94f5f29bb6054472da,9b06e67813c7b8a3b84be9941bd94a1146a8a5813d619eca2041c85d26b46b60,e67ea9fd25897bb3d37f79f8a0fe74bfa49f4b8f6e35688763c302e3356f00e3,ad51e748084d3894930dda77a5dccd7486ed3ddc57dcd9fcede42248431c94c0,a8e7d2c61bb1ecb27a3d3f26c2a197974674da17cf1fe04eb93bf188319e21b6,e3879b48b9e69960f31f60391718469104f0bffd0321e048423d57b98f0450c9
"3001","118001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1","2024/04/01 16:00:00","1013206"
"3002","118001","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","2","2024/04/01 16:00:00","1013206"
"3010","118001","戰鬥開始90秒內，大幅度提升TP上升。","3","2024/04/01 16:00:00","1013206"
"3001","105801","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","4","2024/04/01 16:00:00","1013206"
"3004","105801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","5","2024/04/01 16:00:00","1013206"
"3005","105801","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","6","2024/04/01 16:00:00","1013206"
"3001","107501","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","7","2024/04/01 16:00:00","1013206"
"3002","107501","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","8","2024/04/01 16:00:00","1013206"
"3010","107501","戰鬥開始90秒內，大幅度提升TP上升。","9","2024/04/01 16:00:00","1013206"
"3001","111801","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","10","2024/04/01 16:00:00","1013206"
"3004","111801","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","11","2024/04/01 16:00:00","1013206"
"3001","121001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","13","2024/04/01 16:00:00","1013206"
"3004","121001","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","14","2024/04/01 16:00:00","1013206"
"3001","180401","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","16","2024/04/01 16:00:00","1013206"
"3004","180401","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","17","2024/04/01 16:00:00","1013206"
"3005","180401","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","18","2024/04/01 16:00:00","1013206"
"3003","127901","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","19","2024/04/01 16:00:00","1013206"
"3004","127901","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","20","2024/04/01 16:00:00","1013206"
"3001","106601","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","21","2024/05/01 16:00:00","1013406"
"3012","106601","戰鬥開始90秒內，\n展開物理/魔法無效護盾。","22","2024/05/01 16:00:00","1013406"
"3003","101401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","23","2024/05/01 16:00:00","1013406"
"3010","101401","戰鬥開始90秒內，\n特大幅度提升TP上升。","24","2024/05/01 16:00:00","1013406"
"3003","101201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","25","2024/05/01 16:00:00","1013406"
"3010","101201","戰鬥開始90秒內，\n特大幅度提升TP上升。","26","2024/05/01 16:00:00","1013406"
"3001","116501","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","27","2024/05/01 16:00:00","1013406"
"3012","116501","戰鬥開始90秒內，\n展開物理/魔法無效護盾。","28","2024/05/01 16:00:00","1013406"
"3001","121601","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","29","2024/05/01 16:00:00","1013406"
"3012","121601","戰鬥開始90秒內，\n展開物理/魔法無效護盾。","30","2024/05/01 16:00:00","1013406"
"3001","128301","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","31","2024/05/01 16:00:00","1013406"
"3012","128301","戰鬥開始90秒內，\n展開物理/魔法無效護盾。","32","2024/05/01 16:00:00","1013406"
"3003","112201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","33","2024/05/01 16:00:00","1013406"
"3010","112201","戰鬥開始90秒內，\n特大幅度提升TP上升。","34","2024/05/01 16:00:00","1013406"
"3003","115701","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","35","2024/05/01 16:00:00","1013406"
"3010","115701","戰鬥開始90秒內，\n特大幅度提升TP上升。","36","2024/05/01 16:00:00","1013406"
"3003","113401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","37","2024/05/01 16:00:00","1013406"
"3010","113401","戰鬥開始90秒內，\n特大幅度提升TP上升。","38","2024/05/01 16:00:00","1013406"
"3003","128401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","39","2024/05/05 16:00:00","1013406"
"3010","128401","戰鬥開始90秒內，\n特大幅度提升TP上升。","40","2024/05/05 16:00:00","1013406"
"3001","180701","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","41","2024/05/01 16:00:00","1013406"
"3010","180701","戰鬥開始90秒內，大幅度提升TP上升。","42","2024/05/01 16:00:00","1013406"
"3001","100101","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","43","2024/06/01 16:00:00","1013606"
"3010","100101","戰鬥開始90秒內，\n特大幅度提升TP上升。","44","2024/06/01 16:00:00","1013606"
"3013","100101","攻擊力吸收無效","45","2024/06/01 16:00:00","1013606"
"3003","100201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","46","2024/06/01 16:00:00","1013606"
"3004","100201","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","47","2024/06/01 16:00:00","1013606"
"3010","100201","戰鬥開始90秒內，\n特大幅度提升TP上升。","48","2024/06/01 16:00:00","1013606"
"3013","100201","攻擊力吸收無效","49","2024/06/01 16:00:00","1013606"
"3001","100301","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","50","2024/06/01 16:00:00","1013606"
"3004","100301","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","51","2024/06/01 16:00:00","1013606"
"3013","100301","攻擊力吸收無效","52","2024/06/01 16:00:00","1013606"
"3001","108701","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","53","2024/06/01 16:00:00","1013606"
"3010","108701","戰鬥開始90秒內，\n特大幅度提升TP上升。","54","2024/06/01 16:00:00","1013606"
"3013","108701","攻擊力吸收無效","55","2024/06/01 16:00:00","1013606"
"3001","180101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","56","2024/06/01 16:00:00","1013606"
"3010","180101","戰鬥開始90秒內，\n特大幅度提升TP上升。","57","2024/06/01 16:00:00","1013606"
"3001","122401","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","58","2024/06/01 16:00:00","1013606"
"3010","122401","戰鬥開始90秒內，\n特大幅度提升TP上升。","59","2024/06/01 16:00:00","1013606"
"3001","128701","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","60","2024/06/17 16:00:00","1013606"
"3010","128701","戰鬥開始90秒內，\n特大幅度提升TP上升。","61","2024/06/17 16:00:00","1013606"
"3003","108801","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","62","2024/06/01 16:00:00","1013606"
"3004","108801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","63","2024/06/01 16:00:00","1013606"
"3010","108801","戰鬥開始90秒內，\n特大幅度提升TP上升。","64","2024/06/01 16:00:00","1013606"
"3013","108801","攻擊力吸收無效","65","2024/06/01 16:00:00","1013606"
"3004","115601","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","66","2024/06/01 16:00:00","1013606"
"3010","115601","戰鬥開始90秒內，\n特大幅度提升TP上升。","67","2024/06/01 16:00:00","1013606"
"3004","180201","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","68","2024/06/01 16:00:00","1013606"
"3010","180201","戰鬥開始90秒內，\n特大幅度提升TP上升。","69","2024/06/01 16:00:00","1013606"
"3004","122601","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","70","2024/06/01 16:00:00","1013606"
"3010","122601","戰鬥開始90秒內，\n特大幅度提升TP上升。","71","2024/06/01 16:00:00","1013606"
"3004","128901","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","72","2024/06/01 16:00:00","1013606"
"3010","128901","戰鬥開始90秒內，\n特大幅度提升TP上升。","73","2024/06/01 16:00:00","1013606"
"3001","108901","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","74","2024/06/01 16:00:00","1013606"
"3002","108901","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","75","2024/06/01 16:00:00","1013606"
"3013","108901","攻擊力吸收無效","76","2024/06/01 16:00:00","1013606"
"3001","114001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","77","2024/06/01 16:00:00","1013606"
"3004","114001","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","78","2024/06/01 16:00:00","1013606"
"3001","180301","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","79","2024/06/01 16:00:00","1013606"
"3004","180301","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","80","2024/06/01 16:00:00","1013606"
"3001","122501","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","81","2024/06/01 16:00:00","1013606"
"3004","122501","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","82","2024/06/01 16:00:00","1013606"
"3001","128801","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","83","2024/06/01 16:00:00","1013606"
"3004","128801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","84","2024/06/01 16:00:00","1013606"
"3001","100101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","85","2024/06/08 16:00:00","1013706"
"3002","100101","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","86","2024/06/08 16:00:00","1013706"
"3003","100201","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","87","2024/06/08 16:00:00","1013706"
"3002","100201","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","88","2024/06/08 16:00:00","1013706"
"3001","100301","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","89","2024/06/08 16:00:00","1013706"
"3002","100301","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","90","2024/06/08 16:00:00","1013706"
"3001","108701","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","91","2024/06/08 16:00:00","1013706"
"3002","108701","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","92","2024/06/08 16:00:00","1013706"
"3001","180101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","93","2024/06/08 16:00:00","1013706"
"3002","180101","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","94","2024/06/08 16:00:00","1013706"
"3001","122401","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","95","2024/06/08 16:00:00","1013706"
"3002","122401","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","96","2024/06/08 16:00:00","1013706"
"3001","128701","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","97","2024/06/17 16:00:00","1013706"
"3002","128701","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","98","2024/06/17 16:00:00","1013706"
"3003","108801","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","99","2024/06/08 16:00:00","1013706"
"3002","108801","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","100","2024/06/08 16:00:00","1013706"
"3003","115601","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","101","2024/06/08 16:00:00","1013706"
"3002","115601","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","102","2024/06/08 16:00:00","1013706"
