8a2dfc1eeedf63f4e6ec7151e126cfd9bf65b0d62652658afda2083aba17cbea,633331f64e516552b5c53a387462cd85b9a888cc2a5d7f3795d1305adca90f0d,1d6d0b5702880b751fc49c92787a304a4a34dbfb1e9cf31f2f8dd1f83ed7d48a,46340017304f58b924d5f33136176b2af3f4dde521144f4fd5679461981481bd,5f0b7c00e7aa77bb9263425283f6e745f84e14ae975eb9af125caf99fa031e4a,00862cb7238f6c416966cca01edecd7033a8eb902c8bcdd7476059e09811e9b6,54e68504def043ef77501ce680781cf34dab13231dc4e7becf63e04fa4fe2cc2,403bdcdc2759a7c5a3c2c9c5e24417c9e2a798fbed045ccf4ceebdfe1e1735b8,4f80fda421e096cf4b63aa7126b638f8d26aff1fec986b84d7f995516b7fb21b,62430869cc1c21f5ba847921cb06128e5276ddd891e4cf16125cc3cfb3c43e03,5bbdf8990e04b755a40145588db6dfa992bb2aa52f7bbe4cea7efb68732daab9,ab96e4fb338e2aaab3f5ec25004f99829f56d8164267bc5ace6477a3b663fb9e
"7003","10","0","2023/04/24 15:59:59","31000101","1000","1","31000101","0","3","2023/04/17 16:00:00","進行1場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000102","1000","5","31000102","0","3","2023/04/17 16:00:00","進行5場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000103","1000","10","31000103","0","3","2023/04/17 16:00:00","進行10場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000104","1000","15","31000104","0","3","2023/04/17 16:00:00","進行15場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000105","1000","20","31000105","0","3","2023/04/17 16:00:00","進行20場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000106","1000","25","31000106","0","3","2023/04/17 16:00:00","進行25場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000107","1000","30","31000107","0","3","2023/04/17 16:00:00","進行30場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000108","1000","35","31000108","0","3","2023/04/17 16:00:00","進行35場戰鬥"
"7003","10","0","2023/04/24 15:59:59","31000109","1000","40","31000109","0","3","2023/04/17 16:00:00","進行40場戰鬥"
"7004","10","3001","2023/04/24 15:59:59","31001101","1001","5000000","31001101","0","3","2023/04/17 16:00:00","對黑之王賈巴沃克造成500萬累積傷害"
"7004","10","3001","2023/04/24 15:59:59","31001102","1001","7500000","31001102","0","3","2023/04/17 16:00:00","對黑之王賈巴沃克造成750萬累積傷害"
"7004","10","3001","2023/04/24 15:59:59","31001103","1001","10000000","31001103","0","3","2023/04/17 16:00:00","對黑之王賈巴沃克造成1000萬累積傷害"
"7005","11","3001","2023/04/24 15:59:59","31001111","1001","1","31001111","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對黑之王賈巴沃克造成250萬傷害"
"7005","11","3001","2023/04/24 15:59:59","31001112","1001","1","31001112","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對黑之王賈巴沃克造成500萬傷害"
"7004","20","3002","2023/04/24 15:59:59","31001201","1001","5000000","31001201","0","3","2023/04/17 16:00:00","對失控的純潔之弓造成500萬累積傷害"
"7004","20","3002","2023/04/24 15:59:59","31001202","1001","7500000","31001202","0","3","2023/04/17 16:00:00","對失控的純潔之弓造成750萬累積傷害"
"7004","20","3002","2023/04/24 15:59:59","31001203","1001","10000000","31001203","0","3","2023/04/17 16:00:00","對失控的純潔之弓造成1000萬累積傷害"
"7005","21","3002","2023/04/24 15:59:59","31001211","1001","1","31001211","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對失控的純潔之弓造成250萬傷害"
"7005","21","3002","2023/04/24 15:59:59","31001212","1001","1","31001212","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對失控的純潔之弓造成500萬傷害"
"7004","30","3003","2023/04/24 15:59:59","31001301","1001","5000000","31001301","0","3","2023/04/17 16:00:00","對幻影男爵造成500萬累積傷害"
"7004","30","3003","2023/04/24 15:59:59","31001302","1001","7500000","31001302","0","3","2023/04/17 16:00:00","對幻影男爵造成750萬累積傷害"
"7004","30","3003","2023/04/24 15:59:59","31001303","1001","10000000","31001303","0","3","2023/04/17 16:00:00","對幻影男爵造成1000萬累積傷害"
"7005","31","3003","2023/04/24 15:59:59","31001311","1001","1","31001311","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對幻影男爵造成250萬傷害"
