6305d81c102072a9ef13b2bfb6e4d9f15c07c3721f6c7676da6d53c5cd6c9fc7,9fd4ec1c6fdbfb7160195d7f8c2a821971dc19de5e51c6360c01f70c6c503800,7dfa4fbdf46abfc001790577b49195e3d09315e9c00a123c668b54a83b9d1945,56f517fdb9d84227b8af946f609db7b84efd474b11bd1e8f1c84c0f8c854bd35,255bfbb222f784112823ab8ea66d3e999f84f5b9ef4bac842587b0aa0c61844d,34f49ea186fb89f12e142a734841dca4f9446ce10ece81a3910c14741094e957,b3de000d39c1f0f984d2fb0610f6d37b856ec8dc40522abe013a335a0bb0bc37,cdd99a84effa95caa8542a2a1fd1f7fd2fec67f789f9df873a0003af6a298aae,ceda6d86d8f7ddfde038f01464532e8e8c77831188ca1ccf09f2f3dc17b4f837,90ccfc44544b7497736d690f4966dbfb8a34280f4566869ccf5036b5e597912b,6ac7c4d85053078030fd9b35502adbc9b4ba0809fa03804364ec666693b0bf13,722fd2505f3d78afb965b40c05405129d5b70ad3382af6625d782f310cf44240,c9135edf1b02b0ce6466199f8c1bc348178c84c279a2aaac691c6a5fd40e8105
"","","","3100101","1","","","","29","","","","31001_01"
"","","","3100101","30","","","","59","","","","31001_03"
"","","","3100101","60","","","","-1","","","","31001_05"
"","","31001_01","3100102","1","","","","29","","","","31001_01"
"","","31001_03","3100102","30","","","","59","","","","31001_03"
"","","31001_05","3100102","60","","","","-1","","","","31001_05"
"","","31001_01","3100103","1","","","31001_01","29","","","","31001_01"
"","","31001_03","3100103","30","","","31001_03","59","","","","31001_03"
"","","31001_05","3100103","60","","","31001_05","-1","","","","31001_05"
"","","31001_01","3100104","1","","31001_01","31001_01","29","","","","31001_01"
"","","31001_03","3100104","30","","31001_03","31001_03","59","","","","31001_03"
"","","31001_05","3100104","60","","31001_05","31001_05","-1","","","","31001_05"
"","","61003_02","3100201","1","","","","29","","","","61003_01"
"","","61003_04","3100201","30","","","","49","","","","61003_03"
"","","61003_06","3100201","50","","","","79","","","","61003_05"
"","","61003_08","3100201","80","","","","99","","","","61003_07"
"","","61003_10","3100201","100","","","","109","","","","61003_09"
"","","61003_12","3100201","110","","","","119","","","","61003_11"
"","","61003_14","3100201","120","","","","129","","","","61003_13"
"","","61003_16","3100201","130","","","","139","","","","61003_15"
"","","61003_18","3100201","140","","","","149","","","","61003_17"
"","","61003_20","3100201","150","","","","159","","","","61003_19"
"","","61003_22","3100201","160","","","","169","","","","61003_21"
"","","61003_24","3100201","170","","","","179","","","","61003_23"
"","","61003_26","3100201","180","","","","189","","","","61003_25"
"","","61003_28","3100201","190","","","","199","","","","61003_27"
"","","61003_30","3100201","200","","","","209","","","","61003_29"
"","","61003_32","3100201","210","","","","219","","","","61003_31"
"","","61003_34","3100201","220","","","","229","","","","61003_33"
"","","61003_36","3100201","230","","","","239","","","","61003_35"
"","","61003_38","3100201","240","","","","249","","","","61003_37"
"","","61003_40","3100201","250","","","","259","","","","61003_39"
"","","61003_42","3100201","260","","","","269","","","","61003_41"
"","","61003_44","3100201","270","","","","279","","","","61003_43"
"","","61003_46","3100201","280","","","","289","","","","61003_45"
"","","61003_48","3100201","290","","","","299","","","","61003_47"
"","","61003_50","3100201","300","","","","309","","","","61003_49"
"","","61003_52","3100201","310","","","","319","","","","61003_51"
"","","61003_54","3100201","320","","","","329","","","","61003_53"
"","","61003_56","3100201","330","","","","-1","","","","61003_55"
