d98eeb85fe9a08ff204e1618d36bd4787a2d01db66ab89d994722442e3dd27c9,de9cbb8dbfbc6a5193a18dbfe700017997b0d173723deebbabd3c7a0837ab88a,e405bac24879294904e8227828665148f18ec08b54fd4139ffa9c68f97216581,c883af84bd372d403a2d12e382e725c7e2e235952ef19f8e4b96a24dbc2f052a,74fd8565255990ea1a17678126824bf45c236cfa46d056dd8688118ae79e4ec9,62a15e5e03ca3b08600370c79008e5270f4beb3820aafc9465498c4b21ca5ef6,d19358a318064c050b3ba21cf10e0dc7761dadc239c14857366ee843dbe8c44f,21f7009c22120be83bb42e59b9ea29bf830dbbcf0872f8e9c7ff9d2ecd6a47b0,9a19289e84f94d5074c33df9c779786a57e23b09dd94e848f04513a1ea17d9db,811f870a686f01fea50401d8e706a1e7115bd582a03bd591b81e98e300ad567a,e615c9e10a6a40f8db2869b8fb28e0430c81357874e1ac229a9a0c6b2976daf2,603f78102b9174db277ee59b0b332a955d02bb9925031ae7b70432c506e1a739,c860bde5815167974806653cd0107d64da42ed37b2416590d96d1ba004bf195d,31eab143211e8c09ac514edd0f793a1b22f91035be728888e46fa95744fe984d
"1","-1","1","30","0","0","0","0","2018/08/27 15:59:59","34","1","2018/08/20 16:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/08/27 15:59:59","44","2","2018/08/20 16:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/09/03 15:59:59","45","3","2018/08/27 16:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2018/09/10 15:59:59","31","4","2018/09/05 16:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2018/09/10 15:59:59","41","5","2018/09/05 16:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2018/09/14 15:59:59","32","6","2018/09/10 16:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2018/09/14 15:59:59","42","7","2018/09/10 16:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2018/09/21 15:59:59","34","8","2018/09/14 16:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/09/21 15:59:59","44","9","2018/09/14 16:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/10/01 04:59:59","45","10","2018/09/21 16:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2018/10/11 04:59:59","34","11","2018/10/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/10/11 04:59:59","44","12","2018/10/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/10/22 04:59:59","45","13","2018/10/11 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2018/10/27 04:59:59","31","14","2018/10/22 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2018/10/27 04:59:59","41","15","2018/10/22 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2018/11/01 04:59:59","32","16","2018/10/27 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2018/11/01 04:59:59","42","17","2018/10/27 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2018/11/10 04:59:59","34","18","2018/11/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/11/10 04:59:59","44","19","2018/11/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/11/20 04:59:59","45","20","2018/11/10 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2018/11/26 04:59:59","31","21","2018/11/20 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2018/11/26 04:59:59","41","22","2018/11/20 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2018/11/30 04:59:59","32","23","2018/11/26 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2018/11/30 04:59:59","42","24","2018/11/26 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2018/12/11 04:59:59","34","25","2018/12/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/12/11 04:59:59","44","26","2018/12/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2018/12/21 04:59:59","45","27","2018/12/11 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2018/12/26 04:59:59","31","28","2018/12/21 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2018/12/26 04:59:59","41","29","2018/12/21 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2018/12/31 04:59:59","32","30","2018/12/26 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2018/12/31 04:59:59","42","31","2018/12/26 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2019/01/11 04:59:59","34","32","2018/12/31 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2019/01/11 04:59:59","44","33","2018/12/31 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2019/01/22 04:59:59","45","34","2019/01/11 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2019/01/27 04:59:59","31","35","2019/01/22 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2019/01/27 04:59:59","41","36","2019/01/22 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2019/02/01 04:59:59","32","37","2019/01/27 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2019/02/01 04:59:59","42","38","2019/01/27 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2019/02/10 04:59:59","34","39","2019/02/01 05:00:00","3000","103"
"1","-1","1","40","0","0","0","0","2019/02/10 04:59:59","44","40","2019/02/01 05:00:00","3000","103"
"1","-1","1","40","0","0","0","0","2019/02/19 04:59:59","45","41","2019/02/10 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2019/02/24 04:59:59","31","42","2019/02/19 05:00:00","3000","101"
"1","-1","1","40","0","0","0","0","2019/02/24 04:59:59","41","43","2019/02/19 05:00:00","3000","101"
"1","-1","1","30","0","0","0","0","2019/03/01 04:59:59","32","44","2019/02/24 05:00:00","3000","102"
"1","-1","1","40","0","0","0","0","2019/03/01 04:59:59","42","45","2019/02/24 05:00:00","3000","102"
"1","-1","1","30","0","0","0","0","2019/03/11 04:59:59","34","46","2019/03/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2019/03/11 04:59:59","44","47","2019/03/01 05:00:00","2000","103"
"1","-1","1","80","0","0","0","0","2019/03/25 15:59:59","151","48","2019/03/06 16:00:00","1500","6004"
"1","-1","1","80","0","0","0","0","2019/03/25 15:59:59","152","49","2019/03/06 16:00:00","1500","6005"
"1","-1","1","40","0","0","0","0","2019/03/22 04:59:59","45","50","2019/03/11 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2019/03/27 04:59:59","31","51","2019/03/22 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2019/03/27 04:59:59","41","52","2019/03/22 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2019/04/01 04:59:59","32","53","2019/03/27 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2019/04/01 04:59:59","42","54","2019/03/27 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2019/04/11 04:59:59","34","55","2019/04/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2019/04/11 04:59:59","44","56","2019/04/01 05:00:00","2000","103"
"1","-1","1","80","0","0","0","0","2019/04/17 15:59:59","151","57","2019/04/03 16:00:00","1500","6004"
"1","-1","1","80","0","0","0","0","2019/04/17 15:59:59","152","58","2019/04/03 16:00:00","1500","6005"
"1","-1","1","40","0","0","0","0","2019/04/21 04:59:59","45","59","2019/04/11 05:00:00","2000","104"
"1","-1","1","30","0","0","0","0","2019/04/26 04:59:59","31","60","2019/04/21 05:00:00","2000","101"
"1","-1","1","40","0","0","0","0","2019/04/26 04:59:59","41","61","2019/04/21 05:00:00","2000","101"
"1","-1","1","30","0","0","0","0","2019/05/01 04:59:59","32","62","2019/04/26 05:00:00","2000","102"
"1","-1","1","40","0","0","0","0","2019/05/01 04:59:59","42","63","2019/04/26 05:00:00","2000","102"
"1","-1","1","30","0","0","0","0","2019/05/11 04:59:59","34","64","2019/05/01 05:00:00","2000","103"
"1","-1","1","40","0","0","0","0","2019/05/11 04:59:59","44","65","2019/05/01 05:00:00","2000","103"
"1","-1","1","80","0","0","0","0","2019/05/16 15:59:59","151","66","2019/05/02 16:00:00","1500","6004"
