2feb1544c8a30d3f46a2990fcba0d53cba81be2517692e788d753ac60c8e918f,b015530986e3bfc66bac4c0b8fa2e98263b264a53e9f9fe80c92b1ee76f92b31,81fa7a6a2f620dd7d4f1fc9826d1babd011244bf969e93aa7e9715e1624a550c,f8d7426cb945a6c5c914c7bd29f0d08f873316a144a5db4763b20f8535a54e81,bea8f5a2adc331f3c59c4f8ce81d312fa0893594cc8f91dc828c183947419056,d66a642cf9876c185540be643d3b550973d0190f4b7687e4652a1ba6f8cd9e61,4c27ebee7545befda9a166f8b8f2cc29b48530d5787ea6e83950868452c82ed9,d1653583004e1288e896232f35e07f060c87607444163a9b89384f8ce4a00bc0,9b1a4f4de8215763914c016d0b57b89f14129fe8c052b9e5cda5912774a1b66f,a2b841c204feea9919268eb6afc44628f12a2bfd8c7267db7622b097b81be85f,826a18b910a0e7cd6f815b1fab7c664acef656fee3caa382211c46cbeee82654,58944f0c3937f293f97d6f2f1344c26c9984bcef2b9aa9179cd46c30f6fa4ec0,0956d288a5dd1b2a96a7d5de0a2600d4f299924f677f9b5df67b3ce635ae1e82,561143707b49fb29733dca831fd716a4f1bd287d7abdf54ddb70ae904625948e,fdadcd7208104ffa5f07cc06d0175d58e9d258ec3cc8679b95a7ab03a1cc277c
"0","0","2001","0","20012","1","7","0","1","1","20011","0","2","0","40001"
"0","0","2002","0","20022","1","7","0","1","1","20021","0","2","0","40001"
"0","0","2003","0","20032","1","7","0","1","1","20031","0","2","0","40001"
"0","0","2004","0","20042","1","7","0","1","1","20041","0","2","0","40001"
"0","0","2005","0","20052","1","7","0","1","1","20051","0","2","0","40001"
"0","0","2006","0","20062","1","7","0","1","1","20061","0","2","0","40001"
"0","0","2007","0","20072","1","7","0","1","1","20071","0","2","0","40001"
"0","0","2008","0","20082","1","7","0","1","1","20081","0","2","0","40001"
"0","0","2009","0","20092","1","7","0","1","1","20091","0","2","0","40001"
"0","0","2010","0","20102","1","7","0","1","1","20101","0","2","0","40001"
"0","0","2011","0","20112","1","7","0","1","1","20111","0","2","0","40001"
"0","0","2012","0","20122","1","7","0","1","1","20121","0","2","0","40001"
"0","0","2013","0","20132","1","7","0","1","1","20131","0","2","0","40001"
"0","0","2014","0","20142","1","7","0","1","1","20141","0","2","0","40001"
"0","0","2015","0","20152","1","7","0","1","1","20151","0","2","0","40001"
"0","0","2016","0","20162","1","7","0","1","1","20161","0","2","0","40001"
"0","0","2017","0","20172","1","7","0","1","1","20171","0","2","0","40001"
"0","0","2018","0","20182","1","7","0","1","1","20181","0","2","0","40001"
"0","0","2019","0","20192","1","7","0","1","1","20191","0","2","0","40001"
"0","0","2020","0","20202","1","7","0","1","1","20201","0","2","0","40001"
"0","0","2021","0","20212","1","7","0","1","1","20211","0","2","0","40001"
"0","0","2022","0","20222","1","7","0","1","1","20221","0","2","0","40001"
"0","0","2023","0","20232","1","7","0","1","1","20231","0","2","0","40001"
"0","0","2024","0","20242","1","7","0","1","1","20241","0","2","0","40001"
"0","0","2025","0","20252","1","7","0","1","1","20251","0","2","0","40001"
"0","0","2026","0","20262","1","7","0","1","1","20261","0","2","0","40001"
"0","0","2027","0","20272","1","7","0","1","1","20271","0","2","0","40001"
"0","0","2028","0","20282","1","7","0","1","1","20281","0","2","0","40001"
"0","0","3001","40","30012","1","7","0","1","1","30011","0","1","0","40001"
"0","0","3002","40","30022","1","7","0","1","5","30021","0","1","0","40001"
"0","0","3003","40","30032","1","7","0","1","6","30031","0","1","0","40001"
"0","0","3004","-58","30042","2","0","0","1","6","30041","0","1","0","40001"
"0","0","3005","-42","30052","1","-20","0","1","1","30051","0","1","0","40001"
"0","0","3006","-42","30062","1","-20","0","1","5","30061","0","1","0","40001"
"0","0","3007","0","30072","1","40","0","1","1","30071","0","1","0","40001"
"0","0","3008","0","30082","1","40","0","1","5","30081","0","1","0","40001"
"0","0","3009","0","30092","1","40","0","1","6","30091","0","1","0","40001"
"0","0","4001","0","40012","1","0","0","2","1","40011","0","1","0","40001"
"0","0","4002","0","40022","1","0","0","2","5","40021","0","1","0","40001"
"0","0","4005","0","40052","1","0","0","2","1","40051","0","1","0","40001"
"0","0","4006","0","40062","1","0","0","2","5","40061","0","1","0","40001"
"0","0","4007","0","40072","2","0","0","2","6","40071","0","1","0","40001"
"0","0","4009","0","40092","2","0","0","2","6","40091","0","1","0","40004"
"0","0","4010","0","40102","1","0","0","2","1","40101","0","1","0","40004"
"0","0","4011","0","40112","1","0","0","2","5","40111","0","1","0","40004"
"0","0","4012","0","40122","1","0","0","2","6","40121","0","1","0","40001"
"0","0","4013","0","40132","1","0","0","2","1","40131","0","1","0","40004"
"0","0","4014","0","40142","1","0","0","2","5","40141","0","1","0","40004"
"0","0","4015","0","40152","1","0","0","2","6","40151","0","1","0","40001"
"0","0","4016","0","40162","1","0","0","2","1","40161","0","1","0","40004"
"0","0","4017","0","40172","1","0","0","2","5","40171","0","1","0","40004"
"0","0","4018","0","40182","1","0","0","2","6","40181","0","1","0","40001"
