e144ebe7317eb67dca8c9ed4e66201e7d14114538b66a4915d55c9b3ecbf1080,bb09d4f7ea98cb7240aa3e65555ae390390bed6be89a876af373abc2c23f0b69,a58969946c59a35e63eeee91d75a34d6e1be550b592a1ebc895fb19e9920f89e,18681a8007679fa208d944463273b9542ed68463ffad387a77ba97ab740477c7,fe2f4f17168a52ce7170822908379a631d3bab3124f5b9bced49d563b123bad1,450fb158055880da33ee4adb5e5b28780b14b37b06475fb1f16bc453824267d2,7414925cd7bdf9c428fb6a180a518d091e0749d482d4fa9c064e6411b9ddc381,0f696c6172be10a42602d69c4d3b590e960de5f9b628370c8a8af3e778ba5467,be0cf8b04b539fce2a711a2590c4a4ed3fecd9fd5c22de686f0d26e567fdd5da,1534c97be318969785f6d57fc89799b2b02e1e0c2eb6b163827c04a27da8f63b,74a01981a7ba6f830ce1ab966ca47d5f3f7c1ed58b89590cea0b03a2aabcd61c,946be5968a10d0efeeb79c7b23b43a7293f2fd34b59086a05e48eee5a0ff4a1f,359c1f46fc91f5240eca60f3c90bafce9ea0d65fae84678d16528daec179671e,4cb9cdcf36c093c6220da662606a5e7b99bc0c254fd81a50eb9a4c810fc98faf,df323f84b024eeaac91ecc0f4422eb1f0857d2292cd2037c12cdd41aa5757871,bf3ce22cf1e155018f71a4107193d390b20704a00e4428708f2c9dbfc7da75e7,6e591ba7282e3c118a03c5679e04a2c258b7f2c496c691a0571acfee30ff795a,082633d8599f39a2b319fa11e5894399a49e5873e7dc36f61d947c66b538eb33,0f6c7ac7dce9ac2870c1a3a4f54898122b8abcd113bb8aa3d2f638d3fc0d29f8,97c2c55977d272fcadb4b50458c0323a151a8cfe31c7b937a3be6f9bff719654,ac7bef7a0dbcf1af3d7c7795991952c8ed54eac50738f3bedf222739deb1ccbb,36416c6f9ce621d9a6bb7bbe99a72c222f0d5a9a7876d77e6b47cf0b72c18fae,94af46cdbb79e81a4fef712b87607bd4f8367c145fde8a1f9148910d6173a958,a8483c1537a62e9af0337fe26f055eaa5ecb7040ecc512a76a9c03e69fef2035,15176039901bdcbef30de7976b2f73d1e2e3a9a38645663bb0e06d79b1930d95,bb4544c4a9fef1e1a835cd5068bbce12094bff5b7344ff01f31d711dffe82211
"0","bgm_MC131","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92407010","-190","-379","100198","bgm_MC131","0.8","0","0","0.8","100198","0"
"0","bgm_MC131","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92407020","-190","-379","100198","bgm_MC131","0.8","0","0","0.8","100198","0"
"0","bgm_MC131","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92407030","-190","-379","100198","bgm_MC131","0.8","0","0","0.8","100198","0"
"0","bgm_MC132","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92408010","-190","-379","101822","bgm_MC132","0.8","0","0","0.8","101822","0"
"0","bgm_MC132","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92408020","-190","-379","101822","bgm_MC132","0.8","0","0","0.8","101822","0"
"0","bgm_MC132","-1","70001","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92408030","-190","-379","101822","bgm_MC132","0.8","0","0","0.8","101822","0"
"0","bgm_MC135","-1","70003","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92409010","-190","-379","101191","bgm_MC135","0.8","0","0","0.8","101191","0"
"0","bgm_MC135","-1","70003","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92409020","-190","-379","101191","bgm_MC135","0.8","0","0","0.8","101191","0"
"0","bgm_MC135","-1","70003","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92409030","-190","-379","101191","bgm_MC135","0.8","0","0","0.8","101191","0"
"0","bgm_MC134","-1","70004","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92410010","-190","-379","103013","bgm_MC134","0.8","0","0","0.8","103013","0"
"0","bgm_MC134","-1","70004","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92410020","-190","-379","103013","bgm_MC134","0.8","0","0","0.8","103013","0"
"0","bgm_MC134","-1","70004","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92410030","-190","-379","103013","bgm_MC134","0.8","0","0","0.8","103013","0"
"0","bgm_MC131","-1","70005","25021","0","0","0","0.8","0","377","188","0.8","0.8","99010","92411010","-190","-379","100198","bgm_MC131","0.8","0","0","0.8","100198","0"
