97ae67096e16a6591f696aa40c0aee238b32cd4309e3502e4661a3787fb05de1,0a4b80bfc8815f9faef83898829d644b7bbacfbd2d1dcea3db99c71af1992f7e,e9c54259b1831796867afefffd6a78183e2d9f8ff06add313b5eaddcdf3f01d8,ec6ce706d375072313db06f6f410de06c02a008e7dcead797333d6c45b0d1fe8,f9c2e24d7a4a1cfacca835c308c0ef6adb7532dbb588fdd9cc3bc0f8de74ce5f,b0a8b7dcf4c2042b22e50147044413a2bbb09a0f4f3b18d6e8849b4df36e6805
"118001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","1"
"118001","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","1013206","2024/04/01 16:00:00","3002","2"
"118001","戰鬥開始90秒內，大幅度提升TP上升。","1013206","2024/04/01 16:00:00","3010","3"
"105801","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","4"
"105801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013206","2024/04/01 16:00:00","3004","5"
"105801","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","1013206","2024/04/01 16:00:00","3005","6"
"107501","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","7"
"107501","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","1013206","2024/04/01 16:00:00","3002","8"
"107501","戰鬥開始90秒內，大幅度提升TP上升。","1013206","2024/04/01 16:00:00","3010","9"
"111801","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","10"
"111801","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206","2024/04/01 16:00:00","3004","11"
"121001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","13"
"121001","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206","2024/04/01 16:00:00","3004","14"
"180401","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206","2024/04/01 16:00:00","3001","16"
"180401","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013206","2024/04/01 16:00:00","3004","17"
"180401","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","1013206","2024/04/01 16:00:00","3005","18"
"127901","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","1013206","2024/04/01 16:00:00","3003","19"
"127901","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206","2024/04/01 16:00:00","3004","20"
"106601","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013406","2024/05/01 16:00:00","3001","21"
"106601","バトル開始後90秒間物理/魔法バリア\n展開","1013406","2024/05/01 16:00:00","3012","22"
"101401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3003","23"
"101401","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","24"
"101201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3003","25"
"101201","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","26"
"116501","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3001","27"
"116501","バトル開始後90秒間物理/魔法バリア\n展開","1013406","2024/05/01 16:00:00","3012","28"
"121601","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3001","29"
"121601","バトル開始後90秒間物理/魔法バリア\n展開","1013406","2024/05/01 16:00:00","3012","30"
"128301","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3001","31"
"128301","バトル開始後90秒間物理/魔法バリア\n展開","1013406","2024/05/01 16:00:00","3012","32"
"112201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3003","33"
"112201","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","34"
"115701","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3003","35"
"115701","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","36"
"113401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/01 16:00:00","3003","37"
"113401","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","38"
"128401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406","2024/05/05 16:00:00","3003","39"
"128401","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406","2024/05/05 16:00:00","3010","40"
"180701","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013406","2024/05/01 16:00:00","3001","41"
"180701","戰鬥開始90秒內，大幅度提升TP上升。","1013406","2024/05/01 16:00:00","3010","42"
"100101","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","43"
"100101","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","44"
"100101","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","45"
"100201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013606","2024/06/01 16:00:00","3003","46"
"100201","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","47"
"100201","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","48"
"100201","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","49"
"100301","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","50"
"100301","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","51"
"100301","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","52"
"108701","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","53"
"108701","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","54"
"108701","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","55"
"180101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","56"
"180101","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","57"
"122401","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","58"
"122401","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","59"
"128701","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/17 16:00:00","3001","60"
"128701","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/17 16:00:00","3010","61"
"108801","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013606","2024/06/01 16:00:00","3003","62"
"108801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","63"
"108801","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","64"
"108801","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","65"
"115601","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","66"
"115601","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","67"
"180201","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","68"
"180201","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","69"
"122601","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","70"
"122601","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","71"
"128901","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","72"
"128901","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606","2024/06/01 16:00:00","3010","73"
"108901","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","74"
"108901","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","1013606","2024/06/01 16:00:00","3002","75"
"108901","攻擊力吸收無效","1013606","2024/06/01 16:00:00","3013","76"
"114001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","77"
"114001","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","78"
"180301","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","79"
"180301","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","80"
"122501","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","81"
"122501","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","82"
"128801","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606","2024/06/01 16:00:00","3001","83"
"128801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606","2024/06/01 16:00:00","3004","84"
"100101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013706","2024/06/08 16:00:00","3001","85"
"100101","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","1013706","2024/06/08 16:00:00","3002","86"
"100201","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","1013706","2024/06/08 16:00:00","3003","87"
"100201","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","1013706","2024/06/08 16:00:00","3002","88"
"100301","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013706","2024/06/08 16:00:00","3001","89"
"100301","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","1013706","2024/06/08 16:00:00","3002","90"
"108701","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013706","2024/06/08 16:00:00","3001","91"
"108701","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","1013706","2024/06/08 16:00:00","3002","92"
"180101","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013706","2024/06/08 16:00:00","3001","93"
