69aec0c591b78dfacc136d5475fc06ce2cca2e7fcdd5c0402b6606be89e403ab,7db8b19c3e49f6a34138584a588b867579135ed14360bd9abcc1752a3a54b492,8df1fd54929d1a47f03b859d5561e9e023463997942afb8abe82c04d2c89c8a2,f5be549b4755ccdaedf33772bee660864762ca20b06ebed6c2165357bb18c5c2,f51465341dbf02b59b4f21553ea5bf9a0b451ec45eadc2538d16f66ca182fcf5,6023ab2ba89b8d4c47456401a52d9a14bc45c82831eaf5f815e887b412f2e027,5f3fcd71532ae4fee012072ca95b7e124fbc2e74ca86b63d1a36c19ef5fe027d,fa0a2feec9fad3afbde371dd853fe9c7a7a3929a75c3b1b3891b6236902b03ab,79a79405817cdbd31a2f04c13b8c9b8ed2a1072cf23342f62c405b83164acd5b,f9f2509ca184ea8a7fba0da140a9d1ac09151e5bb38ab4d53202d7fd44732a66,8215dc52e11f1c352c17f0aa136fc3a8c7ad5c1782fdcd688cf372de9342acdf,95c13a72ec45884b36324f0199ec901b3217e99e49a4513967dcad978b818981,58dc2fe0fe01c4becbb4a2492af1646c4b20961a640ebab8f6644289e8a57073,ead0f6999a64663d27eea81ec5b43cee6b177daad9795c2f2815d5a421a64bbe,80fbb56a28d0cb854076f0a1d148ad88a1ec0c6fd2f9dd80c70af7577a4de3d5,d9f1fa505426349883d71ec4c3c9787aada6a54afec0b1a7c883b8a05742d993,2a15a94924b769e629b2888d0f1106d05d4c18f2c1a82f97bba24633208843e9,efef0dbd150bc7e3203f81287e37a51555a2907d8602e0ecabb4d18160831ab4,4d39914288e0a1a2e63efa51b2a2835717f8bd45caff23e1632a2460a3b6a3c4
"65","0","0","0","0","100101","0","0","0","2","75","1","0","0","1","16","0","0","10"
"185","0","0","0","0","100101","0","0","0","3","125","3","0","0","2","68","0","0","30"
"420","0","0","0","0","100101","0","0","0","4","260","7","3","0","4","158","0","0","60"
"810","0","0","0","0","100101","0","0","0","5","420","12","7","0","7","293","0","0","100"
"1340","0","0","0","0","100101","0","0","0","6","630","17","11","3","11","486","0","0","130"
"1660","0","0","0","0","100101","0","0","0","7","1235","26","17","6","15","731","0","0","155"
"2290","10","0","0","0","100101","0","0","0","8","1795","35","24","9","15","1030","0","9","180"
"2540","40","0","0","0","100101","0","0","5","9","1795","46","27","9","16","1459","0","23","205"
"2740","100","10","0","0","100101","0","0","10","10","1795","51","35","9","16","1941","0","37","205"
"3100","158","20","0","0","100101","0","0","15","11","1795","55","44","9","16","2439","3","37","205"
"3470","198","20","0","0","100101","0","0","15","12","2045","66","46","9","18","2871","36","37","205"
"3720","251","20","0","0","100101","0","0","15","13","2045","79","54","9","18","3345","56","37","230"
"3880","328","20","0","0","100101","0","0","15","14","2045","97","68","9","20","3840","56","37","255"
"3880","448","20","0","0","100101","0","0","15","15","2045","111","82","9","20","4412","56","37","255"
"3880","586","20","0","0","100101","0","0","15","16","2045","124","94","9","20","5015","59","37","255"
"3930","711","20","0","0","100101","0","0","15","17","2045","142","103","9","20","5656","62","37","255"
"3980","856","20","0","0","100101","0","0","15","18","2045","157","119","9","20","6351","62","37","255"
"4075","984","20","0","0","100101","0","0","15","19","2045","173","135","9","20","7154","62","37","255"
"4270","1065","20","0","0","100101","0","0","15","20","2045","203","147","9","20","8017","62","37","255"
"4580","1160","20","0","0","100101","0","0","15","21","2045","232","157","9","20","8971","62","37","255"
"4790","1262","20","0","0","100101","0","0","15","22","2045","259","176","9","20","10078","62","37","255"
