0a48d6fc9c3aee58d4176bbb4ed9c667ee7307ee13d04d7c734c35c5cd534d2b,b410e22fc0d43c129741ae9fd387854327e1de47763d7cb48797bd57ee13a766,189b503aad23fd0c4886de076b3210974733f8ecc103507abf7d14aa81ebfa4d,3bf1fba8a90e7556543dc61f544db44a39a235adcde05fa84ef5afdd95aa69c7,22fd712c13e7605b4351cf1b5ffe6f710a8983058587c3144c69b772f478e9c2,7c55147dcb2e80e6a3497fb0dbf3b965e36f2358684230ccce09acff4be512f6,a5b6d3f570f97f115ece0cf69994695f3e898bfbda479675ca336b6b3c0cae61,72b05f3e8988f5a1376969097e894b26682e79d34eec4cabc24ee9f2bc09806a,b349901fd80c1cb4f209ff4931db9fe1ed55ef8e3c773357ad458fe9be33e894,2341cf5bdcb69c851f62df75f7676fff48ff3b082d9624afb687bd1ec645bf75,e1cb17667c74ea9bb9d4ce364ba4df925f5510bd25488041245268a6220ebb31
"10101001","11001010","11","0","1","0","10101","10101001","1","通過主線冒險（NORMAL） 1-10","0"
"10101002","105801","1","0","1","0","10101","10101002","10","將貪吃佩可升到Lv10","0"
"10101003","105801","2","0","1","99017","10101","10101003","2","將貪吃佩可升到RANK2","0"
"10101004","2001006","16","0","1","0","10101","10101004","1","閱覽主線劇情第1章全部","0"
"10101005","0","9","0","1","0","10101","10101005","50","提升角色的技能等級共50次","0"
"10101006","11002006","11","0","1","31059","10101","10101006","1","通過主線冒險（NORMAL） 2-6","99010"
"10101007","0","10","0","1","0","10101","10101007","1","進行1次公主騎士強化","0"
"10101008","21002","12","0","1","0","10101","10101008","1","完成1次經驗值冒險","0"
"10101009","21001","12","0","1","0","10101","10101009","1","完成1次瑪那冒險","0"
"10101010","11002012","11","0","1","0","10101","10101010","1","通過主線冒險（NORMAL） 2-12","0"
"10101012","105801","2","0","1","99017","10101","10101012","3","將貪吃佩可升到RANK3","0"
"10101013","105801","1","0","1","0","10101","10101013","20","將貪吃佩可升到Lv20","0"
"10101014","11003012","11","0","1","0","10101","10101014","1","通過主線冒險（NORMAL） 3-12","0"
"10101015","2002006","16","0","1","0","10101","10101015","1","閱覽主線劇情第2章全部","0"
"10101016","11004010","11","0","1","99010","10101","10101016","1","通過主線冒險（NORMAL） 4-10","0"
"10101017","12002002","11","0","1","0","10101","10101017","1","通過主線冒險（HARD） 2-2","0"
"10101018","1058","3","0","1","0","10101","10101018","4","將與貪吃佩可的羈絆Rank升到4","0"
"10101019","105801","4","0","1","0","10101","10101019","3","將貪吃佩可升到★3","0"
"10101020","11005013","11","0","1","0","10101","10101020","1","通過主線冒險（NORMAL） 5-13","0"
"10101021","2003010","16","0","1","0","10101","10101021","1","閱覽主線劇情第3章全部","0"
"10101022","12004001","11","0","1","0","10101","10101022","1","通過主線冒險（HARD） 4-1","0"
"10101023","105901","4","0","1","0","10101","10101023","3","將可可蘿升到★3","0"
"10101024","11006014","11","0","1","0","10101","10101024","1","通過主線冒險（NORMAL） 6-14","0"
"10101025","11007014","11","0","1","99010","10101","10101025","1","通過主線冒險（NORMAL） 7-14","0"
"10101026","1010101","17","0","1","0","10101","10101026","24","將主線劇情第1部step1任務全部通關","0"
"10102001","11009002","11","0","1","99010","10102","10102001","1","通過主線冒險（NORMAL） 9-2","0"
"10102002","2004010","16","0","1","0","10102","10102002","1","閱覽主線劇情第4章全部","0"
"10102003","18001","13","0","1","0","10102","10102003","1","通過1次聖跡調查冒險","0"
"10102004","105801","5","0","1","0","10102","10102004","1","裝備貪吃佩可的專用裝備１","0"
"10102005","105901","5","0","1","0","10102","10102005","1","裝備可可蘿的專用裝備１","0"
"10102006","12006001","11","0","1","0","10102","10102006","1","通過主線冒險（HARD） 6-1","0"
"10102007","100201","4","0","1","0","10102","10102007","3","將優衣升到★3","0"
"10102008","11009015","11","0","1","31058","10102","10102008","1","通過主線冒險（NORMAL） 9-15","99010"
"10102009","105801","4","0","1","0","10102","10102009","4","將貪吃佩可升到★4","0"
"10102010","11010017","11","0","1","99010","10102","10102010","1","通過主線冒險（NORMAL） 10-17","99018"
"10102011","2005010","16","0","1","0","10102","10102011","1","閱覽主線劇情第5章全部","0"
"10102012","11011017","11","0","1","99010","10102","10102012","1","通過主線冒險（NORMAL） 11-17","99018"
"10102013","1010201","17","0","1","0","10102","10102013","12","將主線劇情第1部step2任務全部通關","0"
"10103001","12008001","11","0","1","0","10103","10103001","1","通過主線冒險（HARD） 8-1","0"
"10103002","100201","4","0","1","0","10103","10103002","4","將優衣升到★4","0"
"10103003","2006099","16","0","1","0","10103","10103003","1","閱覽主線劇情第6章全部","0"
"10103004","11012017","11","0","1","31059","10103","10103004","1","通過主線冒險（NORMAL） 12-17","99010"
"10103005","105901","4","0","1","0","10103","10103005","4","將可可蘿升到★4","0"
"10103006","11013017","11","0","1","0","10103","10103006","1","通過主線冒險（NORMAL） 13-17","0"
"10103007","11014014","11","0","1","0","10103","10103007","1","通過主線冒險（NORMAL） 14-14","0"
"10103008","101001","4","0","1","0","10103","10103008","4","將真步升到★4","0"
"10103009","2007099","16","0","1","0","10103","10103009","1","閱覽主線劇情第7章全部","0"
"10103010","11015014","11","0","1","0","10103","10103010","1","通過主線冒險（NORMAL） 15-14","0"
"10103011","102801","4","0","1","0","10103","10103011","4","將咲戀升到★4","0"
"10103012","1010301","17","0","1","0","10103","10103012","11","將主線劇情第1部step3任務全部通關","0"
"10104001","11016014","11","0","1","0","10104","10104001","1","通過主線冒險（NORMAL） 16-14","0"
"10104002","104301","4","0","1","0","10104","10104002","4","將真琴升到★4","0"
"10104003","2008099","16","0","1","0","10104","10104003","1","閱覽主線劇情第8章全部","0"
"10104004","11017014","11","0","1","0","10104","10104004","1","通過主線冒險（NORMAL） 17-14","0"
"10104005","1058","3","0","1","0","10104","10104005","8","將與貪吃佩可的羈絆Rank升到8","0"
"10104006","105801","4","0","1","0","10104","10104006","5","將貪吃佩可升到★5","0"
"10104007","11018014","11","0","1","0","10104","10104007","1","通過主線冒險（NORMAL） 18-14","0"
"10104008","105901","4","0","1","0","10104","10104008","5","將可可蘿升到★5","0"
"10104009","2009099","16","0","1","0","10104","10104009","1","閱覽主線劇情第9章全部","0"
"10104010","19001","13","0","1","0","10104","10104010","1","通過1次神殿調查冒險","0"
"10104011","12018003","11","0","1","0","10104","10104011","1","通過主線冒險（HARD） 18-3","0"
"10104012","13018001","11","0","1","0","10104","10104012","1","通過主線冒險（VERY HARD） 18-1","0"
"10104013","105801","4","0","1","0","10104","10104013","6","將貪吃佩可升到★6","0"
"10104014","1010401","17","0","1","0","10104","10104014","13","將主線劇情第1部step4任務全部通關","0"
"10105001","11019014","11","0","1","0","10105","10105001","1","通過主線冒險（NORMAL） 19-14","0"
"10105002","104901","4","0","1","0","10105","10105002","4","將靜流升到★4","0"
"10105003","11020014","11","0","1","0","10105","10105003","1","通過主線冒險（NORMAL） 20-14","0"
"10105004","2010099","16","0","1","0","10105","10105004","1","閱覽主線劇情第10章全部","0"
"10105005","11021014","11","0","1","0","10105","10105005","1","通過主線冒險（NORMAL） 21-14","0"
"10105006","100201","4","0","1","0","10105","10105006","5","將優衣升到★5","0"
"10105007","11022014","11","0","1","0","10105","10105007","1","通過主線冒險（NORMAL） 22-14","0"
"10105008","2011099","16","0","1","0","10105","10105008","1","閱覽主線劇情第11章全部","0"
"10105009","13018002","11","0","1","0","10105","10105009","1","通過主線冒險（VERY HARD） 18-2","0"
"10105010","105901","4","0","1","0","10105","10105010","6","將可可蘿升到★6","0"
"10105011","1010501","17","0","1","0","10105","10105011","10","將主線劇情第1部step5任務全部通關","0"
"10106001","11023014","11","0","1","0","10106","10106001","1","通過主線冒險（NORMAL） 23-14","0"
"10106002","11024014","11","0","1","0","10106","10106002","1","通過主線冒險（NORMAL） 24-14","0"
"10106003","2012099","16","0","1","0","10106","10106003","1","閱覽主線劇情第12章全部","0"
"10106004","13018003","11","0","1","0","10106","10106004","1","通過主線冒險（VERY HARD） 18-3","0"
"10106005","106001","4","0","1","0","10106","10106005","6","將凱留升到★6","0"
"10106006","11025014","11","0","1","0","10106","10106006","1","通過主線冒險（NORMAL） 25-14","0"
"10106007","101101","4","0","1","0","10106","10106007","4","將璃乃升到★4","0"
"10106008","11026014","11","0","1","0","10106","10106008","1","通過主線冒險（NORMAL） 26-14","0"
"10106009","2013099","16","0","1","0","10106","10106009","1","閱覽主線劇情第13章全部","0"
"10106010","1010601","17","0","1","0","10106","10106010","9","將主線劇情第1部step6任務全部通關","0"
"10107001","11027014","11","0","1","0","10107","10107001","1","通過主線冒險（NORMAL） 27-14","0"
"10107002","1","34","0","1","0","10107","10107002","1","進行任一角色的角色Lv突破極限","0"
"10107003","11028014","11","0","1","0","10107","10107003","1","通過主線冒險（NORMAL） 28-14","0"
"10107004","2014099","16","0","1","0","10107","10107004","1","閱覽主線劇情第14章全部","0"
"10107005","11029014","11","0","1","0","10107","10107005","1","通過主線冒險（NORMAL） 29-14","0"
"10107006","11030014","11","0","1","0","10107","10107006","1","通過主線冒險（NORMAL） 30-14","0"
"10107007","9000001","15","0","1","0","10107","10107007","1","通關王都終末決戰","0"
"10107008","2015009","16","0","1","0","10107","10107008","1","閱覽主線劇情第15章全部","0"
"10201001","11031014","11","0","1","0","10201","10201001","1","通過主線冒險（NORMAL） 31-14","0"
"10201002","11032014","11","0","1","0","10201","10201002","1","通過主線冒險（NORMAL） 32-14","0"
"10201003","2101014","16","0","1","0","10201","10201003","1","閱覽主線劇情第2部第1章全部","0"
"10201004","11033014","11","0","1","0","10201","10201004","1","通過主線冒險（NORMAL） 33-14","0"
"10201005","11034014","11","0","1","0","10201","10201005","1","通過主線冒險（NORMAL） 34-14","0"
"10201006","2102099","16","0","1","0","10201","10201006","1","閱覽主線劇情第2部第2章全部","0"
"10201007","11035014","11","0","1","0","10201","10201007","1","通過主線冒險（NORMAL） 35-14","0"
"10201008","1020101","17","0","1","0","10201","10201008","7","將主線劇情第2部step1任務全部通關","0"
"10202001","11036014","11","0","1","0","10202","10202001","1","通過主線冒險（NORMAL） 36-14","0"
"10202002","11037014","11","0","1","0","10202","10202002","1","通過主線冒險（NORMAL） 37-14","0"
"10202003","2103099","16","0","1","0","10202","10202003","1","閱覽主線劇情第2部第3章全部","0"
"10202004","106401","5","0","1","0","10202","10202004","1","裝備雪菲的專用裝備１","0"
"10202005","11038014","11","0","1","0","10202","10202005","1","通過主線冒險（NORMAL） 38-14","0"
"10202006","11039014","11","0","1","0","10202","10202006","1","通過主線冒險（NORMAL）39-14","0"
"10202007","2104099","16","0","1","0","10202","10202007","1","閱覽主線劇情第2部第4章全部","0"
"10202008","11040014","11","0","1","0","10202","10202008","1","通過主線冒險（NORMAL）40-14","0"
"10202009","1020201","17","0","1","0","10202","10202009","8","將主線劇情第2部step2任務全部通關","0"
"10203001","11041014","11","0","1","0","10203","10203001","1","通過主線冒險（NORMAL）41-14","0"
"10203002","2105099","16","0","1","0","10203","10203002","1","閱覽主線劇情第2部第5章全部","0"
"10203003","11042014","11","0","1","0","10203","10203003","1","通過主線冒險（NORMAL）42-14","0"
"10203004","11043014","11","0","1","0","10203","10203004","1","通過主線冒險（NORMAL）43-14","0"
"10203005","2106099","16","0","1","0","10203","10203005","1","閱覽主線劇情第2部第6章全部","0"
"10203006","11044014","11","0","1","0","10203","10203006","1","通過主線冒險（NORMAL）44-14","0"
"10203007","11045014","11","0","1","0","10203","10203007","1","通過主線冒險（NORMAL）45-14","0"
"10203008","2107099","16","0","1","0","10203","10203008","1","閱覽主線劇情第2部第7章全部","0"
"10203009","1020301","17","0","1","0","10203","10203009","8","將主線劇情第2部step3任務全部通關","0"
"10204001","11046014","11","0","1","0","10204","10204001","1","通過主線冒險（NORMAL）46-14","0"
"10204002","11047014","11","0","1","0","10204","10204002","1","通過主線冒險（NORMAL）47-14","0"
"10204003","2108099","16","0","1","0","10204","10204003","1","閱覽主線劇情第2部第8章全部","0"
"10204004","106401","4","0","1","0","10204","10204004","4","將雪菲升到★4","0"
"10204005","11048014","11","0","1","0","10204","10204005","1","通過主線冒險（NORMAL）48-14","0"
"10204006","11049014","11","0","1","0","10204","10204006","1","通過主線冒險（NORMAL）49-14","0"
"10204007","11050014","11","0","1","0","10204","10204007","1","通過主線冒險（NORMAL）50-14","0"
"10204008","2109099","16","0","1","0","10204","10204008","1","閱覽主線劇情第2部第9章全部","0"
"10204009","106401","4","0","1","0","10204","10204009","5","將雪菲升到★5","0"
"10204010","1020401","17","0","1","0","10204","10204010","9","將主線劇情第2部step4任務全部通關","0"
"10205001","11051014","11","0","1","0","10205","10205001","1","通過主線冒險（NORMAL）51-14","0"
"10205002","11052014","11","0","1","0","10205","10205002","1","通過主線冒險（NORMAL）52-14","0"
"10205003","2110099","16","0","1","0","10205","10205003","1","閱覽主線劇情第2部第10章全部","0"
"10205004","11053014","11","0","1","0","10205","10205004","1","通過主線冒險（NORMAL）53-14","0"
"10205005","11054014","11","0","1","0","10205","10205005","1","通過主線冒險（NORMAL）54-14","0"
"10205006","2111099","16","0","1","0","10205","10205006","1","閱覽主線劇情第2部第11章全部","0"
"10205007","11055014","11","0","1","0","10205","10205007","1","通過主線冒險（NORMAL）55-14","0"
"10205008","11056014","11","0","1","0","10205","10205008","1","通過主線冒險（NORMAL）56-14","0"
"10205009","2112099","16","0","1","0","10205","10205009","1","閱覽主線劇情第2部第12章全部","0"
"10205010","11057014","11","0","1","0","10205","10205010","1","通過主線冒險（NORMAL）57-14","0"
"10205011","11058014","11","0","1","0","10205","10205011","1","通過主線冒險（NORMAL）58-14","0"
"10205012","2113099","16","0","1","0","10205","10205012","1","閱覽主線劇情第2部第13章全部","0"
"10205013","1020501","17","0","1","0","10205","10205013","12","將主線劇情第2部step5任務全部通關","0"
