14a96bd7a0ee04c4e710b5d27b09dcbb62390d15bc157e43104c88451720e034,44c07ee3fb9a74674244f765e5b4b5dcb10d76690dd57cd6f68040795d8134a9,3d4148bd3e867a68f5403484b56ba613e852c42120f5026dd00e5d0d7aa0925e,c0d59591213c156ca2272fd0381d29ffe0be82a0822c93d626247c5768173d21,e4a86d523743490698c67dc6eb2fdd959e6d8ce9e8331ae0b739761183f844e8,75ea9b4f955029ee3283b79f6f69900357dbc6db4b22e0d0ebb2b36a656a2f70,d2f8e10562bd49db29a6bd36cfdb9282b7742d2ef92578721785b46a3c5b6e40,42c3f9d01b9db213e778848f753658f590c0182a0896e266df100893182f1f71,af0c310502be08ac1765cf5cdf182fd8adf162c35247faf76a05a20911c8f283,d0641b84db337a16c68d8c58b377c5e94609be9a752af07c2b016add79aeab02
"1","0","0","5038600","20023105","11","","","1","1"
"1","0","0","0","20023105","12","理應繼承至次世代的新語言","高中部1年級　琪愛兒","2","0"
"1","0","0","0","20023107","13","我超級不會寫作文","高中部2年級　克蘿依","3","0"
"1","0","0","0","20023109","14","直至飛翔為止","高中部3年級　優妮","4","0"
"2","0","0","5038601","20023111","21","","","5","2"
"2","0","0","0","20023111","22","靈光一閃了呢！","紀錄人　秋乃","6","0"
"2","0","0","0","20023112","23","組合喵！","紀錄人　珠希","7","0"
"2","0","0","0","20023113","24","我寫過這種東西嗎…？","紀錄人　優花梨","8","0"
"2","0","0","0","20023114","25","不能放任繼續這樣下去了","紀錄人　美冬","9","0"
"2","0","0","0","20023115","26","特別講座結束了","總結","10","0"
"3","0","1","5038602","20023115","31","","","11","2"
"3","0","1","0","20023115","32","開發記—考察","浪漫繼承計畫","12","0"
"3","0","2","0","20023115","33","開發記—試作機完成","彌補不足計畫","13","0"
"3","0","3","0","20023115","34","開發記—最終工程","畫龍點睛計畫","14","0"
"3","2022/05/25 16:00:00","3","5038603","20023115","35","","","15","3"
