f6cc3dcf354a3f8917021d5f9979c0f95daf0d3a6d7440745f89204219464015,1ab8b4a96e40033226a9eb97b51905f809c03c07d44c5235e1f18989deffd55b,ce9f057ad02f64660efd7185851cb69f3c9bfe913b461d570811ca68b51b656d,6219ce6711f73d15b3eed2858bb48ba234c8ff793ec15d41b7822c094e06fc70,bc06f16f7ffa5f452fd8b804fac1090d19e15563dcd22d78e4af188f72f766ae,b7a78e77fcbd82e29b1ad3ec01e1131354202573d17820f41c0508afc5d4b881
"2024/04/01 16:00:00","1","1013206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","118001"
"2024/04/01 16:00:00","2","1013206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","118001"
"2024/04/01 16:00:00","3","1013206","3010","戰鬥開始90秒內，大幅度提升TP上升。","118001"
"2024/04/01 16:00:00","4","1013206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","105801"
"2024/04/01 16:00:00","5","1013206","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","105801"
"2024/04/01 16:00:00","6","1013206","3005","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","105801"
"2024/04/01 16:00:00","7","1013206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","107501"
"2024/04/01 16:00:00","8","1013206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","107501"
"2024/04/01 16:00:00","9","1013206","3010","戰鬥開始90秒內，大幅度提升TP上升。","107501"
"2024/04/01 16:00:00","10","1013206","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","111801"
"2024/04/01 16:00:00","11","1013206","3004","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","111801"
"2024/04/01 16:00:00","13","1013206","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","121001"
"2024/04/01 16:00:00","14","1013206","3004","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","121001"
"2024/04/01 16:00:00","16","1013206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","180401"
"2024/04/01 16:00:00","17","1013206","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","180401"
"2024/04/01 16:00:00","18","1013206","3005","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","180401"
"2024/04/01 16:00:00","19","1013206","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","127901"
"2024/04/01 16:00:00","20","1013206","3004","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","127901"
"2024/05/01 16:00:00","21","1013406","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","106601"
"2024/05/01 16:00:00","22","1013406","3012","バトル開始後90秒間物理/魔法バリア\n展開","106601"
"2024/05/01 16:00:00","23","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","101401"
"2024/05/01 16:00:00","24","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","101401"
"2024/05/01 16:00:00","25","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","101201"
"2024/05/01 16:00:00","26","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","101201"
"2024/05/01 16:00:00","27","1013406","3001","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","116501"
"2024/05/01 16:00:00","28","1013406","3012","バトル開始後90秒間物理/魔法バリア\n展開","116501"
"2024/05/01 16:00:00","29","1013406","3001","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","121601"
"2024/05/01 16:00:00","30","1013406","3012","バトル開始後90秒間物理/魔法バリア\n展開","121601"
"2024/05/01 16:00:00","31","1013406","3001","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","128301"
"2024/05/01 16:00:00","32","1013406","3012","バトル開始後90秒間物理/魔法バリア\n展開","128301"
"2024/05/01 16:00:00","33","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","112201"
"2024/05/01 16:00:00","34","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","112201"
"2024/05/01 16:00:00","35","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","115701"
"2024/05/01 16:00:00","36","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","115701"
"2024/05/01 16:00:00","37","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","113401"
"2024/05/01 16:00:00","38","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","113401"
"2024/05/05 16:00:00","39","1013406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","128401"
"2024/05/05 16:00:00","40","1013406","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","128401"
"2024/05/01 16:00:00","41","1013406","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","180701"
"2024/05/01 16:00:00","42","1013406","3010","戰鬥開始90秒內，大幅度提升TP上升。","180701"
"2024/06/01 16:00:00","43","1013606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","100101"
"2024/06/01 16:00:00","44","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","100101"
"2024/06/01 16:00:00","45","1013606","3013","攻擊力吸收無效","100101"
"2024/06/01 16:00:00","46","1013606","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","100201"
"2024/06/01 16:00:00","47","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","100201"
"2024/06/01 16:00:00","48","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","100201"
"2024/06/01 16:00:00","49","1013606","3013","攻擊力吸收無效","100201"
"2024/06/01 16:00:00","50","1013606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","100301"
"2024/06/01 16:00:00","51","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","100301"
"2024/06/01 16:00:00","52","1013606","3013","攻擊力吸收無效","100301"
"2024/06/01 16:00:00","53","1013606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","108701"
"2024/06/01 16:00:00","54","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","108701"
"2024/06/01 16:00:00","55","1013606","3013","攻擊力吸收無效","108701"
"2024/06/01 16:00:00","56","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","180101"
"2024/06/01 16:00:00","57","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","180101"
"2024/06/01 16:00:00","58","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","122401"
"2024/06/01 16:00:00","59","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","122401"
"2024/06/17 16:00:00","60","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","128701"
"2024/06/17 16:00:00","61","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","128701"
"2024/06/01 16:00:00","62","1013606","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","108801"
"2024/06/01 16:00:00","63","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","108801"
"2024/06/01 16:00:00","64","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","108801"
"2024/06/01 16:00:00","65","1013606","3013","攻擊力吸收無效","108801"
"2024/06/01 16:00:00","66","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","115601"
"2024/06/01 16:00:00","67","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","115601"
"2024/06/01 16:00:00","68","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","180201"
"2024/06/01 16:00:00","69","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","180201"
"2024/06/01 16:00:00","70","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","122601"
"2024/06/01 16:00:00","71","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","122601"
"2024/06/01 16:00:00","72","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","128901"
"2024/06/01 16:00:00","73","1013606","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","128901"
"2024/06/01 16:00:00","74","1013606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","108901"
"2024/06/01 16:00:00","75","1013606","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","108901"
"2024/06/01 16:00:00","76","1013606","3013","攻擊力吸收無效","108901"
"2024/06/01 16:00:00","77","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","114001"
"2024/06/01 16:00:00","78","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","114001"
"2024/06/01 16:00:00","79","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","180301"
"2024/06/01 16:00:00","80","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","180301"
"2024/06/01 16:00:00","81","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","122501"
"2024/06/01 16:00:00","82","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","122501"
"2024/06/01 16:00:00","83","1013606","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","128801"
"2024/06/01 16:00:00","84","1013606","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","128801"
"2024/06/08 16:00:00","85","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","100101"
"2024/06/08 16:00:00","86","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","100101"
"2024/06/08 16:00:00","87","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","100201"
"2024/06/08 16:00:00","88","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","100201"
"2024/06/08 16:00:00","89","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","100301"
"2024/06/08 16:00:00","90","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","100301"
"2024/06/08 16:00:00","91","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","108701"
"2024/06/08 16:00:00","92","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","108701"
"2024/06/08 16:00:00","93","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","180101"
"2024/06/08 16:00:00","94","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","180101"
"2024/06/08 16:00:00","95","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","122401"
"2024/06/08 16:00:00","96","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","122401"
"2024/06/17 16:00:00","97","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","128701"
"2024/06/17 16:00:00","98","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","128701"
"2024/06/08 16:00:00","99","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","108801"
"2024/06/08 16:00:00","100","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","108801"
"2024/06/08 16:00:00","101","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","115601"
"2024/06/08 16:00:00","102","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","115601"
"2024/06/08 16:00:00","103","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","180201"
"2024/06/08 16:00:00","104","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","180201"
"2024/06/08 16:00:00","105","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","122601"
"2024/06/08 16:00:00","106","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","122601"
"2024/06/08 16:00:00","107","1013706","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","128901"
"2024/06/08 16:00:00","108","1013706","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力，並使無法行動效果無效。","128901"
"2024/06/08 16:00:00","109","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","108901"
"2024/06/08 16:00:00","110","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","108901"
"2024/06/08 16:00:00","111","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","114001"
"2024/06/08 16:00:00","112","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","114001"
"2024/06/08 16:00:00","113","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","180301"
"2024/06/08 16:00:00","114","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","180301"
"2024/06/08 16:00:00","115","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","122501"
"2024/06/08 16:00:00","116","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","122501"
"2024/06/08 16:00:00","117","1013706","3001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","128801"
"2024/06/08 16:00:00","118","1013706","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","128801"
"2024/07/01 16:00:00","10140001","1014006","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","110801"
"2024/07/01 16:00:00","10140002","1014006","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","110801"
"2024/07/01 16:00:00","10140003","1014006","3005","戰鬥開始90秒內，賦予持續恢復HP\n的狀態","110801"
"2024/07/01 16:00:00","10140004","1014006","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","110801"
"2024/07/01 16:00:00","10140005","1014006","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","110901"
"2024/07/01 16:00:00","10140006","1014006","3010","戰鬥開始90秒內，極大幅度提升HP\n吸收，並賦予77【切嚕】","110901"
"2024/07/01 16:00:00","10140007","1014006","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","111001"
"2024/07/01 16:00:00","10140008","1014006","3005","戰鬥開始90秒內，賦予持續恢復HP\n的狀態","111001"
"2024/07/01 16:00:00","10140009","1014006","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","111001"
"2024/07/01 16:00:00","10140010","1014006","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","116201"
"2024/07/01 16:00:00","10140011","1014006","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","116201"
"2024/07/01 16:00:00","10140012","1014006","3005","戰鬥開始90秒內，賦予持續恢復HP\n的狀態","116201"
"2024/07/01 16:00:00","10140013","1014006","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","116201"
"2024/07/01 16:00:00","10140014","1014006","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","116301"
"2024/07/01 16:00:00","10140015","1014006","3010","戰鬥開始90秒內，極大幅度提升HP\n吸收，並賦予40【切嚕】","116301"
"2024/07/01 16:00:00","10140016","1014006","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","116401"
"2024/07/01 16:00:00","10140017","1014006","3005","戰鬥開始90秒內，賦予持續恢復HP\n的狀態","116401"
"2024/07/01 16:00:00","10140018","1014006","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","116401"
"2024/07/04 16:00:00","10140019","1014006","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","129301"
"2024/07/04 16:00:00","10140020","1014006","3005","戰鬥開始90秒內，賦予持續恢復HP\n的狀態","129301"
"2024/07/04 16:00:00","10140021","1014006","3010","戰鬥開始90秒內，\n特大幅度提升TP上升。","129301"
"2024/08/01 16:00:00","10142001","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","102701"
"2024/08/01 16:00:00","10142002","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","102701"
"2024/08/01 16:00:00","10142003","1014206","3010","戰鬥開始90秒內，大幅度提升TP上升。","102701"
"2024/08/01 16:00:00","10142004","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","104301"
"2024/08/01 16:00:00","10142005","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","104301"
"2024/08/01 16:00:00","10142006","1014206","3013","賦予【狼牙的咆哮】","104301"
"2024/08/01 16:00:00","10142007","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","109001"
"2024/08/01 16:00:00","10142008","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","109001"
"2024/08/01 16:00:00","10142009","1014206","3006","戰鬥開始90秒內，極大幅度提升物理\n暴擊時的傷害","109001"
"2024/08/01 16:00:00","10142010","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","117001"
"2024/08/01 16:00:00","10142011","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","117001"
"2024/08/01 16:00:00","10142012","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","110401"
"2024/08/01 16:00:00","10142013","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","110401"
"2024/08/01 16:00:00","10142014","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","115901"
"2024/08/01 16:00:00","10142015","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","115901"
"2024/08/01 16:00:00","10142016","1014206","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","129801"
"2024/08/01 16:00:00","10142017","1014206","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","129801"
"2024/09/01 16:00:00","10144001","1014406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","103601"
"2024/09/01 16:00:00","10144002","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","103601"
"2024/09/01 16:00:00","10144003","1014406","3010","戰鬥開始90秒內，大幅度提升TP上升。","103601"
"2024/09/01 16:00:00","10144004","1014406","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","102501"
"2024/09/01 16:00:00","10144005","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","102501"
"2024/09/01 16:00:00","10144006","1014406","3014","戰鬥開始90秒內，賦予持續恢復TP\n的狀態","102501"
"2024/09/01 16:00:00","10144007","1014406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","111101"
"2024/09/01 16:00:00","10144008","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","111101"
"2024/09/01 16:00:00","10144009","1014406","3010","戰鬥開始90秒內，大幅度提升TP上升。","111101"
"2024/09/01 16:00:00","10144010","1014406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","122701"
"2024/09/01 16:00:00","10144011","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","122701"
"2024/09/01 16:00:00","10144012","1014406","3010","戰鬥開始90秒內，大幅度提升TP上升。","122701"
"2024/09/04 16:00:00","10144013","1014406","3003","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","130701"
"2024/09/04 16:00:00","10144014","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","130701"
"2024/09/04 16:00:00","10144015","1014406","3010","戰鬥開始90秒內，大幅度提升TP上升。","130701"
"2024/09/01 16:00:00","10144016","1014406","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","180801"
"2024/09/01 16:00:00","10144017","1014406","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","180801"
"2024/09/01 16:00:00","10144018","1014406","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","107701"
"2024/09/01 16:00:00","10144019","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","107701"
"2024/09/01 16:00:00","10144020","1014406","3014","戰鬥開始90秒內，賦予持續恢復TP\n的狀態","107701"
"2024/09/01 16:00:00","10144021","1014406","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","112101"
"2024/09/01 16:00:00","10144022","1014406","3004","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","112101"
"2024/09/01 16:00:00","10144023","1014406","3014","戰鬥開始90秒內，賦予持續恢復TP\n的狀態","112101"
"2024/10/01 16:00:00","10146001","1014606","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","101001"
"2024/10/01 16:00:00","10146002","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","101001"
"2024/10/01 16:00:00","10146003","1014606","3013","Boss的中毒無效","101001"
"2024/10/01 16:00:00","10146004","1014606","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","110601"
"2024/10/01 16:00:00","10146005","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","110601"
"2024/10/01 16:00:00","10146006","1014606","3010","戰鬥開始90秒內，特大幅度提升TP上升。","110601"
"2024/10/01 16:00:00","10146007","1014606","3013","Boss的中毒無效","110601"
"2024/10/01 16:00:00","10146008","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","116001"
"2024/10/01 16:00:00","10146009","1014606","3013","Boss的中毒無效","116001"
"2024/10/01 16:00:00","10146010","1014606","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","123101"
"2024/10/01 16:00:00","10146011","1014606","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","123101"
"2024/10/01 16:00:00","10146012","1014606","3010","戰鬥開始90秒內，特大幅度提升TP上升。","123101"
"2024/10/01 16:00:00","10146013","1014606","3003","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","131001"
"2024/10/01 16:00:00","10146014","1014606","3002","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","131001"
"2024/10/01 16:00:00","10146015","1014606","3010","戰鬥開始90秒內，特大幅度提升TP上升。","131001"
"2024/10/01 16:00:00","10146016","1014606","3013","Boss的中毒無效","131001"
"2024/10/01 16:00:00","10146017","1014606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","102301"
"2024/10/01 16:00:00","10146018","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","102301"
"2024/10/01 16:00:00","10146019","1014606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","106601"
"2024/10/01 16:00:00","10146020","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","106601"
"2024/10/01 16:00:00","10146021","1014606","3001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","102101"
"2024/10/01 16:00:00","10146022","1014606","3002","戰鬥開始90秒內，\n極大幅度提升物理防禦力。","102101"
