5c49f6c758a19b3a525c569c5052e7728d56a1389ce0ae8d1ab1de3ba98eb4ae,6260cd8895d5f748444dbfd408738e9e6d90491af10881cf36403c9fa0f6cfa0,90d06bfef7df69443ba51f81ef4db00cc6f70d7f30ac91a5a4fbfcab43431906,5dc3e201e00ad43e98648ff9244aa91341c0de74a14ff397d55449e495996e14,c61fb20d0b43b88fc9654e44916be37a6b108784dbe1e3ed4c388bbdae94377e,9bcd16d266e43b58f4c94f9ee6ddd4fba3b8c37b9065e5e7a51fbe1ce219dc48,97dc6eb204fb2488c62c907b7dc8e1f71a9aedfe7361f18d3cb04c04f1ad4097,12820b4235c817360a1d5013b9f76f48baab1a53b5969c8ca2990a04486f07f6,0a01d94e95f025bea8e87faf22be4baa96d0cfca559b9bded9204f3cae6ccda1,2cc64e01b2898cd215d9fc9f172f3c3517d458d8924c0b3c30e08bc71765efd5,def08c156bd70e54e642d4d5aed49802844861a337b955742c9bb59ee0993bd6,abf5f59e4e2ac9bf4f206b2676f202441fe301a5d5d4d27aa845a099de98e548,f360614da926a1c2d9e28c01fd3fb3572bdf9a546c50b0bf590bd124f334b96f,115e6a2f51044201f19e420c7235024b5a1fd6b3f7ea922fe48964e68f3e960b,53cb772067a54fb6df7a030d4f07f0a1452d2b198a0e6ddf27d18c9fa0a110da,64e8420ab358d6aeacf1bc21f0c72abd7445f5da4931faca8d3b5d005692bc9b
"收集 15 種布丁","0","0","94002","0","0","0","0","15","20000","1","0","12","1","0","0"
"收集 30 種布丁","0","0","94002","0","0","0","0","30","30000","1","0","12","2","0","0"
"收集 40 種布丁","0","0","91002","0","0","0","0","40","50","1","0","8","3","0","0"
"收集 50 種布丁","0","0","94002","0","0","0","0","50","50000","1","0","12","4","0","0"
"收集 55 種布丁","0","0","91002","0","0","0","0","55","50","1","0","8","5","0","0"
"收集 60 種布丁","0","0","94002","0","0","0","0","60","100000","1","0","12","6","0","0"
"收集所有 66 種布丁","0","100","11001164","91002","0","8","0","66","1","1","0","15","7","0","0"
"完成 25％ 布丁筆記本","0","0","94002","0","0","0","0","25","50000","2","0","12","8","0","0"
"完成 50％ 布丁筆記本","0","0","91002","0","0","0","0","50","50","2","0","8","9","0","0"
"完成 75％ 布丁筆記本","0","0","94002","0","0","0","0","75","100000","2","0","12","10","0","0"
"完成 100％ 布丁筆記本","0","1","9000100","11001165","8","15","0","100","1","2","100","16","11","91002","0"
