cd768d365918e98f7e88ed56a212e49651d2dcedfa800b92a81ed93e94b183a2,d313c4dd1e3f8b7a5036e388c62016d9385c7081b1b3d4478b4602d7d03c5471,402846457fbbcf075aaa2658421a44b9800c5a4aef01bd4629ccf178a265d596,87c7a6e31288c1a4cccd684e75dd68f0c22d3ad59a0e24aa3ee2d4051d280fc4,ca1273cd2046f01081e09f64da167c0148f8bf206f64514d545447949ae58dc2,af92ecc098b6f57e2474de527f866f9c8004b1b3a0d8334b5b50406bc82ea7d5
"10101010","1","對歐姆蛋附加<1>HP+10%","10","1","1"
"10101011","1","對歐姆蛋附加<1>HP+11%","11","1","1"
"10101012","1","對歐姆蛋附加<1>HP+12%","12","1","1"
"10101013","1","對歐姆蛋附加<1>HP+13%","13","1","1"
"10101014","1","對歐姆蛋附加<1>HP+14%","14","1","1"
"10101015","1","對歐姆蛋附加<1>HP+15%","15","1","1"
"10101016","1","對歐姆蛋附加<1>HP+16%","16","1","1"
"10101017","1","對歐姆蛋附加<1>HP+17%","17","1","1"
"10101018","1","對歐姆蛋附加<1>HP+18%","18","1","1"
"10101019","1","對歐姆蛋附加<1>HP+19%","19","1","1"
"10101020","1","對歐姆蛋附加<1>HP+20%","20","1","1"
"10101021","1","對歐姆蛋附加<1>HP+21%","21","1","1"
"10101022","1","對歐姆蛋附加<1>HP+22%","22","1","1"
"10101023","1","對歐姆蛋附加<1>HP+23%","23","1","1"
"10101024","1","對歐姆蛋附加<1>HP+24%","24","1","1"
"10101025","1","對歐姆蛋附加<1>HP+25%","25","1","1"
"10101026","1","對歐姆蛋附加<1>HP+26%","26","1","1"
"10101027","1","對歐姆蛋附加<1>HP+27%","27","1","1"
"10101028","1","對歐姆蛋附加<1>HP+28%","28","1","1"
"10101029","1","對歐姆蛋附加<1>HP+29%","29","1","1"
"10101030","1","對歐姆蛋附加<1>HP+30%","30","1","1"
"10101031","1","對歐姆蛋附加<1>HP+31%","31","1","1"
"10101032","1","對歐姆蛋附加<1>HP+32%","32","1","1"
"10101033","1","對歐姆蛋附加<1>HP+33%","33","1","1"
"10101034","1","對歐姆蛋附加<1>HP+34%","34","1","1"
"10101035","1","對歐姆蛋附加<1>HP+35%","35","1","1"
"10101036","1","對歐姆蛋附加<1>HP+36%","36","1","1"
"10101037","1","對歐姆蛋附加<1>HP+37%","37","1","1"
"10101038","1","對歐姆蛋附加<1>HP+38%","38","1","1"
"10101039","1","對歐姆蛋附加<1>HP+39%","39","1","1"
"10101040","1","對歐姆蛋附加<1>HP+40%","40","1","1"
"10101041","1","對歐姆蛋附加<1>HP+41%","41","1","1"
"10101042","1","對歐姆蛋附加<1>HP+42%","42","1","1"
"10101043","1","對歐姆蛋附加<1>HP+43%","43","1","1"
"10101044","1","對歐姆蛋附加<1>HP+44%","44","1","1"
"10101045","1","對歐姆蛋附加<1>HP+45%","45","1","1"
"10101046","1","對歐姆蛋附加<1>HP+46%","46","1","1"
"10101047","1","對歐姆蛋附加<1>HP+47%","47","1","1"
"10101048","1","對歐姆蛋附加<1>HP+48%","48","1","1"
"10101049","1","對歐姆蛋附加<1>HP+49%","49","1","1"
