456240cf1ec0f6c8e91c96002f72143b1693065cff024ef48f4ad212495b0ed0,e946d0c46f832a79e9aa6edf6980cfa87d80b1bac9dc21d341e1513498bdf226,35d2ad8d4a6d0f5fc926f620b4b4a49ca9bc245dcf9aa8a4925bb4f632d3b234,672222c232075db66d3c9f120ced64949b81a5a51b68efd28c99b817ec263e22,65c5300b2978f6833d520e9dc408e7b1cb8ba959fb3d744ecc4ec2355dda0f6b,8915b045b850e724d87cfc2fff579e3299520a98a23fe4d63a42800d649c3662,47ce55b7d2078fed7660c14f56988168e52b44885a6e19318f4c00f399c03cc9,2d3e3a4bb8e701f14ddbfc58c605509a3fd5141d437179f780134e481488384a,a3213e569755a6f4c23795fed8a16c246fbb0f7fcbfe83456cf5fbfb7414ad54,bb79b552c89b0c1ed95361f2782bd004370209bdabfadfa06786c839f06203dc,84f6970748359250d66493fd3194a63d50aa13dffc76cbe8e544102dc9e5df3b
"25011","2","8","1","25021","281001001","10","8","91002","2","31"
"25011","2","8","2","25021","281001002","10","8","91002","2","31"
"25011","2","8","3","25021","281001003","10","8","91002","2","32"
"25011","2","8","4","25021","281001004","10","8","91002","2","32"
"25011","2","8","5","25021","281001005","10","8","91002","2","33"
"25011","2","9","6","25021","281001006","10","8","91002","2","33"
"25011","2","9","7","25021","281001007","10","8","91002","2","34"
"25011","2","9","8","25021","281001008","10","8","91002","2","35"
"25011","2","9","9","25021","281001009","10","8","91002","2","35"
"25011","2","10","10","25021","281001010","30","8","91002","2","37"
"25011","2","10","11","25021","281001011","10","8","91002","2","41"
"25011","2","11","12","25021","281001012","10","8","91002","2","43"
"25011","2","11","13","25021","281001013","10","8","91002","2","46"
"25011","2","12","14","25021","281001014","10","8","91002","2","48"
"25011","2","12","15","25021","281001015","10","8","91002","2","50"
"25011","2","13","16","25021","281001016","10","8","91002","2","53"
"25011","2","14","17","25021","281001017","10","8","91002","2","55"
"25011","2","14","18","25021","281001018","10","8","91002","2","58"
"25011","2","15","19","25021","281001019","10","8","91002","2","60"
"25011","2","15","20","25021","281001020","30","8","91002","2","62"
"25011","2","16","21","25021","281001021","10","8","91002","2","68"
"25011","2","16","22","25021","281001022","10","8","91002","2","70"
"25011","2","16","23","25021","281001023","10","8","91002","2","72"
"25011","2","17","24","25021","281001024","10","8","91002","2","75"
"25011","2","18","25","25021","281001025","10","8","91002","2","77"
"25011","2","18","26","25021","281001026","10","8","91002","2","79"
"25011","2","19","27","25021","281001027","10","8","91002","2","82"
"25011","2","19","28","25021","281001028","10","8","91002","2","84"
"25011","2","19","29","25021","281001029","10","8","91002","2","86"
"25011","2","20","30","25021","281001030","30","8","91002","2","89"
"25011","2","20","31","25021","281001031","10","8","91002","2","94"
"25011","2","21","32","25021","281001032","10","8","91002","2","96"
"25011","2","21","33","25021","281001033","10","8","91002","2","99"
"25011","2","22","34","25021","281001034","10","8","91002","2","101"
"25011","2","22","35","25021","281001035","10","8","91002","2","103"
"25011","2","23","36","25021","281001036","10","8","91002","2","106"
"25011","2","23","37","25021","281001037","10","8","91002","2","108"
"25011","2","24","38","25021","281001038","10","8","91002","2","111"
"25011","2","25","39","25021","281001039","10","8","91002","2","113"
"25011","2","25","40","25021","281001040","30","8","91002","2","115"
"25011","2","26","41","25021","281001041","10","8","91002","2","121"
"25011","2","27","42","25021","281001042","10","8","91002","2","123"
"25011","2","28","43","25021","281001043","10","8","91002","2","125"
"25011","2","28","44","25021","281001044","10","8","91002","2","128"
"25011","2","29","45","25021","281001045","10","8","91002","2","130"
"25011","2","30","46","25021","281001046","10","8","91002","2","132"
"25011","2","30","47","25021","281001047","10","8","91002","2","135"
"25011","2","31","48","25021","281001048","10","8","91002","2","137"
"25011","2","31","49","25021","281001049","10","8","91002","2","139"
"25011","2","31","50","25021","281001050","30","8","91002","2","142"
