f83b7f4cbf58efa4566ff97fb0a1c18740ea08732afa6e7765b3aedf0c201492,33986758373a64650ead5cfb32e06d4c170e0ea1cd5af7d8d9f927f28252c8ee,2c7544d418fa4364bd58301e109eb988a355eec5aab222978b967dead3b85377,1b4c8cf7eb5fb6b3dac9d81aeb55a9fcb311141287e5f1b18887ca0bbb3f9bdb,0d94dc17e4a8ddcf9be3a4bedcb959eea93da86ae2e4edeed5b9d077a4ed07e2,588a4eb8a54574f09fec56f43eeabab306f9b846d77a683246a4a27b3c9d47ef,243b99671de3d7b94bcd14e7f6301be58c1e7582fc7556c37b3f6e31548ae90c
"924070100","924070101","924070104","924070103","924070102","2407001","924070105"
"924070200","924070201","924070204","924070203","924070202","2407002","924070205"
"924070300","924070301","924070304","924070303","924070302","2407003","924070305"
"924071100","924071101","0","0","0","2407004","0"
"924071200","924071201","0","0","0","2407005","0"
"924071300","924071301","0","0","0","2407006","0"
"924071400","924071401","0","0","0","2407007","0"
"924072100","924072101","0","0","0","2407008","0"
"924072200","924072201","0","0","0","2407009","0"
"924072300","924072301","0","0","0","2407010","0"
"924072400","924072401","0","0","0","2407011","0"
"924073100","924073101","0","0","0","2407012","0"
"924073200","924073201","0","0","0","2407013","0"
"924073300","924073301","0","0","0","2407014","0"
"924073400","924073401","0","0","0","2407015","0"
"924080100","924080101","924080104","924080103","924080102","2408001","924080105"
"924080200","924080201","924080204","924080203","924080202","2408002","924080205"
"924080300","924080301","924080304","924080303","924080302","2408003","924080305"
"924081100","924081101","0","0","0","2408004","0"
"924081200","924081201","0","0","0","2408005","0"
"924081300","924081301","0","0","0","2408006","0"
"924081400","924081401","0","0","0","2408007","0"
"924082100","924082101","0","0","0","2408008","0"
"924082200","924082201","0","0","0","2408009","0"
"924082300","924082301","0","0","0","2408010","0"
"924082400","924082401","0","0","0","2408011","0"
"924083100","924083101","0","0","0","2408012","0"
"924083200","924083201","0","0","0","2408013","0"
"924083300","924083301","0","0","0","2408014","0"
"924083400","924083401","0","0","0","2408015","0"
"924090100","924090101","924090104","924090103","924090102","2409001","924090105"
"924090200","924090201","924090204","924090203","924090202","2409002","924090205"
"924090300","924090301","924090304","924090303","924090302","2409003","924090305"
"924091100","924091101","0","0","0","2409004","0"
"924091200","924091201","0","0","0","2409005","0"
"924091300","924091301","0","0","0","2409006","0"
"924091400","924091401","0","0","0","2409007","0"
"924092100","924092101","0","0","0","2409008","0"
