922ba47b80dfea2194ab9ff39e93c4ecdeecd6abba47026d9a251cf9e695f438,2fc8d41dc8db3451eccd19b7c891d21c64000789ccc0da1de3eb83b9a364b4c2,a82f436ffc80ddc70848113cd33e9ca5bd4cf50a908f0461f04b9bf2d8c881a7,d10c9868b8fd7ea980b06e7d5912c73d81c7ee7edd21fefff739b967f2dc98a0,2066a2ea73a790183028bfcd8c407bbb1462d37dce1a72d1ab34a16b925b616c,3fa26532d5bf978a5316493bb3785c74b3c5150e4003c7311ee10a411cabc4fb,a6aedfe98bf027614a2de2edb1f911007e3c508eabfc9a15c77945978218e1e5
"5","初音的禮物大作戰","10001","2","10001","1","60002"
"5","小小甜心大冒險","10002","2","10002","1","60012"
"5","危險的假期！海岸邊的美食家公主","10004","2","10004","1","60032"
"5","珠希和美冬的無人島０盧幣生活","10005","2","10005","1","60042"
"5","黑鐵的亡靈","10006","2","10006","1","60052"
"5","不給布丁就搗蛋！約定的萬聖節派對","10007","2","10007","1","60062"
"5","暮光破壞者","10008","2","10008","1","60072"
"5","忘却的頌歌","10009","2","10009","1","60082"
"5","新春破曉之星大危機！","10010","2","10010","1","60092"
"5","情人節之戰！ 正中紅心的甜蜜戰鬥","10011","2","10011","1","60102"
"5","王都的名偵探　嘆息的追緝者","10012","2","10012","1","60112"
"5","在阿斯特朗盛開的雙輪之花","10013","2","10013","1","60122"
"5","復刻初音的禮物大作戰","10014","2","10014","1","60132"
"5","將軍道中記　白翼的武士","10015","2","10015","1","60142"
"5","復刻小小甜心大冒險","10016","2","10016","1","60152"
"5","Re:從零開始聚集的異世界餐桌","10017","2","10017","1","60162"
"5","復刻吸血鬼獵人 with伊莉亞","10018","2","10018","1","60172"
"5","鈴奈的彩虹舞臺！","10019","2","10019","1","60182"
"5","復刻危險的假期！海岸邊的美食家公主","10020","2","10020","1","60192"
"5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10021","2","10021","1","60202"
"5","珠希和美冬的無人島０盧幣生活","10022","2","10022","1","60212"
"5","森林的膽小鬼與神聖學院的問題兒童","10023","2","10023","1","60222"
"5","黑鐵的亡靈","10024","2","10024","1","60232"
"5","小小勇敢的萬聖節之夜！","10025","2","10025","1","60242"
"5","不給布丁就搗蛋！約定的萬聖節派對","10026","2","10026","1","60252"
"5","龍的探索者們","10027","2","10027","1","60262"
"5","暮光破壞者","10028","2","10028","1","60272"
"5","禮物大恐慌！蘭德索爾的聖誕老人們","10029","2","10029","1","60282"
"5","忘却的頌歌","10030","2","10030","1","60292"
"5","狂奔！　蘭德索爾的公會競速賽","10031","2","10031","1","60302"
"5","新春破曉之星大危機！","10032","2","10032","1","60312"
"5","魔法少女　兩人是Misty&Purely","10033","2","10033","1","60322"
"5","情人節之戰！ 正中紅心的甜蜜戰鬥","10034","2","10034","1","60332"
"5","星光公主　Re:M@STER！","10035","2","10035","1","60342"
"5","星光公主　Re:M@STER！","10036","2","10036","1","60342"
"5","王都的名偵探　嘆息的追緝者","10037","2","10037","1","60362"
"5","恩賜的財團與神聖學院的問題兒童","10038","2","10038","1","60372"
"5","在阿斯特朗盛開的雙輪之花","10039","2","10039","1","60382"
"5","牧場的四農士　貧窮農場奮鬥記","10040","2","10040","1","60392"
"5","將軍道中記　白翼的武士","10041","2","10041","1","60402"
"5","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10042","2","10042","1","60412"
"5","鈴奈的彩虹舞臺！","10043","2","10043","1","60422"
"5","七夕劍客旅情譚 天際川流夏之戀","10044","2","10044","1","60432"
"5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10045","2","10045","1","60442"
"5","美里的夏日聲援！　追夢的盛夏棒球隊","10046","2","10046","1","60452"
"5","森林的膽小鬼與神聖學院的問題兒童","10047","2","10047","1","60462"
"5","Happy・Change・Angels","10048","2","10048","1","60472"
"5","小小勇敢的萬聖節之夜！","10049","2","10049","1","60482"
"5","迴響！尖叫！萬聖鬼怪狂歡節","10050","2","10050","1","60492"
"5","龍的探索者們","10051","2","10051","1","60502"
"5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10052","2","10052","1","60512"
"5","Re:從零開始聚集的異世界餐桌","10053","2","10053","1","60522"
"6","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10054","2","10054","1","60532"
"5","禮物大恐慌！蘭德索爾的聖誕老人們","10055","2","10055","1","60542"
"6","新春美食公主！　賭上關鍵一擲的少女們","10056","2","10056","1","60552"
"5","狂奔！　蘭德索爾的公會競速賽","10057","2","10057","1","60562"
"6","羈絆相連。心相繫。","10058","2","10058","1","60572"
"6","羈絆相連。心相繫。","10059","2","10059","1","60572"
"5","魔法少女　兩人是Misty&Purely","10060","2","10060","1","60592"
"6","灰姑娘課程　璀璨的日子有著蘋果的滋味","10061","2","10061","1","60602"
"5","星光公主　Re:M@STER！","10062","2","10062","1","60612"
"5","星光公主　Re:M@STER！","10063","2","10063","1","60612"
"6","鋼鐵聖女與神聖學院的問題兒童","10064","2","10064","1","60632"
"5","恩賜的財團與神聖學院的問題兒童","10065","2","10065","1","60642"
"6","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10066","2","10066","1","60652"
"5","牧場的四農士　貧窮農場奮鬥記","10067","2","10067","1","60662"
"6","心電感應！碧與玩具朋友們","10068","2","10068","1","60672"
"5","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10069","2","10069","1","60682"
"6","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10070","2","10070","1","60692"
"5","七夕劍客旅情譚 天際川流夏之戀","10071","2","10071","1","60702"
"6","慈樂之音的夏日演唱會　Just a Moment！ ","10072","2","10072","1","60712"
"5","美里的夏日聲援！　追夢的盛夏棒球隊","10073","2","10073","1","60722"
"6","大江戶的非法病歷　Dr.深月的診療室","10074","2","10074","1","60732"
"5","Happy・Change・Angels","10075","2","10075","1","60742"
"6","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","10076","2","10076","1","60752"
"5","迴響！尖叫！萬聖鬼怪狂歡節","10077","2","10077","1","60762"
"6","魔法少女外傳　黑暗魔法★三人組！","10078","2","10078","1","60772"
"5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10079","2","10079","1","60782"
"6","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","10080","2","10080","1","60792"
"6","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10081","2","10081","1","60802"
"6","新春美食回憶　雪菲的跑腿大作戰！","10082","2","10082","1","60812"
"6","新春美食公主！　賭上關鍵一擲的少女們","10083","2","10083","1","60822"
"6","Re:member　我的心願編織出的未來","10084","2","10084","1","60832"
"6","Re:member　我的心願編織出的未來","10085","2","10085","1","60842"
"6","羈絆相連。心相繫。","10086","2","10086","1","60852"
"6","羈絆相連。心相繫。","10087","2","10087","1","60852"
"6","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女","10088","2","10088","1","60872"
"6","灰姑娘課程　璀璨的日子有著蘋果的滋味","10089","2","10089","1","60882"
"6","交出寶物！透明怪盜雙人組","10090","2","10090","1","60892"
"6","鋼鐵聖女與神聖學院的問題兒童","10091","2","10091","1","60902"
"6"," Episode of Pirate　海盜島上被詛咒的遺寶","10092","2","10092","1","60912"
"6","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10093","2","10093","1","60922"
"6","Enjoy＆Refresh！　天差地遠的女孩露營","10094","2","10094","1","60932"
