f2be95bddb5a8eddb3a59b32baa93f6031a9242adf51d035d15f18f5a3115044,2382cda98bdecfcf389565806065de3874d710a4eab1f9fa9e1a281ecebf4513,878367eabda990d5adbcf95f9a651c4758955c9378ea4b751de817474f5d92a5,79934ff31c1c33b6004b3b3ba5ab08950e73d7eee18fdde9cf3a99d7db8422eb
"【攻擊者】攻擊力提升Lv1","81101","10101","1"
"【攻擊者】攻擊力提升Lv2","81102","10101","2"
"【攻擊者】攻擊力提升Lv3","81103","10101","3"
"【攻擊者】攻擊力提升Lv4","81104","10101","4"
"【攻擊者】攻擊力提升Lv5","81105","10101","5"
"【攻擊者】攻擊力提升Lv6","81106","10101","6"
"【攻擊者】攻擊力提升Lv7","81107","10101","7"
"【攻擊者】攻擊力提升Lv8","81108","10101","8"
"【攻擊者】攻擊力提升Lv9","81109","10101","9"
"【攻擊者】攻擊力提升Lv10","81110","10101","10"
"【攻擊者】暴擊率提升Lv1","81201","10102","1"
"【攻擊者】暴擊率提升Lv2","81202","10102","2"
"【攻擊者】暴擊率提升Lv3","81203","10102","3"
"【攻擊者】暴擊率提升Lv4","81204","10102","4"
"【攻擊者】暴擊率提升Lv5","81205","10102","5"
"【攻擊者】暴擊率提升Lv6","81206","10102","6"
"【攻擊者】暴擊率提升Lv7","81207","10102","7"
"【攻擊者】暴擊率提升Lv8","81208","10102","8"
"【攻擊者】暴擊率提升Lv9","81209","10102","9"
"【攻擊者】暴擊率提升Lv10","81210","10102","10"
"【攻擊者】造成傷害提升Lv1","81301","10103","1"
"【攻擊者】造成傷害提升Lv2","81302","10103","2"
"【攻擊者】造成傷害提升Lv3","81303","10103","3"
"【攻擊者】造成傷害提升Lv4","81304","10103","4"
"【攻擊者】造成傷害提升Lv5","81305","10103","5"
"【攻擊者】造成傷害提升Lv6","81306","10103","6"
"【攻擊者】造成傷害提升Lv7","81307","10103","7"
"【攻擊者】造成傷害提升Lv8","81308","10103","8"
"【攻擊者】造成傷害提升Lv9","81309","10103","9"
"【攻擊者】造成傷害提升Lv10","81310","10103","10"
"【攻擊者】普通攻擊強化Lv1","81401","10104","1"
"【攻擊者】普通攻擊強化Lv2","81402","10104","2"
"【攻擊者】普通攻擊強化Lv3","81403","10104","3"
"【攻擊者】普通攻擊強化Lv4","81404","10104","4"
"【攻擊者】普通攻擊強化Lv5","81405","10104","5"
"【攻擊者】普通攻擊強化Lv6","81406","10104","6"
"【攻擊者】普通攻擊強化Lv7","81407","10104","7"
"【攻擊者】普通攻擊強化Lv8","81408","10104","8"
"【攻擊者】普通攻擊強化Lv9","81409","10104","9"
"【攻擊者】普通攻擊強化Lv10","81410","10104","10"
"【破防者】攻擊力提升Lv1","82101","10201","1"
"【破防者】攻擊力提升Lv2","82102","10201","2"
"【破防者】攻擊力提升Lv3","82103","10201","3"
"【破防者】攻擊力提升Lv4","82104","10201","4"
"【破防者】攻擊力提升Lv5","82105","10201","5"
"【破防者】攻擊力提升Lv6","82106","10201","6"
"【破防者】攻擊力提升Lv7","82107","10201","7"
"【破防者】攻擊力提升Lv8","82108","10201","8"
"【破防者】攻擊力提升Lv9","82109","10201","9"
"【破防者】攻擊力提升Lv10","82110","10201","10"
"【破防者】暴擊率提升Lv1","82201","10202","1"
"【破防者】暴擊率提升Lv2","82202","10202","2"
"【破防者】暴擊率提升Lv3","82203","10202","3"
"【破防者】暴擊率提升Lv4","82204","10202","4"
"【破防者】暴擊率提升Lv5","82205","10202","5"
"【破防者】暴擊率提升Lv6","82206","10202","6"
"【破防者】暴擊率提升Lv7","82207","10202","7"
"【破防者】暴擊率提升Lv8","82208","10202","8"
"【破防者】暴擊率提升Lv9","82209","10202","9"
"【破防者】暴擊率提升Lv10","82210","10202","10"
"【破防者】暴擊傷害提升Lv1","82301","10203","1"
"【破防者】暴擊傷害提升Lv2","82302","10203","2"
"【破防者】暴擊傷害提升Lv3","82303","10203","3"
"【破防者】暴擊傷害提升Lv4","82304","10203","4"
"【破防者】暴擊傷害提升Lv5","82305","10203","5"
"【破防者】暴擊傷害提升Lv6","82306","10203","6"
"【破防者】暴擊傷害提升Lv7","82307","10203","7"
"【破防者】暴擊傷害提升Lv8","82308","10203","8"
"【破防者】暴擊傷害提升Lv9","82309","10203","9"
"【破防者】暴擊傷害提升Lv10","82310","10203","10"
"【破防者】普通攻擊強化Lv1","82401","10204","1"
"【破防者】普通攻擊強化Lv2","82402","10204","2"
"【破防者】普通攻擊強化Lv3","82403","10204","3"
"【破防者】普通攻擊強化Lv4","82404","10204","4"
"【破防者】普通攻擊強化Lv5","82405","10204","5"
"【破防者】普通攻擊強化Lv6","82406","10204","6"
"【破防者】普通攻擊強化Lv7","82407","10204","7"
"【破防者】普通攻擊強化Lv8","82408","10204","8"
"【破防者】普通攻擊強化Lv9","82409","10204","9"
"【破防者】普通攻擊強化Lv10","82410","10204","10"
"【增益者】ＨＰ提升Lv1","83101","10301","1"
"【增益者】ＨＰ提升Lv2","83102","10301","2"
"【增益者】ＨＰ提升Lv3","83103","10301","3"
"【增益者】ＨＰ提升Lv4","83104","10301","4"
"【增益者】ＨＰ提升Lv5","83105","10301","5"
"【增益者】ＨＰ提升Lv6","83106","10301","6"
"【增益者】ＨＰ提升Lv7","83107","10301","7"
"【增益者】ＨＰ提升Lv8","83108","10301","8"
"【增益者】ＨＰ提升Lv9","83109","10301","9"
"【增益者】ＨＰ提升Lv10","83110","10301","10"
"【增益者】物理防禦力提升Lv1","83201","10302","1"
"【增益者】物理防禦力提升Lv2","83202","10302","2"
"【增益者】物理防禦力提升Lv3","83203","10302","3"
"【增益者】物理防禦力提升Lv4","83204","10302","4"
"【增益者】物理防禦力提升Lv5","83205","10302","5"
"【增益者】物理防禦力提升Lv6","83206","10302","6"
"【增益者】物理防禦力提升Lv7","83207","10302","7"
"【增益者】物理防禦力提升Lv8","83208","10302","8"
"【增益者】物理防禦力提升Lv9","83209","10302","9"
"【增益者】物理防禦力提升Lv10","83210","10302","10"
"【增益者】魔法防禦力提升Lv1","83301","10303","1"
"【增益者】魔法防禦力提升Lv2","83302","10303","2"
"【增益者】魔法防禦力提升Lv3","83303","10303","3"
"【增益者】魔法防禦力提升Lv4","83304","10303","4"
"【增益者】魔法防禦力提升Lv5","83305","10303","5"
"【增益者】魔法防禦力提升Lv6","83306","10303","6"
"【增益者】魔法防禦力提升Lv7","83307","10303","7"
"【增益者】魔法防禦力提升Lv8","83308","10303","8"
"【增益者】魔法防禦力提升Lv9","83309","10303","9"
"【增益者】魔法防禦力提升Lv10","83310","10303","10"
"【增益者】增益強化Lv1","83401","10304","1"
"【增益者】增益強化Lv2","83402","10304","2"
"【增益者】增益強化Lv3","83403","10304","3"
"【增益者】增益強化Lv4","83404","10304","4"
"【增益者】增益強化Lv5","83405","10304","5"
"【增益者】增益強化Lv6","83406","10304","6"
"【增益者】增益強化Lv7","83407","10304","7"
"【增益者】增益強化Lv8","83408","10304","8"
"【增益者】增益強化Lv9","83409","10304","9"
"【增益者】增益強化Lv10","83410","10304","10"
"【減益者】ＨＰ提升Lv1","84101","10401","1"
"【減益者】ＨＰ提升Lv2","84102","10401","2"
"【減益者】ＨＰ提升Lv3","84103","10401","3"
"【減益者】ＨＰ提升Lv4","84104","10401","4"
"【減益者】ＨＰ提升Lv5","84105","10401","5"
"【減益者】ＨＰ提升Lv6","84106","10401","6"
"【減益者】ＨＰ提升Lv7","84107","10401","7"
"【減益者】ＨＰ提升Lv8","84108","10401","8"
"【減益者】ＨＰ提升Lv9","84109","10401","9"
"【減益者】ＨＰ提升Lv10","84110","10401","10"
"【減益者】物理防禦力提升Lv1","84201","10402","1"
"【減益者】物理防禦力提升Lv2","84202","10402","2"
"【減益者】物理防禦力提升Lv3","84203","10402","3"
"【減益者】物理防禦力提升Lv4","84204","10402","4"
"【減益者】物理防禦力提升Lv5","84205","10402","5"
"【減益者】物理防禦力提升Lv6","84206","10402","6"
"【減益者】物理防禦力提升Lv7","84207","10402","7"
"【減益者】物理防禦力提升Lv8","84208","10402","8"
"【減益者】物理防禦力提升Lv9","84209","10402","9"
"【減益者】物理防禦力提升Lv10","84210","10402","10"
"【減益者】魔法防禦力提升Lv1","84301","10403","1"
"【減益者】魔法防禦力提升Lv2","84302","10403","2"
"【減益者】魔法防禦力提升Lv3","84303","10403","3"
"【減益者】魔法防禦力提升Lv4","84304","10403","4"
"【減益者】魔法防禦力提升Lv5","84305","10403","5"
"【減益者】魔法防禦力提升Lv6","84306","10403","6"
"【減益者】魔法防禦力提升Lv7","84307","10403","7"
"【減益者】魔法防禦力提升Lv8","84308","10403","8"
"【減益者】魔法防禦力提升Lv9","84309","10403","9"
"【減益者】魔法防禦力提升Lv10","84310","10403","10"
"【減益者】減益強化Lv1","84401","10404","1"
"【減益者】減益強化Lv2","84402","10404","2"
"【減益者】減益強化Lv3","84403","10404","3"
"【減益者】減益強化Lv4","84404","10404","4"
"【減益者】減益強化Lv5","84405","10404","5"
"【減益者】減益強化Lv6","84406","10404","6"
"【減益者】減益強化Lv7","84407","10404","7"
"【減益者】減益強化Lv8","84408","10404","8"
"【減益者】減益強化Lv9","84409","10404","9"
"【減益者】減益強化Lv10","84410","10404","10"
"【增幅者】ＨＰ提升Lv1","85101","10501","1"
"【增幅者】ＨＰ提升Lv2","85102","10501","2"
"【增幅者】ＨＰ提升Lv3","85103","10501","3"
"【增幅者】ＨＰ提升Lv4","85104","10501","4"
"【增幅者】ＨＰ提升Lv5","85105","10501","5"
"【增幅者】ＨＰ提升Lv6","85106","10501","6"
"【增幅者】ＨＰ提升Lv7","85107","10501","7"
"【增幅者】ＨＰ提升Lv8","85108","10501","8"
"【增幅者】ＨＰ提升Lv9","85109","10501","9"
"【增幅者】ＨＰ提升Lv10","85110","10501","10"
"【增幅者】物理防禦力提升Lv1","85201","10502","1"
"【增幅者】物理防禦力提升Lv2","85202","10502","2"
"【增幅者】物理防禦力提升Lv3","85203","10502","3"
"【增幅者】物理防禦力提升Lv4","85204","10502","4"
"【增幅者】物理防禦力提升Lv5","85205","10502","5"
"【增幅者】物理防禦力提升Lv6","85206","10502","6"
"【增幅者】物理防禦力提升Lv7","85207","10502","7"
"【增幅者】物理防禦力提升Lv8","85208","10502","8"
"【增幅者】物理防禦力提升Lv9","85209","10502","9"
"【增幅者】物理防禦力提升Lv10","85210","10502","10"
"【增幅者】魔法防禦力提升Lv1","85301","10503","1"
"【增幅者】魔法防禦力提升Lv2","85302","10503","2"
"【增幅者】魔法防禦力提升Lv3","85303","10503","3"
"【增幅者】魔法防禦力提升Lv4","85304","10503","4"
"【增幅者】魔法防禦力提升Lv5","85305","10503","5"
"【增幅者】魔法防禦力提升Lv6","85306","10503","6"
"【增幅者】魔法防禦力提升Lv7","85307","10503","7"
"【增幅者】魔法防禦力提升Lv8","85308","10503","8"
"【增幅者】魔法防禦力提升Lv9","85309","10503","9"
"【增幅者】魔法防禦力提升Lv10","85310","10503","10"
"【增幅者】ＴＰ蓄力Lv1","85401","10504","1"
"【增幅者】ＴＰ蓄力Lv2","85402","10504","2"
"【增幅者】ＴＰ蓄力Lv3","85403","10504","3"
"【增幅者】ＴＰ蓄力Lv4","85404","10504","4"
"【增幅者】ＴＰ蓄力Lv5","85405","10504","5"
"【增幅者】ＴＰ蓄力Lv6","85406","10504","6"
"【增幅者】ＴＰ蓄力Lv7","85407","10504","7"
"【增幅者】ＴＰ蓄力Lv8","85408","10504","8"
"【增幅者】ＴＰ蓄力Lv9","85409","10504","9"
"【增幅者】ＴＰ蓄力Lv10","85410","10504","10"
"【治療者】ＨＰ提升Lv1","86101","10601","1"
"【治療者】ＨＰ提升Lv2","86102","10601","2"
"【治療者】ＨＰ提升Lv3","86103","10601","3"
"【治療者】ＨＰ提升Lv4","86104","10601","4"
"【治療者】ＨＰ提升Lv5","86105","10601","5"
"【治療者】ＨＰ提升Lv6","86106","10601","6"
"【治療者】ＨＰ提升Lv7","86107","10601","7"
"【治療者】ＨＰ提升Lv8","86108","10601","8"
"【治療者】ＨＰ提升Lv9","86109","10601","9"
"【治療者】ＨＰ提升Lv10","86110","10601","10"
"【治療者】物理防禦力提升Lv1","86201","10602","1"
"【治療者】物理防禦力提升Lv2","86202","10602","2"
"【治療者】物理防禦力提升Lv3","86203","10602","3"
"【治療者】物理防禦力提升Lv4","86204","10602","4"
"【治療者】物理防禦力提升Lv5","86205","10602","5"
"【治療者】物理防禦力提升Lv6","86206","10602","6"
"【治療者】物理防禦力提升Lv7","86207","10602","7"
"【治療者】物理防禦力提升Lv8","86208","10602","8"
"【治療者】物理防禦力提升Lv9","86209","10602","9"
"【治療者】物理防禦力提升Lv10","86210","10602","10"
"【治療者】魔法防禦力提升Lv1","86301","10603","1"
"【治療者】魔法防禦力提升Lv2","86302","10603","2"
"【治療者】魔法防禦力提升Lv3","86303","10603","3"
"【治療者】魔法防禦力提升Lv4","86304","10603","4"
"【治療者】魔法防禦力提升Lv5","86305","10603","5"
"【治療者】魔法防禦力提升Lv6","86306","10603","6"
"【治療者】魔法防禦力提升Lv7","86307","10603","7"
"【治療者】魔法防禦力提升Lv8","86308","10603","8"
"【治療者】魔法防禦力提升Lv9","86309","10603","9"
"【治療者】魔法防禦力提升Lv10","86310","10603","10"
"【治療者】恢復強化Lv1","86401","10604","1"
"【治療者】恢復強化Lv2","86402","10604","2"
"【治療者】恢復強化Lv3","86403","10604","3"
"【治療者】恢復強化Lv4","86404","10604","4"
"【治療者】恢復強化Lv5","86405","10604","5"
"【治療者】恢復強化Lv6","86406","10604","6"
"【治療者】恢復強化Lv7","86407","10604","7"
"【治療者】恢復強化Lv8","86408","10604","8"
"【治療者】恢復強化Lv9","86409","10604","9"
"【治療者】恢復強化Lv10","86410","10604","10"
"【掩護者】ＨＰ提升Lv1","87101","10701","1"
"【掩護者】ＨＰ提升Lv2","87102","10701","2"
"【掩護者】ＨＰ提升Lv3","87103","10701","3"
"【掩護者】ＨＰ提升Lv4","87104","10701","4"
"【掩護者】ＨＰ提升Lv5","87105","10701","5"
"【掩護者】ＨＰ提升Lv6","87106","10701","6"
"【掩護者】ＨＰ提升Lv7","87107","10701","7"
"【掩護者】ＨＰ提升Lv8","87108","10701","8"
"【掩護者】ＨＰ提升Lv9","87109","10701","9"
"【掩護者】ＨＰ提升Lv10","87110","10701","10"
"【掩護者】物理防禦力提升Lv1","87201","10702","1"
"【掩護者】物理防禦力提升Lv2","87202","10702","2"
"【掩護者】物理防禦力提升Lv3","87203","10702","3"
"【掩護者】物理防禦力提升Lv4","87204","10702","4"
"【掩護者】物理防禦力提升Lv5","87205","10702","5"
"【掩護者】物理防禦力提升Lv6","87206","10702","6"
"【掩護者】物理防禦力提升Lv7","87207","10702","7"
"【掩護者】物理防禦力提升Lv8","87208","10702","8"
"【掩護者】物理防禦力提升Lv9","87209","10702","9"
"【掩護者】物理防禦力提升Lv10","87210","10702","10"
"【掩護者】魔法防禦力提升Lv1","87301","10703","1"
"【掩護者】魔法防禦力提升Lv2","87302","10703","2"
