1616c8c7ecf883c2096220470bad8dc67eaea2d5d026e98a2f435bc457ae024e,e130faf14b6ce0dee971151ef4cacf4231e319947fab0435edc59c43bb251ed7,ea0ba2f6fa89fb7373fbf34d8c007e2a2416b2d56a7b005777d80f45367c89c3,8152f100197c195d1ae06d7ab9a6240096d96f18348d1ce7f3501b45b00fcb34,bda81a43cb8188f1504a2c7a61a7947efd7a6f430ec8fdd901ebc9c5481b6db9,adc714c3125059a16a8b666d09829b5a158b654b5252b5ed65b874f7a124d1de,e19ea5a8d10bb5a99899f54b35e63e338e614fbdf6c875df56218b2ba0617d96,fba0246529b7e6f9df88c60993faef7ef7c74e23b9aedbaf6ba82c6833e956f9,51862d2ee47a395ef5bdb593f13396539563d4500a971058257aebbb7e8edc9f,250e7e641c5b0ccc2155e8f766679f6cb373d1050b2155aef3861a559dd54d4c,b3e9149c3724e626bc07c96347e051070d5598ea37633f08e2ded717baa5a342,8b43ba0c0db377e20a0916439ffce60c256e2354411d80ed467a6f6fae508635,36e8a0b8ecde388d3571a690a925f80e2f79b1080b29dc59d9e45e19be0fc481,c8da2b7ad397bab13f59c0124966719030bc6b899b8ac8bc439420b52ce74715
"75","1101","4","1","0","1","5","1","10","3","20","2","2","10"
"75","1102","4","1","65","1","5","3","10","3","20","2","3","10"
"75","1103","4","1","0","1","5","4","10","3","20","2","5","10"
"75","1104","4","1","65","1","5","6","10","3","20","2","6","10"
"75","1105","4","1","0","1","5","7","10","3","20","2","8","10"
"75","1106","4","1","65","1","5","9","10","3","20","2","9","10"
"75","1107","4","1","0","1","5","10","10","3","20","2","11","10"
"75","1108","4","1","65","1","5","12","10","3","20","2","12","10"
"75","1109","4","1","0","1","5","13","10","3","20","2","14","10"
"75","1110","4","1","65","1","5","15","10","3","20","2","15","10"
"60","2101","4","2","0","1","5","1","12","3","30","2","2","12"
"60","2102","4","2","40","1","5","3","12","3","30","2","3","12"
"60","2103","4","2","0","1","5","4","12","3","30","2","5","12"
"60","2104","4","2","40","1","5","6","12","3","30","2","6","12"
"60","2105","4","2","0","1","5","7","12","3","30","2","8","12"
"60","2106","4","2","40","1","5","9","12","3","30","2","9","12"
"60","2107","4","2","0","1","5","10","12","3","30","2","11","12"
"60","2108","4","2","40","1","5","12","12","3","30","2","12","12"
"60","2109","4","2","0","1","5","13","12","3","30","2","14","12"
"60","2110","4","2","40","1","5","15","12","3","30","2","15","12"
"65","3101","4","3","0","1","5","1","13","3","25","2","2","13"
"65","3102","4","3","35","1","5","3","13","3","25","2","3","13"
"65","3103","4","3","0","1","5","4","13","3","25","2","5","13"
"65","3104","4","3","35","1","5","6","13","3","25","2","6","13"
"65","3105","4","3","0","1","5","7","13","3","25","2","8","13"
"65","3106","4","3","35","1","5","9","13","3","25","2","9","13"
"65","3107","4","3","0","1","5","10","13","3","25","2","11","13"
"65","3108","4","3","35","1","5","12","13","3","25","2","12","13"
"65","3109","4","3","0","1","5","13","13","3","25","2","14","13"
"65","3110","4","3","35","1","5","15","13","3","25","2","15","13"
"65","4101","4","4","0","1","5","1","13","3","25","2","2","13"
"65","4102","4","4","35","1","5","3","13","3","25","2","3","13"
"65","4103","4","4","0","1","5","4","13","3","25","2","5","13"
"65","4104","4","4","35","1","5","6","13","3","25","2","6","13"
"65","4105","4","4","0","1","5","7","13","3","25","2","8","13"
"65","4106","4","4","35","1","5","9","13","3","25","2","9","13"
"65","4107","4","4","0","1","5","10","13","3","25","2","11","13"
"65","4108","4","4","35","1","5","12","13","3","25","2","12","13"
"65","4109","4","4","0","1","5","13","13","3","25","2","14","13"
"65","4110","4","4","35","1","5","15","13","3","25","2","15","13"
"65","5101","4","5","0","1","6","1","12","3","30","2","2","12"
"65","5102","4","5","25","1","6","3","12","3","30","2","3","12"
"65","5103","4","5","0","1","6","4","12","3","30","2","5","12"
"65","5104","4","5","25","1","6","6","12","3","30","2","6","12"
"65","5105","4","5","0","1","6","7","12","3","30","2","8","12"
"65","5106","4","5","25","1","6","9","12","3","30","2","9","12"
"65","5107","4","5","0","1","6","10","12","3","30","2","11","12"
"65","5108","4","5","25","1","6","12","12","3","30","2","12","12"
"65","5109","4","5","0","1","6","13","12","3","30","2","14","12"
"65","5110","4","5","25","1","6","15","12","3","30","2","15","12"
"60","6101","4","6","0","1","6","1","13","3","30","2","2","13"
"60","6102","4","6","25","1","6","3","13","3","30","2","3","13"
"60","6103","4","6","0","1","6","4","13","3","30","2","5","13"
"60","6104","4","6","25","1","6","6","13","3","30","2","6","13"
"60","6105","4","6","0","1","6","7","13","3","30","2","8","13"
"60","6106","4","6","25","1","6","9","13","3","30","2","9","13"
"60","6107","4","6","0","1","6","10","13","3","30","2","11","13"
"60","6108","4","6","25","1","6","12","13","3","30","2","12","13"
"60","6109","4","6","0","1","6","13","13","3","30","2","14","13"
"60","6110","4","6","25","1","6","15","13","3","30","2","15","13"
"25","7101","4","7","0","1","6","1","15","3","40","2","2","15"
"25","7102","4","7","35","1","6","3","15","3","40","2","3","15"
"25","7103","4","7","0","1","6","4","15","3","40","2","5","15"
"25","7104","4","7","35","1","6","6","15","3","40","2","6","15"
"25","7105","4","7","0","1","6","7","15","3","40","2","8","15"
