e5bd2a61ff568e6d0673ac368458f7efe655bc85c711d15f6493768db917b73c,b2dfd24df2170887a09a11184a11b60178cd879d43ab97176f2c71788e6b7e58,6bd9e6d7ee9f10c8ca82a8df9b915e9b7ea041f31eb2819185fbb32027ce96de,28342cc367d8c1dd671e7b45d3fb4547cea1f7efad5ae13ab0ea9cbfee6163e8,7500348e685981a4622bdbf91cb6080838e340b24074545a69ba69368186d0c5,4a9ba9c2981b80915870e4cb028e9c49dffe227f41c9ab7c8aa9c35ad4ef2e3c
"500","1","10","1","10","2"
"500","1","10","1","20","3"
"500","1","10","1","30","4"
"500","1","10","1","40","5"
"500","1","10","1","50","6"
"500","1","10","1","60","7"
"500","1","10","1","70","8"
"500","1","10","1","80","9"
"500","1","10","1","90","10"
"500","1","15","1","105","11"
"500","1","15","1","120","12"
"500","1","15","1","135","13"
"500","1","15","1","150","14"
"500","1","15","1","165","15"
"500","1","15","1","180","16"
"500","1","15","1","195","17"
"500","1","15","1","210","18"
"500","1","15","1","225","19"
"500","1","15","1","240","20"
"500","1","25","1","265","21"
"500","1","25","1","290","22"
"500","1","25","1","315","23"
"500","1","25","1","340","24"
"500","1","25","1","365","25"
"500","1","25","1","390","26"
"500","1","25","1","415","27"
"500","1","25","1","440","28"
"500","1","25","1","465","29"
"500","1","25","1","490","30"
"500","1","40","2","530","31"
"500","1","40","2","570","32"
"500","1","40","2","610","33"
"500","1","40","2","650","34"
"500","1","40","2","690","35"
"500","1","40","2","730","36"
"500","1","40","2","770","37"
"500","1","40","2","810","38"
"500","1","40","2","850","39"
"500","1","40","2","890","40"
"500","1","50","2","940","41"
"500","1","50","2","990","42"
"500","1","50","2","1040","43"
"500","1","50","2","1090","44"
"500","1","50","2","1140","45"
"500","1","50","2","1190","46"
"500","1","50","2","1240","47"
"500","1","50","2","1290","48"
"500","1","50","2","1340","49"
"500","1","50","2","1390","50"
"500","1","60","3","1450","51"
"500","1","60","3","1510","52"
"500","1","60","3","1570","53"
"500","1","60","3","1630","54"
"500","1","60","3","1690","55"
"500","1","60","3","1750","56"
"500","1","60","3","1810","57"
"500","1","60","3","1870","58"
"500","1","60","3","1930","59"
"500","1","60","3","1990","60"
"600","1","75","3","2065","61"
"600","1","75","3","2140","62"
"600","1","75","3","2215","63"
"600","1","75","3","2290","64"
"600","1","75","3","2365","65"
"600","1","75","3","2440","66"
"600","1","75","3","2515","67"
"600","1","75","3","2590","68"
"600","1","75","3","2665","69"
"600","1","75","3","2740","70"
